	en	pl	de	fr	zh	pt	ru	es
Airstrike_Mission	Send squadrons to attack enemy fleets and bases. Select a target and plan an effective attack strategy.	Wysyłaj eskadry do ataku na floty i bazy wroga. Wybierz cel i zaplanuj skuteczną strategię ataku.	Schicke Staffeln zum Angriff auf den Feind. Wähle das Ziel und plane eine entsprechende Angriffsstrategie.	Envoyez vos escadres pour attaque l’ennemi. Choisissez une cible et planifiez la stratégie de l’attaque.	你的这次任务是攻击敌方舰队和基地。  因此你需要选择你的攻击目标并制定合适的策略。	Envie esquadrões para atacar o inimigo. Selecione o alvo e planeje a estratégia adequada para o ataque.	Отправьте эскадрильи для наступления на флоты и базы врага. Выберите цель и запланируйте эффективную стратегию наступления.	Send squadrons to attack enemy fleets and bases. Select a target and plan an effective attack strategy.
CAP	Send a combat air patrol to boost the target’s defenses. Your fighters will help defend against incoming enemy attacks.	Wyślij Bojowy Patrol Powietrzny, aby wzmocnić obronę celu. Twoje myśliwce pomogą w obronie przed nadchodzącym atakiem.	Schicke eine Kampfluftpatrouille um die Verteidigung des Ziels zu verstärken. Deine Jagdflugzeuge helfen den baldigen Angriff abzuwehren.	Envoyez une Patrouille Aérienne de Combat pour renforcer la défense du cible. Vos chasseurs aideront à défendre contre l’attaque à venir.	派出空中巡逻队可以提升你的防御能力，  你的战士将会帮助你抵御敌人的攻击。	Envie uma Patrulha Aérea para fortalecer a defesa do alvo. Os seus caças vão ajudar na defesa contra o ataque iminente.	Отправьте Боевой Воздушный Патруль, чтобы укрепить оборону цели. Ваши истребители помогут в защите от предстоящего наступления.	Send a combat air patrol to boost the target’s defenses. Your fighters will help defend against incoming enemy attacks.
Counter_hostile_scouts	Send a team to intercept enemy scouts and retain or regain your undetected status.	Nadciąga wrogi oddział zwiadowczy. Wyślij tę misję, aby go zatrzymać i pozostać w ukryciu.	Es kommt ein feindlicher Aufklärungstrupp. Entsende diese Mission, um ihn aufzuhalten und um versteckt zu bleiben.	Une division de la patrouille ennemie arrive. Envoyez cette mission pour l’intercepter ou rester caché.	一支敌方侦察队正在逼近，  下达这项任务可以对他们进行拦截，  并且不被发现。	Está a chegar um esquadrão de reconhecimento do inimigo. Envie esta missão para o deter e permanecer sem ser detetado.	Приближается вражеское разведывательное отделение. Отправьте эту миссию, чтобы остановить его и остаться незамеченным.	Send a team to intercept enemy scouts and retain or regain your undetected status.
DetectSubmarine	Detect Submarines	Wykrywanie Łodzi Podwodnych	Aufspüren von U-Booten	Détection des Sous-marins	探测潜艇	Deteção de submarinos	Обнаружение Подводных Лодок	Detect Submarines
DetectSubmarine_Desc	Send a team to locate enemy submarines in the area.	Wyślij eskadry aby namierzyć łodzie podwodne wroga i regionie.	Lokalisiert die Unterseeboote in der Nähe.	Localisation des sous-marins dans la région.	这项任务可以在该地区找到并定位潜艇。	Localiza os submarinos nas proximidades.	Отправьте эскадрильи, чтобы обнаружить вражеские подводные лодки в регионе.	Send a team to locate enemy submarines in the area.
Error_deckstate	The flight deck is not prepared for recovery!	Pokład nie jest przygotowany do lądowania!	Das Deck ist nicht für die Landung vorbereitet!	Le pont d’envol n’est pas préparé pour un atterrissage !	甲板还没有为着陆飞机准备好！	O bordo não está preparado para a aterragem!	Палуба не готова к посадке!	The flight deck is not prepared for recovery!
Error_deckstateLaunch	Incorrect deck state!	Niewłaściwy stan pokładu!	Der Zustand des Decks ist ungünstig.	État de pont d’envol incorrect !	甲板的状况不好！	Estado incorreto do bordo!	Ненадлежащее состояние палубы!	Incorrect deck state!
Error_islandSwitch	This mission has not been activated in the island!	Misja nie jest aktywna na wyspie!	Die Mission ist auf der Insel nicht aktiv!	La mission n’est pas active sur l'île !	这项任务还没有在作战指挥部里被部署！	A missão não está ativada na ilha!	Миссия не активна на острове!	This mission has not been activated in the island!
Error_planewreck	Plane wreck(s) on the flight deck!	Wrak samolotu na pokładzie!	Flugzeugwrack auf dem Deck!	L’épave d’un avion sur le pont d’envol !	飞机残骸留在了甲板上！	Há um destroço de avião a bordo!	Обломки самолета на палубе!	Plane wreck(s) on the flight deck!
Error_squadrons	The required planes are not on the flight deck!	Brakuje samolotów na pokładzie!	Es fehlen Flugzeuge auf dem Deck!	Absence d’avions sur le pont d’envol !	甲板上没有足够的飞机！	Faltam aviões a bordo!	На палубе отсутствуют самолеты!	The required planes are not on the flight deck!
