	en	pl	de	fr	zh	pt	ru	es
Brief1.1_01_01	Wake Island has just been attacked by the Japanese navy, Admiral.	Admirale, atol Wake właśnie został zaatakowany przez japońską marynarkę.	Admiral, das Atoll Wake wurde eben durch die japanische Kriegsflotte angegriffen.	Amiral, l’atoll Wake vient d’être attaqué par la marine japonaise.	报告，  威克岛刚刚遭到日本海军的袭击。	Almirante, o atol de Wake acabou por ser atacado pela marinha japonesa.	Адмирал, атолл Уэйк только что подвергся нападению японских военно-морских сил.	Almirante, el atol de Wake acaba de ser atacado por la marina japonesa.
Brief1.1_01_02	There is a White House official on the island, visiting our base there.	Na wyspie jest wizytujący bazę oficjel z Białego Domu.	Auf der Insel befindet sich ein wichtiger Beamter des Weißen Hauses,	Il y a un officiel de la Maison Blanche qui visite la base.	岛上有一位白宫官员正在那里参观我们的基地。	Na ilha está a prestar uma visita um oficial da Casa Branca.	На острове находится посещающий базу представитель Белого дома.	En la isla está un oficial visitante de la Casa Blanca.
Brief1.1_01_03	We cannot get to him while the island is under fire, so we need to find the exact location of the enemy carrier attacking the base—	Nie możemy się do niego dostać, póki wyspa jest pod ostrzałem, musimy więc znaleźć dokładne położenie lotniskowca atakującego bazę -	Wir können ihn nicht erreichen, solange die Insel beschossen wird, wir müssen also die genaue Lage des Flugzeugträgers erkunden, der den Stützpunkt angreift -	Nous ne pouvons l’atteindre tant que l’île se trouve sous le feu donc nous devons localiser précisément le porte-avion qui attaque la base -	当岛屿被轰炸时，我们无法接近它，因此我们需要找到正对其进行攻击的敌方航母位置 ——	Não o podemos alcançar enquanto a ilha estiver sob ataque. Por isso temos de encontrar a localização exata do porta-aviões que está a atacar a base	Мы не можем добраться до него, пока остров находится под обстрелом, поэтому нам нужно определить точное местонахождение авианосца, атакующего базу, 	No podemos alcanzarlo mientras la isla esté siendo atacada, por lo que tenemos que conocer la localización exacta del portaaviones que está atacando la base
Brief1.1_01_04	and destroy it.	i go zniszczyć.	und ihn zerstören.	et la détruire.	并摧毁它。	e destruí-lo	и уничтожить его.	y destruirlo.
Brief1.1_01_05	Once that has been dealt with, we will have a short space of time within which to carry out the rescue.	Po uporaniu się z tym problemem będziemy mieli niewiele czasu na przeprowadzenie akcji ratunkowej.	Wenn die feindliche Flotte versenkt wird, haben wir wenig Zeit für die Rettung.	Quand la flotte ennemie sera coulée, nous aurons un peu de temps pour réaliser une mission de secours.	一旦执行任务完毕，  我们将有很短的救援时间。	Quando a frota for destruída, teremos pouco tempo para realizar a missão de resgate.	После решения этой проблемы у нас будет немного времени для проведения спасательной операции.	Después de solucionar este problema, tendremos poco tiempo para realizar la misión de rescate.
Brief1.1_01_06	You must launch a rescue mission to the base, where our men will take the VIP on board for his safe return to our carrier.	Rozpocznij misję ratunkową, aby nasi ludzie mogli bezpiecznie przetransportować VIP-a do twojego lotniskowca. 	Beginne die Rettungsmission, damit unsere Leute den VIP sicher zu deinem Flugzeugträger transportieren können.	Lancez une mission de secours afin que nos hommes puissent transporter le VIP en toute sécurité sur votre porte-avion.	你必须向基地发起救援任务，  我们的人员将会将重要人物带上船，  让他安全返回我们的航母。	Inicie uma missão de resgate para que os nossos possam transportar o VIP de maneira segura até o teu porta-aviões.	Начните проведение спасательной операции, чтобы наши люди могли безопасно переместить VIP-персону на Ваш авианосец. 	Comience la misión de rescate para que nuestro personal puede transportar al VIP a su portaaviones de manera segura. 
Brief1.2_01_01	Admiral, we have been ordered to provide escort for our cargo vessels.	Admirale, otrzymaliśmy rozkaz eskorty naszych statków transportowych.	Admiral, wir haben den Befehl bekommen, unsere Transportschiffe zu eskortieren.	Amirale, nous avons reçu l’ordre d’escorter nos navires de transport.	长官，  我们奉命为我们的货船护航。	Almirante, recebemos uma ordem de escolta dos nossos navios de transporte.	Адмирал, мы получили приказ сопровождать наши транспортные корабли.	Almirante, hemos recibido la orden de escoltar nuestros buques de transporte.
Brief1.2_01_02	They are headed to Wake Island to deliver supplies to our base there.	Zmierzają do wyspy Wake, przewożąc zasoby dla naszej tamtejszej bazy.	Sie begeben sich zu der Insel Wake und bringen Ressourcen für unseren dortigen Stützpunkt.	Ils vont sur l’île de Wake en transportant des ressources pour notre base là-bas.	他们将前往威克岛，  向我们那里的基地运送物资。	Estão rumo à ilha de Wake e transportam recursos para a nossa base.	Они направляются к острову Уэйк, перевозя ресурсы для нашей базы, которая там располагается.	Se están dirigiendo a la isla de Wake transportando personas a la base que tenemos allí.
Brief1.2_01_03	Your task is to ensure that the ships arrive safely at their destination.	Twoim zadaniem jest upewnienie się, że statki bezpiecznie dotrą do celu.	Deine Aufgabe ist es sich zu vergewissern, dass die Schiffe sicher ans Ziel kommen.	Votre tâche consistera à vous assurer que les navires atteindront leur destination en toute sécurité.	你的任务是确保船只安全抵达目的地。	O seu objetivo é assegurar que os navios cheguem ao ponto final de maneira segura.	Ваша задача – убедиться, что корабли безопасно доберутся до цели.	Su misión es asegurarse la llegada segura de los buques a su destino.
Brief1.2_01_04	We have received reports of unidentified vessels near the island.	Otrzymaliśmy raporty o niezidentyfikowanych statkach nieopodal wyspy.	Wir haben Berichte über nicht identifizierte Schiffe in der Nähe der Insel bekommen.	Nous avons reçu des rapports sur des navires non-identifiés près de l’île.	我们收到了关于该岛附近有不明船只的报告。	Recebemos relatórios sobre navios não identificados perto da ilha.	Мы получили сообщения о неопознанных кораблях вблизи острова.	Hemos recibido informes sobre buques no identificados cerca de la isla.
