	en	pl	de	fr	zh	pt	ru	es
CloudyWeatherBuff	Cloudy Weather	Pochmurna Pogoda	Schlechtes Wetter	Mauvais temps	多云天气	Mau Tempo	Облачная погода	Cielo nublado
CloudyWeatherBuff_Desc	Activates an alternative version of the map with more clouds	Aktywuje alternatywną wersję mapy z większą ilością chmur.	Aktiviert eine alternative Version der Karte mit mehr Wolken.	Activation de version alternative de la carte avec plus de nuages	启用一个更多云的地图。	Ativa a versão alternativa do mapa com mais nuvens	Активирует альтернативную версию карты с большим количеством облаков.	Activa una versión alternativa del mapa con una mayor cantidad de nubes.
CloudyWeatherBuff_Active	We will use the additional meteorological information we have collected to predict the positions of clouds in the sky.	Wykorzystamy dodatkowe informacje meteorologiczne, które zebraliśmy, aby przewidzieć pozycje chmur na niebie.	Wir benutzen zusätzliche meteorologische Informationen, die wir sammelten, um die Lage der Wolken am Himmel vorauszusagen.	Nous allons mettre en œuvre des informations météorologiques supplémentaires recueillies pour prédire la position des nuages dans le ciel.	我们将使用我们收集到的额外气象信息来预测天空中云的位置。	Vamos utilizar informação meteorológica adicional que recolhemos para prever a posição das nuvens no céu.	Мы будем использовать дополнительные собранные нами метеорологические данные, чтобы предсказать расположение облаков на небе.	Aprovechamos las informaciones meteorológicas adicionales recogidas para prever la posición de las nubes en el cielo.
CloudyWeatherBuff_Inactive	During this mission, we will collect additional meteorological information to give us a strategic advantage during our next mission.	Podczas tej misji zbierzemy dodatkowe informacje meteorologiczne, aby dać nam strategiczną przewagę podczas kolejnej misji.	Während der Mission werden wir zusätzliche meteorologische Informationen sammeln, um strategischen Vorsprung bei der nächsten Mission zu bekommen.	Au cours de cette mission nous allons recueillir des informations météorologiques supplémentaires afin de gagner un avantage stratégique lors de la mission suivante.	在这次任务中，  我们将收集更多的气象信息，  以便在下一次任务中为我们提供战略优势。	Durante esta missão vamos recolher informação meteorológica adicional para obter uma vantagem estratégica durante a seguinte missão.	Во время этой миссии мы соберем дополнительные метеорологические данные, которые дадут нам стратегическое преимущество во время следующей миссии.	Durante esa misión, recogeremos información meteorológica adicional, que nos ofrecerá una ventaja estratégica durante la próxima misión.
AirstrikeMissionBuff	Additional Airstrike	Dodatkowy Nalot	Zusätzlicher Luftangriff	Raid aérien supplémentaire	额外的空袭任务	Ataque aéreo adicional	Дополнительный Авиаудар	Ataque aéreo adicional
AirstrikeMissionBuff_Desc	1x extra Airstrike mission (no island switch necessary)	1x dodatkowa misja Nalot (bez przełącznika na Wyspie)	1x zusätzliche Mission Luftangriff (keine Veränderungen auf der Insel notwendig)	1 x mission supplémentaire Raid aérien (Switch sur l’île n’est pas requis)	无需在作战指挥部选择行动即可执行额外的空袭任务。	1x missão adicional Ataque Aéreo (não é preciso introduzir modificações na Ilha)	1x дополнительная миссия «Авиаудар» (без переключения на Острове)	1x misión adicional de Ataque aéreo (sin el seleccionador en la Isla)
AirstrikeMissionBuff_Active	Experimental combat equipment has arrived on the aircraft carrier; it allows us to send an additional Airstrike mission without additional officer supervision.	Przybył eksperymentalny sprzęt bojowy. Korzystanie z niego daje nam możliwość wysłania dodatkowej misji nalotu bez potrzeby nadzoru oficera.	Die experimentelle Kampfausrüstung ist angekommen. Ihre Benutzung gibt uns die Möglichkeit, eine zusätzliche Luftangriff-Mission ohne die Aufsicht eines Offiziers zu schicken.	Le matériel de guerre expérimental est arrivé. Sa mise en place nous permet d’envoyer une mission supplémentaire de rais aérien sans surveillance de l’officier.	实验性作战装备已抵达航母。  使用它后，  我们可以发动无需额外的军官监督的空袭任务。	Chegou o equipamento de combate experimental. A sua utilização oferece-nos a possibilidade de enviar uma missão adicional sem a necessidade de controlo de um oficial.	Прибыло экспериментальное боевое оборудование. Его использование предоставляет нам возможность отправить дополнительную миссию авиаудара без необходимости контроля со стороны офицера.	Ha llegado el equipamiento de combate experimental. Utilizarlo nos permitirá enviar una misión de Ataque aéreo adicional sin la necesidad de control de parte de un oficial.
AirstrikeMissionBuff_Inactive	We will receive shipment of experimental combat equipment following this mission. It will increase our capacity for launching Airstrike missions without additional officer supervision.	Otrzymamy przesyłkę z eksperymentalnym sprzętem bojowym po tej misji. Zwiększy naszą zdolność do uruchomienia misji nalotu bez potrzeby nadzoru oficera.	Wir bekommen eine Sendung mit der experimentellen Kampfausrüstung nach dieser Mission. Sie erhöht unsere Fähigkeit, eine Luftangriff-Mission zu starten, ohne die Aufsicht eines Offiziers.	Après cette mission, nous recevrons une expédition du matériel de guerre expérimental. Il augmente notre capacité de déclencher la mission de rai aérien sans surveillance de l’officier.	执行此任务后，  我们将收到实验性战斗设备，  以提高我们进行空袭的能力，  而无需额外的军官监督。	Depois desta missão, vamos receber uma encomenda com o equipamento de combate experimental.  O dito aumentará a nossa capacidade de iniciar uma missão de ataque aéreo sem a necessidade de controlo de um oficial.	После этой миссии мы получим партию экспериментального боевого оборудования. Это расширит наши возможности для проведения миссии авиаудара без необходимости контроля со стороны офицера.	Después de esta misión, recibiremos un envío con un equipamiento de combate experimental. Lo dicho aumentará nuestras capacidades de activar una misión sin la necesidad de control de parte de un oficial.
LessEnemiesBuff	Fewer Enemies	Mniej Wrogów	Weniger Feinde	Moins d’ennemis	更少的敌人	Menos inimigos	Меньше Врагов	Menos enemigos
LessEnemiesBuff_Desc	The last individual target of all enemy fleets will be removed	Ostatni blok wszystkich flot wroga zostanie usunięty.	Der letzte Block aller Flotten des Feindes wird entfernt.	La dernière cible de toutes les flottes ennemies sera supprimée.	所有敌方舰队的最后一个梯队将被删除。	O último bloco de todas as frotas será eliminado.	Последний блок всех флотов врага будет удален.	El último bloque de todas las flotas será eliminado.
