	en	pl	de	fr	zh	pt	ru	es
CEM_001	DEF of maneuver #4 -30%.	OBR manewru #4 jest obniżona o 30%.	VER des Manövers #4 ist um 30% gesenkt.	DÉF de manœuvre #4 diminuée de 30 %.	操作 #4 的防御力降低了 30%。	DEF manobra #4 reduzida em 30%.	OBR маневра снижена на 30%.	DEF maniobra #4 está reducida en el 30 %.
CEM_002	-	-	-	-	-	-	-	-
CEM_003	ATK and DEF of all Offensive maneuvers -10%.	ATK i OBR wszystkich manewrów ofensywnych obniżone o 10%.	ANG und VER aller Offensiv-Manöver um 10% gesenkt.	ATK et DÉF de toutes les manœuvres offensives diminués de 10 %	所有攻击操作的攻击力和防御力降低了10%。	ATQ e DEF de todas as manobras ofensivas reduzidos em 10%.	АТК и ОБР всех наступательных маневров снижены на 10%.	ATQ y DEF de todas las maniobras ofensivas está reducida en el 10 %.
CEM_004	DEF of all Defensive maneuvers -15%.	OBR wszystkich manewrów defensywnych obniżona o 10%.	VER aller Defensiv-Manöver um 10% gesenkt.	DÉF de toutes les manœuvres offensives diminuées de 10 %	所有防御操作的防御力降低了 15%。	DEF de todas as manobras defensivas reduzidas em 10%.	ОБР всех оборонительных маневров снижена на 10%.	DEF de todas las maniobras defensivas reducida en el 10 %.
CEM_005	ATK of maneuver #5 -25%.	ATK manewru #5 obniżony o 25%.	ANG des Manövers #5 um 25% gesenkt.	ATK de la manœuvre #5 diminué de 25 %	操作 #5 的攻击力降低了 25%。	ATQ manobra #5 reduzida em 25%.	АТК маневра пять снижена на 25%.	ATQ maniobra #5 reducida en el 25 %.
CEM_006	Disables modifier of maneuver #3.	Modyfikator manewru #3 jest zablokowany.	Modifikator des Manövers #3 ist blockiert.	Modificateur de la manœuvre #3 est bloqué.	操作 #3 的修改器被禁用。	O modificador de manobra #3 está bloqueado.	Модификатор маневра #3 заблокирован.	Modificador de la maniobra #3 está bloqueado.
CEM_007	Blocks all Defensive maneuvers.	Wszystkie manewry defensywne są zablokowane.	Alle Defensiv-Manöver sind blockiert.	Toutes les manœuvres défensives sont bloquées.	所有防御行动都被禁用。	Todas as manobras defensivas estão bloqueadas.	Все оборонительные маневры заблокированы.	Todas las maniobras defensivas están bloqueadas.
CEM_008	Blocks all Supportive maneuvers.	Wszystkie manewry wspierające są zablokowane.	Alle Unterstützungsmanöver sind blockiert.	Toutes les manœuvres de soutien sont bloquées.	所有支援行动都被禁用。	Todas as manobras auxiliares estão bloqueadas.	Все вспомогательные маневры заблокированы.	Todas las maniobras defensivas están bloqueadas.
CEM_009	Blocks all maneuvers using dive bombers.	Zablokowane są manewry z bombowcami.	Manöver mit Bombern sind blockiert.	Les manœuvres de bombardiers sont bloquées.	使用俯冲轰炸机的行动被禁用。	As manobras com bombardeiros estão bloqueadas.	Маневры с бомбардировщиками заблокированы.	Bloqueadas todas las maniobras con bombarderos.
CEM_010	Disables ATK of all Defensive maneuvers.	ATK wszystkich manewrów defensywnych jest zablokowany.	ANG aller Defensiv-Manöver ist blockiert.	ATK de toutes les manœuvres défensives est bloqué.	所有防御行动的攻击力被禁用。	ATQ de todas as manobras defensivas está bloqueado.	АТК всех оборонительных маневров заблокирована.	ATQ de todas las maniobras defensivas está bloqueado.
CEM_011	Disables DEF of all Offensive maneuvers.	OBR wszystkich manewrów ofensywnych jest zablokowana.	VER aller Offensiv-Manöver ist blockiert.	DÉF de toutes les manœuvres offensives est bloquée.	所有进攻行动的防御力被禁用。	ATQ de todas as manobras ofensivas está bloqueado.	ОБР всех оборонительных маневров заблокирована.	DEF de todas las maniobras defensivas está bloqueada.
CEM_012	-	-	-	-	-	-	-	-
CEM_013	Disables modifiers of maneuvers #3 and #4.	Modyfikatory manewrów #3 i #4 są zablokowane.	Die Modifikatoren der Manöver #3 und #4 sind blockiert.	Les modificateurs des manœuvres #3 et #4 sont bloqués.	操作 #3 和#4 的修改器被禁用。	Os modificadores de manobras #3 e #4 estão bloqueados.	Модификаторы маневров #3 и #4 заблокированы.	Modificadores de las maniobras #3 y #4 están bloqueados.
CEM_014	Disables modifier of maneuver #4.	Modyfikator manewru #4 jest zablokowany.	Modifikator des Manövers #4 ist blockiert.	Le modificateur de la manœuvre #4 est bloqué.	操作 #4 的修改器被禁用。	O modificador de manobra #4 está bloqueado.	Модификатор маневра #4 заблокирован.	Modificador de la maniobra #4 está bloqueado.
CEM_015	DEF of all Offensive maneuvers -35%.	OBR wszystkich manewrów ofensywnych obniżona o 35%.	VER aller Offensiv-Manöver um 35% gesenkt.	DÉF de toutes les manœuvres offensives diminuées de 35 %.	所有进攻行动的防御力降低 35%。	DEF de todas as manobras ofensivas reduzida em 35%.	ОБР всех наступательных маневров снижена на 35%.	DEF de todas las maniobras ofensivas está reducida en el 35 %.
CEM_016	-	-	-	-	-	-	-	-
CEM_017	-	-	-	-	-	-	-	-
CEM_018	Disables ATK of maneuver #5.	ATK manewru #5 jest zablokowany.	ANG des Manövers #5 ist blockiert.	ATK de la manœuvre #5 est bloqué.	操作 #5 的攻击力被禁用。	ATQ da manobra #5 está bloqueado.	АТК маневра #5 заблокирована.	ATQ de la maniobra #5 está bloqueado.
CEM_019	Disables ATK and DEF of maneuver #1.	ATK i OBR manewru #1 są zablokowane.	ANG und VER des Manövers #1 sind blockiert.	ATK et DÉF de la manœuvre #1 sont bloqués.	操作 #1 的攻击力和防御力被禁用。	ATQ e DEF da manobra #1 estão bloqueados.	АТК и ОБР маневра #1 заблокированы.	ATQ y DEF de la maniobra #1 están bloqueados.
CEM_020	Disables DEF of maneuver #3.	OBR manewru #3 jest zablokowana.	VER des Manövers #3 ist blockiert.	DÉF de la manœuvre #3 est bloquée.	操作 #3 的防御力被禁用。	DEF da manobra #3 está bloqueado.	ОБР маневра #3 заблокирована.	DEF de la maniobra #3 está bloqueada.
CEM_021	ATK of all Offensive maneuvers +15%.	ATK wszystkich manewrów ofensywnych podniesiony o 15%.	ANG aller Offensiv-Manöver ist um 15% erhöht.	ATK de toutes les manœuvres offensives augmenté de 15 %.	所有攻击行动的攻击力增加15%。	ATQ de todas as manobras ofensivas aumentado em 15%.	АТК всех наступательных маневров повышена на 15%.	ATQ de todas las maniobras ofensivas elevado en el 15 %.
CEM_022	-	-	-	-	-	-	-	-
CEM_024	Blocks all maneuvers using torpedo bombers.	Manewry wykorzystujące samoloty torpedowe są zablokowane.	Manöver, die Torpedo-Flugzeuge verwenden, sind blockiert.	Les manœuvres mettant en places les avions torpilleurs sont bloquées.	使用鱼雷轰炸机的行动被禁用。	As manobras que utilizam torpedeiros estão bloqueados.	Маневры с использованием торпедоносцев заблокированы.	Las maniobras que hacen uso de aviones de torpedos está bloqueados. 
