	en	pl	de	fr	zh	pt	ru	es
M3.1F1	5th Japanese Air Fleet	5ta Japońska Flota Powietrzna	5. Japanische Luftflotte	5e Flotte Aérienne Japonaise	日本第5航空队	5ª Frota Aérea Japonesa	5-ый Воздушный Флот Японии	5ª Flota Aérea Japonesa
M3.1F2	16th Japanese Fleet	16ta Flota Japońska	16. Japanische Flotte	16e Flotte Japonaise	日本第16舰队	16ª Frota Japonesa	16-ый Флот Японии	16ª Flota Japonesa
M3.1F3	17th Japanese Fleet	17ta Flota Japońska	17. Japanische Flotte	17e Flotte Japonaise	日本第17舰队	17ª Frota Japonesa	17-ый Флот Японии	17ª Flota Japonesa
M3.1F4	5th Japanese Fleet	5ta Flota Japońska	5. Japanische Flotte	5e Flotte Japonaise	日本第5舰队	5ª Frota Japonesa	5-ый Флот Японии	5ª Flota Japonesa
M3.1F5	20th Japanese Fleet	20ta Flota Japońska	20. Japanische Flotte	20e Flotte Japonaise	日本第20舰队	20ª Frota Japonesa	20-ый Флот Японии	20ª Flota Japonesa
M3.1B1	Japanese outpost	Placówka Japońska	Japanischer Posten	Établissement Japonais	日本前哨	Posto Japonês	Форпост Японии	Establecimiento Japonés
M3.1B2	Japanese outpost	Placówka Japońska	Japanischer Posten	Établissement Japonais	日本前哨	Posto Japonês	Форпост Японии	Establecimiento Japonés
CSM01	Aobake Invasion Fleet	Flota Inwazyjna Aobake	Invasionsflotte Aobake	Flotte d’Invasion Aobake	青叶攻击舰队	Frota de Invasão Aobake	Флот Вторжения Aobake	Flota Invasora Aobake
CSM02	Kurobushi Defense Fleet	Flota Obronna Kurobushi	Verteidigungsflotte Kurobushi	Flotte de Défense Kurobushi	黑伏海防御舰队	Frota de Defesa Kurobushi	Оборонительный Флот Kurobushi	Flota Defensora Kurobushi
CSM03	Hayaken Defense Fleet	Flota Obronna Hayaken	Verteidigungsflotte Hayaken	Flotte de Défense Hayaken	哈亚肯防御舰队	Frota de Defesa Hayaken	Оборонительный Флот Hayaken	Flota Defensora Hayaken
CSM04	Daiko Defense Fleet	Flota Obronna Daiko	Verteidigungsflotte Daiko	Flotte de Défense Daiko	大光防御舰队	Frota de Defesa Daiko	Оборонительный Флот Daiko	Flota Defensora Daiko
M2.4F1	1st Japanese Fleet	1sza Flota Japońska	1. Japanische Flotte	1ere Flotte Japonaise	日本第1舰队	1ª Frota Japonesa	1-ый Флот Японии	1ª Flota Japonesa
M2.4F2	2nd Japanese Fleet	2ga Flota Japońska	2. Japanische Flotte	2e Flotte Japonaise	日本第2舰队	2ª Frota Japonesa	2-ый Флот Японии	2ª Flota Japonesa
M2.4F3	11th Japanese Air Fleet	11ta Japońska Flota Powietrzna	11. Japanische Luftflotte	11 Flotte Aérienne Japonaise	日本第 11 航空舰队	11ª Frota Aérea Japonesa	11-й Воздушный Флот Японии	11ª Flota Aérea Japonesa
M2.4F4	Midway	Midway	Midway	Midway	中途岛	Midway	Мидуэй	Midway
M3.2F1	Invasion fleet	Flota Inwazyjna	Invasionsflotte	Flotte d’Invasion	澳大利亚第二陆战队	Frota de Invasão	Флот Вторжения	Flota Invasora
M3.2B1	Japanese outpost	Japońska placówka	Japanischer Posten	Établissement Japonais	日本前哨	Posto Japonês	Форпост Японии	Establecimiento Japonés
M3.2B2	Japanese outpost	Japońska placówka	Japanischer Posten	Établissement Japonais	日本前哨	Posto Japonês	Форпост Японии	Establecimiento Japonés
M3.2F2	19th Japanese Fleet	19ta Flota Japońska	19. Japanische Flotte	19e Flotte Japonaise	日本第19舰队	19ª Frota Japonesa	19-ый Флот Японии	19ª Flota Japonesa
M3.2F3	15th Japanese Fleet	15ta Flota Japońska	15. Japanische Flotte	15e Flotte Japonaise	日本第15舰队	15ª Frota Japonesa	15-ый Флот Японии	15ª Flota Japonesa
M3.2F4	13h Japanese Fleet	13ta Flota Japońska	13. Japanische Flotte	13e Flotte Japonaise	日本第13舰队	13ª Frota Japonesa	13-ый Флот Японии	13ª Flota Japonesa
M3.2F5	18th Japanese Fleet	18ta Flota Japońska	18. Japanische Flotte	18e Flotte Japonaise	日本第18舰队	18ª Frota Japonesa	18-ый Флот Японии	18ª Flota Japonesa
M3.2F6	23th Japanese Fleet	23ta Flota Japońska	23. Japanische Flotte	23e Flotte Japonaise	日本第23舰队	23ª Frota Japonesa	23-ий Флот Японии	23ª Flota Japonesa
TUT01	Tutorial fleet	Flota Samouczkowa	Tutorial-Spiel-Flotte	Flotte de Tutoriel	用于培训的舰队	Frota de Formação	Учебный Флот	Flota de Tutorial
TUT02	Tutorial base	Baza Samouczkowa	Tutorial-Spiel-Stützpunkt	Base de Tutoriel	培训基地	Base de Formação	Учебная База	Base de Tutorial
M1.1F1	6th Japanese Air Fleet	6ta Japonska Flota Powietrzna	6. Japanische Luftflotte	6e Flotte Aérienne Japonaise	日本第6航空舰队	6ª Frota Aérea Japonesa	6-ый Воздушный Флот Японии	6ª Flota Aérea Japonesa
M1.1B1	Wake Island base	Baza na wyspie Wake	Militärstützpunkt	Base Militaire	军事基地	Base Militar	База на острове Уэйк	Base en la isla de Wake
M1.2F1	22nd Japanese Fleet	22ga Flota Japońska	22. Japanische Flotte	22e Flotte Japonaise	日本第22舰队	22ª Frota Japonesa	22-ой Флот Японии	22ª Flota Japonesa
M1.2F2	8th Japanese Fleet	8ma Flota Japońska	8. Japanische Flotte	8e Flotte Japonaise	日本第8舰队	8ª Frota Japonesa	8-ой Флот Японии	8ª Flota Japonesa
M1.2F3	9th Japanese Air Fleet	9ta Flota Japońska	9. Japanische Flotte	9e Flotte Japonaise	日本第9航空舰队	9ª Frota Japonesa	9-ый Флот Японии	9ª Flota Japonesa
M1.2F4	Transport Division 32	32ga Dywizja Transportowa	32. Transportdivision	32 Division de Transport	第32运输队	32ª Divisão de Transporte	32-ая Транспортная Дивизия	32ª División de Transporte
M1.4F1	21st Japanese Fleet	21sza Flota Japońska	21. Japanische Flotte	21ere Flotte Japonaise	日本第21舰队	21ª Frota Japonesa	21-ый Флот Японии	21ª Flota Japonesa
M1.4F2	18th Japanese Fleet	18ta Flota Japońska	18. Japanische Flotte	18e Flotte Japonaise	日本第18舰队	18ª Frota Japonesa	18-ый Флот Японии	18ª Flota Japonesa
M1.4F3	16th Japanese Fleet	16ta Flota Japońska	16. Japanische Flotte	16e Flotte Japonaise	日本第16舰队	16ª Frota Japonesa	16-ый Флот Японии	16ª Flota Japonesa
M1.4F4	12th Japanese Fleet	12ta Flota Japońska	12. Japanische Flotte	12e Flotte Japonaise	日本第12舰队	12ª Frota Japonesa	12-ый Флот Японии	12ª Flota Japonesa
M1.4F5	17th Japanese Fleet	17ta Flota Japońska	17. Japanische Flotte	17e Flotte Japonaise	日本第17舰队	17ª Frota Japonesa	17-ый Флот Японии	17ª Flota Japonesa
M1.4F6	4th Japanese Air Fleet	4ta Japońska Flota Powietrzna	4. Japanische Luftflotte	4e Flotte Aérienne Japonaise	日本第4航空舰队	4ª Frota Aérea Japonesa	4-ый Воздушный Флот Японии	4ª Flota Aérea Japonesa
M1.4F7	Task Force 14	Grupa Zadaniowa 14	Sonderkommando 14	Forces Spéciales 14	第14特遣部队	Força Especial no. 14	Оперативная Группа 14	Grupo Especial 14
M1.4F8	Task Force 17	Grupa Zadaniowa 17	Sonderkommando 17	Forces Spéciales 17	第17特遣部队	Força Especial no. 17	Оперативная Группа 17	Grupo Especial 17
M1.4F9	Task Force 31	Grupa Zadaniowa 31	Sonderkommando 31	Forces Spéciales 31	第31特遣部队	Força Especial no. 31	Оперативная Группа 31	Grupo Especial 31
M1.4F10	Task Force 23	Grupa Zadaniowa 23	Sonderkommando 23	Forces Spéciales 23	第23特遣部队	Força Especial no. 23	Оперативная Группа 23	Grupo Especial 23
M1.4F11	Task Force 30	Grupa Zadaniowa 30	Sonderkommando 30	Forces Spéciales 30	第30特遣部队	Força Especial no. 30	Оперативная Группа 30	Grupo Especial 30
M2.1F1	4th Japanese Fleet	4ta Flota Japońska	4. Japanische Flotte	4e Flotte Japonaise	日本第4舰队	4ª Frota Japonesa	4-ый Флот Японии	4ª Flota Japonesa
M2.1F2	11th Japanese Coastal Defense Fleet	11ta Nadbrzeżna Flota Obronna Japonii	11. Küstenverteidigungsflotte Japans	11 Flotte Côtière de Défense du Japon	日本第11海防舰队	11ª Frota de Defesa Costeira Japonesa	11-ый Прибрежный Оборонный Флот Японии	11ª Flota Defensora de Costa Japonesa
M2.1F3	7th Japanese Air Fleet	7ma Japońska Flota Powietrzna	7. Japanische Luftflotte	7e Flotte Aérienne Japonaise	日本第7航空舰队	7ª Frota Aérea Japonesa	7-ой Воздушный Флот Японии	7ª Flota Aérea Japonesa
M2.1F4	14th Japanese Fleet	14ta Flota Japońska	14. Japanische Flotte	14e Flotte Japonaise	日本第14舰队	14ª Frota Japonesa	14-ый Флот Японии	14ª Flota Japonesa
M2.1F5	13th Japanese Fleet	13ta Flota Japońska	13. Japanische Flotte	13e Flotte Japonaise	日本第13舰队	13ª Frota Japonesa	13-ый Флот Японии	13ª Flota Japonesa
M2.1B1	Tokyo	Tokio	Tokio	Tokyo	东京	Tóquio	Токио	Tokio
M2.2F1	5th Japanese Fleet	5ta Flota Japońska	5. Japanische Flotte	5e Flotte Japonaise	日本第5舰队	5ª Frota Japonesa	5-ый Флот Японии	5ª Flota Japonesa
M2.2F2	8th Japanese Fleet	8ma Flota Japońska	8. Japanische Flotte	8e Flotte Japonaise	日本第8舰队	8ª Frota Japonesa	8-ой Флот Японии	8ª Flota Japonesa
M2.2F3	9th Japanese Fleet	9ta Flota Japońska	9. Japanische Flotte	9e Flotte Japonaise	日本第9舰队	9ª Frota Japonesa	9-ый Флот Японии	9ª Flota Japonesa
M2.2F4	3rd Japanese Submarine Flotilla	3cia Japońska Flotylla Podwodna	3. Japanische U-Boot-Flottille	3e Flottille Sous-Marine Japonaise	日本第3潜艇舰队	3ª Flotilha Submarina Japonesa	3-я Флотилия Подводных Лодок Японии	3ª Flotilla Submarina Japonesa
M2.2B1	Japanese base	Baza Japońska	Japanischer Stützpunkt	Base Japonaise	日本基地	Base Japonesa	База Японии	Base Japonesa
M2.2B2	Japanese base	Baza Japońska	Japanischer Stützpunkt	Base Japonaise	日本基地	Base Japonesa	База Японии	Base Japonesa
M2.3F1	2nd Japanese Air Fleet	2ga Japońska Flota Powietrzna	2. Japanische Luftflotte	2e Flotte Aérienne Japonaise	日本第2航空队	2ª Frota Aérea Japonesa	2-ой Воздушный Флот Японии	2ª Flota Aérea Japonesa
M2.3F2	7th Japanese Air Fleet	7ma Japońska Flota Powietrzna	7. Japanische Luftflotte	7e Flotte Aérienne Japonaise	日本第7航空队	7ª Frota Aérea Japonesa	7-ой Воздушный Флот Японии	7ª Flota Aérea Japonesa
M2.3F3	10th Japanese Fleet	10ta Flota Japońska	10. Japanische Flotte	10e Flotte Japonaise	日本第10舰队	10ª Frota Japonesa	10-ый Флот Японии	10ª Flota Japonesa
M2.3B1	Japanese outpost	Placówka Japońska	Japanischer Posten	Établissement Japonais	日本前哨	Posto Japonês	Форпост Японии	Establecimiento Japonés
M3.3B1	Dutch Harbor	Dutch Harbor	Dutch Harbor	Dutch Harbor	荷兰港	Dutch Harbor	Датч-Харбор	Dutch Harbor
M3.3B2	Attu base	Stacja Attu	Station Attu	Station Attu	阿图岛基地	Estação Attu	Станция Атту	Estación de Attu
