	en	pl	de	fr	zh	pt	ru	es
AllyArriveTime	Fleet’s landing	Lądowanie floty	Flottenlandung	Atterrissage de la flotte	舰队正在登陆	Aterragem da frota	Высадка флота	Aterrizaje de la flota
AllyArriveTimeTooltipDesc	Time left until the Allied invasion fleet arrives at the shores of Tarawa. Ensure its safe landing!	Przygotuj się do jej obrony, gdy tylko dołączy do misji.	Bereite dich auf ihre Verteidigung vor, sobald sie sich der Mission anschließt.	Préparez-vous à la défendre dès qu’elle joigne la mission.	距离盟军的攻击舰队抵达塔拉瓦海岸的剩余时间， 我们得确保其安全着陆！	Prepare-se para a sua defesa logo quando entrar na missão.	Приготовьтесь к его обороне, как только он присоединится к миссии.	Prepárese para su defensa en cuanto entre en la misión.
AllyArriveTimeTooltipTitle	Troopships approaching	Sojusznicza flota jest w drodze	Die verbündete Flotte ist schon unterwegs.	La flotte alliée va bientôt arriver	部队正在接近目标	A frota aliada está a caminho	Флот союзника уже в пути	La flota aliada está en camino
AllyInvadeTimeTooltipName_3.2	Fleet’s arrival	Przybycie floty	Flottenankunft	L’arrivée de la flotte	舰队的到来	Chegada da frota	Прибытие флота	Llegada de la flota
AllyInvadeTimeTooltipDesc_3.2	Time left until the Allied invasion fleet reaches the area.	Obroń sojuszniczą flotę za wszelką cenę!	Verteidige die verbündete Flotte um jeden Preis!	Défendez la flotte alliée à tout prix !	距离盟军攻击舰队到达该地区的剩余时间。	Defenda a frota aliada a todos custos!	Защитите флот противника любой ценой!	¡Defienda la flota aliada a toda costa!
AllyInvadeTimeTooltipTitle_3.2	Troopships en route	Okręty wojskowe w drodze	Kriegsschiffe unterwegs	Les navires militaires vont bientôt arriver	途中的军舰	Navios militares a caminho	Войсковой транспорт уже в пути.	Buques militares en camino
AllyUnderAttackEvent	Allied forces are under attack. Click for guidance.	Sojusznicy w niebezpieczeństwie. Kliknij, aby zobaczyć.	Die Verbündeten sind in Gefahr. Klicke an, um anzuschauen.	Les alliés en danger. Cliquez pour voir.	盟友有危险！点击以聚焦。	Aliados em perigo Faça clique para ver.	Союзники в опасности. Нажмите, чтобы увидеть.	Aliados en peligro Haga clic para ver
AllyUnderAttackEventShort	Allied forces are in danger!	Sojusznicy w niebezpieczeństwie!	Die Verbündeten sind in Gefahr!	Les Alliés en danger !	盟友有危险！	Aliados em perigo!	Союзники в опасности!	¡Aliados en peligro!
AttackIncomingEventCarrier	The carrier is under attack. Click to view.	Lotniskowiec jest pod ostrzałem. Kliknij, aby zobaczyć.	Der Flugzeugträger wird beschossen. Klicke an, um anzuschauen.	Le porte-avion se trouve sous le feu. Cliquez pour voir.	航母受到攻击！点击以聚焦。	Porta-aviões sob fogo. Faça clique para ver.	Авианосец под обстрелом! Нажмите, чтобы увидеть.	El portaaviones está siendo atacado. Haga clic para ver
AttackIncomingEventCarrierShort	The carrier is under attack!	Lotniskowiec jest pod ostrzałem!	Der Flugzeugträger wird beschossen!	Le porte-avion se trouve sous le feu !	航母受到攻击！	Porta-aviões sob fogo!	Авианосец под обстрелом!	¡El portaaviones está siendo atacado!
