	en	pl	de	fr	zh	pt	ru	es
AIRCRAFT	AIRCRAFT	SAMOLOTY	FLUGZEUGE	AVIONS	飞机	AVIÕES	САМОЛЕТЫ	AVIONES
AircraftTab	Aircraft	Samoloty	Flugzeuge	Avions	飞机	aviões	Самолеты	Aviones
AirCraftTabDesc	Manage your aircraft by upgrading each type and acquiring more squadrons. Upgraded planes will be more powerful in combat, while having more squadrons allows for more effective combat strategies.	Ulepszaj swoje myśliwce, bombowce nurkujące i samoloty torpedowe lub zwiększ całkowitą liczbę eskadr na pokładzie. Lepsze samoloty są skuteczniejsze w trakcie walki, a więcej eskadr na pokładzie pozwala planować bardziej złożone strategie.	Verbessere deine Jagdflugzeuge, Tauchbomber und Torpedoflugzeuge oder erhöhe die Gesamtzahl der Staffeln auf dem Deck. Bessere Flugzeuge sind wirksamer während der Schlacht, und mehr Staffeln auf dem Deck erlaubt die Planung von mehr komplexen Strategien.	Améliorez vos chasseurs, bombardiers en piqué et avions torpilleurs ou augmentez le nombre total d’escadres sur le bord. Les meilleurs avions sont plus efficaces lors du combat, et plus d’escadres sur le bord vous permettent de planifier des stratégies plus complexes.	升级您的战斗机、俯冲轰炸机和鱼雷轰炸机， 或增加甲板上的中队总数。 升级后的飞机在战斗中将更加强大， 同时拥有更多的中队可以实现更有效的战斗策略。	Melhore os seus caças, bombardeiros mergulhadores e de torpedo ou aumente o número total de esquadras a bordo. Aviões melhores também são mais eficientes no combate e mais esquadras a bordo permite planejar melhor uma estratégia mais complexa.	Улучшите свои истребители, пикирующие бомбардировщики и торпедоносцы или увеличьте общее количество эскадрилий на палубе. Лучшие самолеты более эффективны в бою, а большее количество эскадрилий на палубе позволяет планировать более сложные стратегии.	Mejor sus cazas, bombarderos en picado y aviones de torpedos o aumente el número total de escuadras en la cubierta. Los aviones mejorados son más eficientes en el combate y más escuadras en la cubierta permite planear estrategias más complejas.
AirUpgrade	Air	Lotnictwo	Luftfahrt	Aviation	空军	Aviação	Авиация	Flota aérea
AntiAircraftUpgrade	Anti-Aircraft	Działa Przeciwlotnicze	Flugabwehrgeschütze	Batteries anti-aériennes	防空	Baterias antiaéreas	Зенитные Орудия	Cañones antiaéreos
begin	Begin	Rozpocznij	Beginne	Commencez	开始	Iniciar	Начать	Empezar
Bomber	Dive Bombers	Bombowce Nurkujące	Tauchbomber	Bombardiers en piqué	俯冲轰炸机	Bombardeiros mergulhadores	Пикирующие Бомбардировщики	Bombarderos en picado
BomberSkill1	DEF of maneuvers +1	DEF Manewrów +1	DEF der Manöver +1	DÉF Manœuvres +1	可操作的防御力 +1	DEF Manobras +1	ОБР Маневров +1	DEF Maniobras +1
BomberSkill2	ATK of maneuvers +1	ATK Manewrów +1	ANG der Manöver +1	ATK Manœuvres +1	可操作的攻击力 +1	ATQ Manobras +1	АТК Маневров +1	ATQ Maniobras +1
Buy	Buy	Kup	Kaufe	Acheter	购买	Comprar	Купить	Comprar
BuyID	Buy	Kup	Kaufe	Acheter	购买	Comprar	Купить	Comprar
BuyId	Buy	Kup	Kaufe	Acheter	购买	Comprar	Купить	Comprar
Cancel	CANCEL	ANULUJ	ANNULLIERE	ANNULER	取消	Cancelar	ОТМЕНИТЬ	CANCELAR
CARRIER	CARRIER	LOTNISKOWIEC	FLUGZEUGTRÄGER	PORTE-AVION	航母	PORTA-AVIÕES	АВИАНОСЕЦ	PORTAAVIONES
CarrierTab	Carrier	Lotniskowiec	Flugzeugträger	Porte-avion	航母	Porta-aviões	Авианосец	Portaaviones
CarrierTabDesc	Upgrade various aspects of your carrier and unlock different carrier types for overall upgrades.	Ulepszaj różne części lotniskowca lub zmień jego klasę.	Verbessere verschiedene Teile des Flugzeugträgers oder wechsle seine Klasse.	Améliorer les éléments du porte-avion ou remplacez sa classe.	升级航母的各个部分或更改航母的等级以达到整体升级。	Melhore diferentes partes do porta-aviões ou mude da sua classe.	Улучшите различные части авианосца или измените его класс.	Mejore diferentes partes del portaaviones o cambie su clase
ChooseType	Choose Type	Wybierz Typ	Wähle den Typ	Choisissez le Type	选择类型	Selecione o tipo	Выберите Тип	Elegir tipo
CREW	CREW	ZAŁOGA	MANNSCHAFT	ÉQUIPAGE	人员	TRIPULAÇÃO	ЭКИПАЖ	TRIPULACIÓN
CrewStorage	YOUR CREW	TWOJA ZAŁOGA	DEINE MANNSCHAFT	VOTRE ÉQUIPAGE	你的人员	A SUA TRIPULAÇÃO	ВАШ ЭКИПАЖ	SU TRIPULACIÓN
CrewTab	Crew	Załoga	Mannschaft	Équipage	人员	Tripulação	Экипаж	Tripulación
CrewTabDesc	Choose your staff and recruit new crew and officers. Unlock additional slots to assign more personnel to your ship’s company.	Wybierz i ulepsz swoich marynarzy i oficerów. Odblokuj dodatkowe stanowiska, aby zatrudnić więcej załogi.	Wähle und verbessere deine Matrosen und Offiziere. Entsperre die zusätzlichen Posten um mehr Mannschaft einzustellen.	Sélectionnez et améliorer vos marins et officiers. Débloquez les postes supplémentaires pour embaucher plus d’équipage.	选择并升级您的人员和军官。 解锁更多槽位以分配更多人员。	Selecione e melhore os seus marinheiros e oficiais. Desbloqueie vagas adicionais para contratar mais tripulação.	Выберите и улучшите своих моряков и офицеров. Разблокируйте дополнительные позиции, чтобы нанять больше экипажа.	Elija y mejore sus marineros y oficiales Desbloquee puestos adicionales para contratar más tripulación
DcRepairSpeed	DC Repair Speed	Prędkość Napraw DC	Geschwindigkeit der Reparaturen der RB	Vitesse de Réparations DC	修复速度	Velocidade das reparações DC	Скорость Ремонта РБ	Velocidad de reparaciones DC
DeckUpgrade	Damage Control	Dział Naprawczy	Reparaturabteilung	Service de Réparation	甲板和维修	Departamento de reparação	Ремонтное Отделение	Departamento de reparación
DepartmentFullUpgrade	Team Player	Gracz Zespołowy	Teamplayer	Joueur d’équipe	团队协作者	Jogador em equipa.	Командный Игрок	Jugador en equipo
DepartmentSoloUpgrade	Lone Wolf	Samotnik	Einzelgänger	Loup solitaire	独狼	Lobo solitário.	Одинокий волк	Solitario
DOCK	DOCK	DOKI	DOCKS	DOCKS	码头	DOCAS	ДОКИ	MUELLES
Docks	AVAILABLE VESSELS	DOSTĘPNE STATKI	VERFÜGBARE SCHIFFE	NAVIRES ACCESSIBLES	可用的武器库	NAVIOS DISPONÍVEIS	ДОСТУПНЫЕ КОРАБЛИ	BUQUES DISPONIBLES
DontAskAgain	Don’t ask this again	Nie Pytaj Ponownie	Nicht mehr fragen	Ne plus demander	永远不要再问	Não volte a perguntar	Больше не спрашивать	No me preguntes más
EngineeringUpgrade	Engineering	Inżynier	Ingenieur	Ingénieur	工程施工中	Engenheiro	Инженер	Ingeniero
ESCORT	ESCORT	ESKORTA	GELEITSCHUTZ	ESCORTE	护航	ESCOLTA	ЭСКОРТ	ESOLTA
escort	Escort	Eskorta	Geleitschutz	Escorte	护航	Escolta	Эскорт	Escolta
Escort	Escort	Eskorta	Geleitschutz	Escorte	护航	Escolta	Эскорт	Escolta
EscortDefense	Escort Defense	Obrona Eskorty	Verteidigung des Geleitschutzes	Défense de l’Escorte	护航防御力	Defesa da escolta	Защита Эскорта	Defensa de la Escolta
EscortSize	Upgrade Escort Size	Zwiększ Liczebność Eskorty	Erhöhe die Zahl des Geleitschutzes	Augmenter le nombre de l’Escorte	升级护航规模	Aumente o número de unidades de escolta	Увеличить Численность Эскорта	Aumente el número de la Escolta
EscortTab	Escort	Eskorta	Geleitschutz	Escorte	护航	Escolta	Эскорт	Escolta
EscortTabDesc	Make sure that you prepare your escort with the mission’s objectives in mind. For example, your fleet will benefit from more supply ships on longer missions, but defense may be more important in dangerous situations.	Upewnij się, że dobierasz eskortę, mając na uwadze cele misji. Twoja flota lepiej wykorzysta statki zaopatrzeniowe w dłuższych misjach, ale w trudnej sytuacji, obrona może być ważniejsza.	Vergewissere dich, dass du den Geleitschutz unter der Beachtung der Missionsziele wählst. Deine Flotte wird die Versorgungsschiffe bei längeren Missionen besser nutzen, aber in einer schwierigen Situation kann die Verteidigung wichtiger sein.	Assurez-vous si vous sélectionnez l’escorte en tenant compte des objectifs de la mission. Votre flotte utilisera mieux les navires d’approvisionnement lors de missions plus longues, mais dans une situation difficile, la défense peut être plus importante.	在准备好开始护航时应考虑到任务的目标。 例如， 您的舰队将在执行更长任务时得到更多补给舰的帮助， 但在困难时防御可能更为重要。	Certifique-se de que está a selecionar a escolta tendo em conta os objetivos da missão. A sua frota aproveitará melhor os navios de abastecimento em missões mais longas, mas numa situação difícil a defesa pode tornar-se mais importante.	Убедитесь, что выбираете эскорт в соответствии с целями миссии. Ваш флот будет лучше использовать корабли снабжения в более длительных миссиях, но в сложной ситуации оборона может оказаться важнее.	Certifíquese de que está eligiendo la escolta teniendo en cuenta los objetivos de la misión. Su flota aprovechará mejor los buques de suministro en misiones más largas, pero en situaciones difíciles la defensa puede ser más importante.
FasterResupply	Resupply Speed	Prędkość Uzupełniania Zasobów	Geschwindigkeit der Ergänzung der Ressourcen	Vitesse de Réaprovisionnement des Ressources	补给速度	Velocidade de reabastecimento	Скорость Пополнения Запасов	Velocidad de reabastecimiento
Fighter	Fighter Aircraft	Myśliwce	Jagdflugzeuge	Chasseurs	战斗机	Caças	Истребители	Cazas
FighterSkill1	DEF of maneuvers +1	DEF Manewrów +1	DEF der Manöver +1	DÉF Manœuvres +1	可操作的防御力 +1	DEF Manobras +1	ОБР Маневров +1	DEF Maniobras +1
FighterSkill2	ATK of maneuvers +1	ATK Manewrów +1	ANG der Manöver +1	ATK Manœuvres +1	可操作的攻击力 +1	ATQ Manobras +1	АТК Маневров +1	ATQ Maniobras +1
GeneralBoostUpgrade	Generalist	Generalista	Generalist	Général	通才	Generalista	Специалист широкого профиля	Generalista
IntermissionDefenseBonus	Carrier Defense	Obrona Lotniskowca	Verteidigung des Flugzeugträgers	La défense du porte-avion	航母的防御力	Defesa do porta-aviões	Оборона Авианосца	Defensa del portaaviones
launch	Launch	Rozpocznij	Beginne	Commencez	起飞	Iniciar	Начать	Empezar
Load	Load Game	Wczytaj grę	Spiel laden	Chargez le jeu	加载游戏	Carregar jogo	Загрузить Игру	Cargar juego
LoadGame	Load Game	Wczytaj grę	Spiel laden	Chargez le jeu	加载游戏	Carregar jogo	Загрузить Игру	Cargar juego
MainMenu	Main Menu	Menu główne	Hauptmenü	Menu principal	主菜单	Menu principal	Главное Меню	Menú principal
ManeuversDefense	Extra Maneuver Defense	Zwiększenie obrony manewrów	Verstärkung der Verteidigung der Manöver	Augmenter la défense des manœuvres	防御力奖励	Aumento da defesa de manobras	Увеличение защиты маневров	Aumento de la Defensa de las maniobras
MaxSupply	Supplies Capacity	Pojemność ładowni	Volumen der Ressourcen	Volume de ressources	供应能力	Capacidade de recursos	Вместимость хранилища припасов	Capacidad del almacén
MedicalUpgrade	Medical	Medyk	Mediziner	Médecin	医疗	Médico	Медик	Médico
NavigationUpgrade	Navigation	Nawigator	Navigator	Navigateur	导航	Navegador	Навигатор	Navegador
NoviceUnit	Novice Unit	Jednostka Nowicjuszy	Neulinge-Einheit	Unité de Novices	新手人员	Unidade de novatos	Подразделение Новичков	Unidad de Novatos
OfficersStorage	YOUR OFFICERS	TWOI OFICEROWIE	DEINE OFFIZIERE	VOS OFFICIERS	你的官员	OS SEUS OFICIAIS	ВАШИ ОФИЦЕРЫ	SUS OFICIALES
PlanesStorage	AVAILABLE AIRCRAFT	DOSTĘPNY ARSENAŁ	VERFÜGBARE WAFFEN	VOTRE ARSENAL	可用的武器库	ARSENAL DISPONÍVEL	ДОСТУПНЫЙ АРСЕНАЛ	ARSENAL DISPONIBLE
Quit	Quit	Wyjdź	Verlassen	Quitter	退出	Saída	Выйти	Salir
RadarRange	Radar Range	Zasięg Radaru	Aktionsradius des Radars	Portée de Radar	雷达范围	Alcance do radar	Радиус действия Радара	Alcance del Radar
