	en	pl	de	fr	zh	pt	ru	es
AmbushDescription	With the operation failed and the battle lost, we had to withdraw from the Indian Ocean. While we struggled to deal with the damage to our ships, the Japanese discovered the location of our strike group and redirected their naval forces in the area to chase us. You must now lead your beleaguered fleet to safer territory via one of two possible routes—while taking action to save your damaged carrier from sinking.	Ponieważ operacja nie powiodła się, a bitwa została przegrana, musieliśmy wycofać się z Oceanu Indyjskiego. Podczas gdy my zmagaliśmy się z uszkodzeniami naszych okrętów, Japończycy odkryli lokalizację naszej grupy uderzeniowej i przekierowali swoje siły morskie w ten rejon, aby nas ścigać. Musisz teraz poprowadzić swoją oblężoną flotę do bezpieczniejszego terytorium jedną z dwóch możliwych dróg - jednocześnie podejmując działania mające na celu uratowanie uszkodzonego lotniskowca przed zatonięciem.	Weil die Operation nicht gelungen ist und die Schlacht wurde verloren, mussten wir den Indischen Ozean verlassen. Während wir Probleme mit den Beschädigungen unserer Schiffe hatten, entdeckten die Japaner die Lage unserer Sturmgruppe und leiteten ihre Seekräfte in diese Region um, um uns zu verfolgen. Du musst jetzt deine umzingelte Flotte in sichere Gewässer bringen, zur Wahl stehen zwei mögliche Wege - gleichzeitig sollst du Maßnahmen vornehmen, die den beschädigten Flugzeugträger vor dem Untergehen retten.	Comme l’opération a échoué et la bataille a été perdue, nous avons dû nous retirer de l’Océan Indien. Alors que nous devions faire face aux dommages causés à nos navires, les Japonais ont découvert l’emplacement de notre groupe aéronaval et ont redirigé leurs forces navales vers cette région afin de nous poursuivre. Vous devez mener votre flotte assiégée vers un territoire plus sûr en prenant une de deux routes possibles - tout en prenant des mesures visant à empêcher le porte-avions endommagé de couler.	由于行动失败， 战斗失败， 我们不得不撤出印度洋。 当我们正努力修复船只的破坏时， 日本人发现了我们攻击群的位置， 并调动了他们在该地区的海军部队追击我们。 你现在必须通过两条可能的路线之一带领你陷入困境的舰队前往更安全的地区  ——  同时采取行动保护你受损的航母免于沉没。	Já que a operação falhou e o combate foi perdido, devimos retirar-nos do Oceano Índico. Enquanto trabalhámos sobre as danificações nos nossos navios, os japoneses descobriram a localização do nossos grupo de ataque e redirecionaram as suas forças marinhas a essa região para nos perseguir. Agora tem que dirigir uma frota sitiada até um território mais seguro por uma das vias possíveis realizando tarefas que tenham como objetivo salvar o porta-aviões danificado contra o naufrágio.	Поскольку операция провалилась, а сражение было проиграно, нам пришлось уйти из Индийского океана. Пока мы боролись с повреждениями своих кораблей, японцы обнаружили местоположение нашей ударной группы и перенаправили свои морские силы в этот район, чтобы преследовать нас. Теперь Вы должны вывести свой осажденный флот на безопасную территорию по одному из двух возможных маршрутов, одновременно предпринимая шаги по спасению поврежденного авианосца от затопления.	La operación ha fallado y por lo tanto el combate se ha perdido. Tuvimos que retroceder del Océano Índico. Mientras que nosotros luchamos con los daños en nuestros buques, los japoneses han descubierto la localización de nuestro grupo de ataque y han redireccionado sus fuerzas a esa región para perseguirnos. Ahora tiene que llevar su flota cercada hasta un territorio seguro por uno de los dos caminos y, al mismo tiempo, aplicando medidas de rescate de un caza dañado.
AmbushName	In Pursuit	W pościgu	Verfolgung	La poursuite	被追击	Em perseguição	В преследовании	En persecución
AmbushObj1	Make your way to safer waters, avoiding enemy forces and dealing with damage from the previous battle.	Przemierz drogę do bezpieczniejszych wód, unikając sił nieprzyjaciela i radząc sobie ze szkodami po poprzedniej bitwie.	Bringe das Schiff in ruhige Gewässer, vermeide die feindlichen Kräfte und behebe die Beschädigungen, die nach der letzten Schlacht entstanden sind.	Allez vers les eaux plus sûres, en évitant les forces ennemies et faisant face aux dégâts de la bataille précédente.	前往更安全的水域， 避开敌军并修复前一场战斗造成的伤害。	Siga a rota até as águas mais seguras evitando as forças inimigas e desenrascando-se com as danificações do último combate.	Проложите пусть по более безопасным водам, избегая вражеских сил и устраняя повреждения, полученные в предыдущем бою.	Llegue hasta aguas más seguras evitando las fuerzas enemigas y recuperándose de los daños sufridos en la batalla anterior.
AmbushObj2	Choose the path of your escape around New Guinea.	Wybierz trasę ucieczki dookoła Nowej Gwinei.	Wähle die Fluchtroute um Neuguinea herum.	Optez pour la voie d’évacuation autour de la Nouvelle-Guinée.	选择新几内亚周围的逃生路径。	Selecione a rota da fuga ao redor da Nova Guiné.	Выберите маршрут ухода вокруг Новой Гвинеи.	Seleccione el camino para huir alrededor de la isla de Nueva Guinea.
AmbushObj3	You can also recover Allied aircraft returning from their previous mission.	Możesz również odzyskać alianckie samoloty powracające z poprzedniej misji.	Du kannst auch die Flugzeuge der Verbündeten haben, die von der letzten Mission zurückkehren.	Vous pouvez également récupérer des avions alliés revenant de la mission précédente.	您还可以让从先前任务中返回的盟军飞机着陆。	Também pode recuperar os aviões aliados que voltam da última missão.	Вы также можете принять самолеты союзников, возвращающиеся с предыдущей миссии.	También puede recuperar los aviones aliados que vuelven de la misión anterior.
BataanDesc	Japan continues its efforts to control the Southwest Pacific; its next goal is to capture the Philippines outright. Consolidating its grip on the islands would strengthen our enemy’s dominance in the region and provide a solid base for further operations in the Dutch East Indies—which seems to be its intent. While land-battle rages in Bataan, you must face the enemy at sea. If the Japanese navy blocks our supply lines in the South China Sea, they will prevent us from supporting our forces on the ground and likely ensure our defeat. Your task is to sink the Japanese fleets in the area while protecting our own, thereby securing our maritime access to the Bataan Peninsula.	Japonia kontynuuje swoje wysiłki w celu opanowania południowo-zachodniego Pacyfiku; jej następnym celem jest całkowite zdobycie Filipin. Umocnienie swojej pozycji na wyspach wzmocniłoby dominację naszego wroga w regionie i zapewniłoby mu solidną bazę do dalszych operacji w Holenderskich Indiach Wschodnich - co wydaje się być jego zamiarem. Podczas gdy na Bataanie toczy się bitwa lądowa, ty musisz stawić czoła wrogowi na morzu. Jeśli japońska marynarka zablokuje nasze linie zaopatrzenia na Morzu Południowochińskim, uniemożliwi nam wsparcie naszych sił na lądzie i prawdopodobnie zapewni nam klęskę. Waszym zadaniem jest zatopienie japońskich flot w tym rejonie przy jednoczesnej ochronie naszych własnych, co zabezpieczy nam morski dostęp do półwyspu Bataan.	Japan setzt seine Anstrengungen fort, um Süd-West-Pazifik zu erobern; sein nächstes Ziel ist die Eroberung von Philippinen. Die Verstärkung seiner Position auf den Inseln würde die Dominanz unseres Feindes in der Region stärken und ihm einen soliden Stützpunkt für weitere Operationen in Niederländisch-Indien bieten - was sein Ziel zu sein scheint. Während auf Bataan Bodenkrieg tobt, du musst dem Feind zur See die Stirn bieten. Wenn die japanische Marine unsere Versorgungslinien im Südchinesischen Meer blockiert, können wir unsere Landkräfte nicht unterstützen und wir werden wahrscheinlich verlieren. Eure Aufgabe ist das Versenken der japanischen Flotten in dieser Region beim gleichzeitigen Schutz unserer eigenen, wodurch wir einen sicheren Zugang zu der Halbinsel Bataan von der See aus bekommen.	Le Japon poursuit tous ses efforts pour conquérir le Pacifique Sud-Ouest ; sa cible suivante est d’envahir les Philippines. Le renforcement de la position sur les îles renforcerait la domination de notre ennemi dans la région et lui donnerait une base solide pour de nouvelles opérations dans les Indes Orientales néerlandaises - ce qui semble être son intention. Quand il y a une bataille terrestre sur Bataan, vous devez faire face à l’ennemi en la mer. Si la marine japonaise bloque nos voies d’approvisionnement en mer de Chine du Sud, cela nous empêchera de soutenir nos forces sur terre et probablement nous apportera une défaite. Votre tâche consiste à faire couler les flottes japonaises dans cette région tout en protégeant les nôtres ce qui nous sécurisera l’accès par voie maritime à la péninsule de Bataan.	日本试图控制西南太平洋； 它的下一个目标是彻底占领菲律宾， 并巩固对这些岛屿的控制， 以及将加强在该地区的主导地位， 并为在荷属东印度群岛的进一步行动提供坚实的基础  ——  这似乎是它的意图。 当陆战在巴丹肆虐时， 你必须面对海上的敌人。 如果日本海军封锁我们在南海的补给线， 他们将阻止我们对我们的地面部队提供支援， 并可能导致我们的行动失败。 你的任务是击沉该地区的日本舰队， 同时保护我们自己的舰队， 从而确保我们进入巴丹半岛的海上通道。	Japão continua os seus esforços que visam controlar o Pacífico sudoeste. O seu seguinte alvo objetivo é o controlo total sobre as Filipinas. O fortalecimento da sua posição nas ilhas fortaleceria a dominação do inimigo na região e oferecer-lhe-ia uma base robusta para mais operações nas Índias Orientais Holandesas, o que parece ser o seu objetivo. Enquanto em Bataan está a ocorrer uma batalha terrestre, você deve enfrentar o inimigo no mar. Se a marinha japonesa bloquear as nossas linhas de abastecimento no Mar do Sul da China, vai impedir-nos apoiar as nossas forças terrestres e provavelmente vai-nos levar a uma derrota. O nosso objetivo é destruir as frotas japonesas nesta região protegendo as nossas, o que nos garantirá acesso à Península de Bataan.	Япония продолжает прилагать усилия по завоеванию юго-западной части Тихого океана; ее следующая цель – полное завоевание Филиппин. Укрепление позиций на островах усилило бы господство нашего противника в регионе и обеспечило бы ему прочную базу для дальнейших операций в Голландской Ост-Индии, что, по-видимому, и является его намерением. Во время того, как на Батаане идет сухопутная битва, Вы должны противостоять врагу на море. Если японский флот заблокирует наши пути снабжения в Южно-Китайском море, это помешает нам поддержать наши силы на суше и, вероятно, приведет к поражению. Ваша задача – потопить японские флоты в этом районе, одновременно защищая наши собственные, что обеспечит нам морской доступ к полуострову Батаан.	Japón no para de trabajar en tomar control sobre el Pacífico suroeste. Su próximo objetivo un conquista total de las Filipinas. El refuerzo de su posición en las islas reforzaría la dominación de nuestros enemigo en la región y le garantizaría una robusta base para más operaciones en las Indias Orientales Neerlandesas, lo que parece ser su objetivo. Mientras que en Bataan está teniendo lugar una batalla terrestre, usted se tiene que enfrentar al enemigo en el mar. Si la flota japonesa bloquea nuestras líneas de suministro en el Mar del Sur de China, no seremos capaces de ayudar nuestras fuerzas en la tierra y probablemente vamos a fracasar. Nuestro objetivo es ahogar las flotas japonesas en la región protegiendo a los nuestros, lo que nos garantizará acceso marino a la península de Bataan.
BataanName	The Way to Bataan	Droga do Bataan	Weg nach Bataan	Route à la péninsule de Bataan	通往巴丹的路	Caminho a Bataan	Путь к Батаану.	Camino hacia Bataan
BataanObj1	Prevent the Japanese navy from securing its victory in Bataan.	Uniemożliwienie japońskiej marynarce wojennej zwycięstwa na Bataan.	Verhindern, dass die japanische Kriegsmarine auf Bataan gewinnt.	Empêcher à la marine japonaise de vaincre sur Bataan.	阻止日本海军在巴丹取得胜利。	Impedir a frota japonesa vencer no Bataan.	Недопущение победы военно-морских сил Японии на Батаане.	No dejar que la flota japonesa gane en Bataan.
BataanObj2	Hunt down and destroy the enemy fleets threatening supply routes in the South China Sea.	Wytrop i zniszcz wrogie floty grożące naszym szlakom zasobów na morzu południowochińskim.	Orte und vernichte die feindlichen Flotten, die unseren Versorgungslinien im Südchinesischen Meer gefährden.	Recherchez et détruisez les flottes ennemies menaçant à nos voies de ressources dans la mer de Chine du Sud.	追捕并摧毁威胁南海补给线的敌方舰队。	Encontre e destrua as frotas inimigas que põem em risco as nossas rotas de abastecimento no Mar do Sul da China.	Выследите и уничтожьте вражеские флоты, которые угрожают нашим путям снабжения в Южно-Китайском море.	Encuentre y destruya las flotas enemigas que ponen en peligro nuestros recursos en el Mar del Sur de China.
BataanObj3	Protect Allied vessels from enemy attack.	Chroń sojusznicze statki przed atakiem wroga.	Beschütze die verbündete Flotte vor den feindlichen Angriffen.	Défendez les navires alliés contre l’attaque de l’ennemi.	保护盟军船只免受敌人攻击。	Proteja os navios aliados contra o ataque no inimigo.	Защищайте союзные корабли от наступления врага.	Proteja los buques aliados contra el ataque enemigo.
