	en	pl	de	fr	zh	pt	ru	es
Class_Independence_01	Independence (Type I)	Independence (Typ I)	Independence (Typ I)	Independence (Type I)	独立级（I型）	Independence (Tipo I)	Независимость (Тип I)	Independence (Tipo I)
Class_Independence_02	Independence (Type II)	Independence (Typ II)	Independence (Typ II)	Independence (Type II)	独立级（II型）	Independence (Tipo II)	Независимость (Тип II)	Independence (Tipo II)
Class_Saipan_01	Saipan (Type I)	Saipan (Typ I)	Saipan (Typ I)	Saipan (Type I)	塞班岛级（I型）	Saipan (Tipo I)	Сайпан (Тип I)	Saipan (Tipo I)
Class_Saipan_02	Saipan (Type II)	Saipan (Typ II)	Saipan (Typ II)	Saipan (Type II)	塞班岛级（II型）	Saipan (Tipo II)	Сайпан (Тип II)	Saipan (Tipo II)
Class_Sangamon_01	Sangamon	Sangamon	Sangamon	Sangamon	桑加蒙级	Sangamon	Сангамон	Sangamon
Class_Casablanca_01	Casablanca	Casablanca	Casablanca	Casablanca	卡萨布兰卡级	Casablanca	Касабланка	Casablanca
Class_Cimarron_01	Cimarron (Type I)	Cimarron (Typ I)	Cimarron (Typ I)	Cimarron (Type I)	西马龙级（I型）	Cimarron (Tipo I)	Симаррон (Тип I)	Cimarron (Tipo I)
Class_Cimarron_02	Cimarron (Type II)	Cimarron (Typ II)	Cimarron (Typ II)	Cimarron (Type II)	西马龙级（II型）	Cimarron (Tipo II)	Симаррон (Тип II)	Cimarron (Tipo II)
Class_Cimarron_03	Cimarron (Type III)	Cimarron (Typ III)	Cimarron (Typ III)	Cimarron (Type III)	西马龙级（III型）	Cimarron (Tipo III)	Симаррон (Тип III)	Cimarron (Tipo III)
Class_Cimarron_04	Cimarron (Type IV)	Cimarron (Typ IV)	Cimarron (Typ IV)	Cimarron (Type IV)	西马龙级（IV型）	Cimarron (Tipo IV)	Симаррон (Тип IV)	Cimarron (Tipo IV)
Class_Chicopee_01	Chicopee (Type I)	Chicopee (Typ I)	Chicopee (Typ I)	Chicopee (Type I)	奇科皮级（I型）	Chicopee (Tipo I)	Чикопи (Тип I)	Chicopee (Tipo I)
Class_Chicopee_02	Chicopee (Type II)	Chicopee (Typ II)	Chicopee (Typ II)	Chicopee (Type II)	奇科皮级（II型）	Chicopee (Tipo II)	Чикопи (Тип II)	Chicopee (Tipo II)
Class_Chicopee_03	Chicopee (Type III)	Chicopee (Typ III)	Chicopee (Typ III)	Chicopee (Type III)	奇科皮级（III型）	Chicopee (Tipo III)	Чикопи (Тип III))	Chicopee (Tipo III)
Class_Atlanta_01	Atlanta (Oakland)	Atlanta (Oakland)	Atlanta (Oakland)	Atlanta (Oakland)	亚特兰大级（奥克兰）	Atlanta (Oakland)	Атланта (Окленд)	Atlanta (Oakland)
Class_Brooklyn_01	Brooklyn (Type I)	Brooklyn (Typ I)	Brooklyn (Typ I)	Brooklyn (Type I)	布鲁克林级（I 型）	Brooklyn (Tipo I)	Бруклин (Тип I)	Brooklyn (Tipo I)
Class_Cleveland_01	Cleveland (Type I)	Cleveland (Typ I)	Cleveland (Typ I)	Cleveland (Type I)	克利夫兰级（I 型）	Cleveland (Tipo I)	Кливленд (Тип I)	Cleveland (Tipo I)
Class_Cleveland_02	Cleveland (Type II)	Cleveland (Typ II)	Cleveland (Typ II)	Cleveland (Type II)	克利夫兰级（II 型）	Cleveland (Tipo II)	Кливленд (Тип II)	Chicopee (Tipo II)
Class_Fletcher_01	Fletcher (Type I)	Fletcher (Typ I)	Fletcher (Typ I)	Fletcher (Type I)	弗莱彻级（I 型）	Fletcher (Tipo I)	Флетчер (Тип I)	Fletcher (Tipo I)
Class_Fletcher_02	Fletcher (Type II)	Fletcher (Typ II)	Fletcher (Typ II)	Fletcher (Type II)	弗莱彻级（II 型）	Fletcher (Tipo II)	Флетчер (Тип II)	Fletcher (Tipo II)
Class_Sims_01	Sims (Type I)	Sims (Typ I)	Sims (Typ I)	Sims (Type I)	西姆斯级（I型）	Sims (Tipo I)	Симс (Тип I)	Sims (Tipo I)
Class_S_01	S (Type I)	S (Typ I)	S (Typ I)	S (Type I)	S级（I型）	S (Tipo I)	S (Тип I)	S (Tipo I)
Class_S_02	S (Type II)	S (Typ II)	S (Typ II)	S (Type II)	S级（II型）	S (Tipo II)	S (Тип II)	S (Tipo II)
Class_S_03	S (Type III)	S (Typ III)	S (Typ III)	S (Type III)	S级（III型）	S (Tipo III)	S (Тип III)	S (Tipo III)
Class_Trinity_01	Trinity	Trinity	Trinity	Trinity	齐尼迪级	Trinity	Тринити	Trinity
Class_Sapelo_01	Sapelo	Sapelo	Sapelo	Sapelo	帕托卡级	Sapelo	Сапело	Sapelo
CrewSlots	Crew Unit Slots	Stanowisko załogi	Mannschaftsstellung	Poste des membres de l’équipage	人员槽位	Lugar da tripulação	Позиция экипажа	Puesto de tripulación
OfficerSlots	Officer Slots	Stanowisko Oficerów	Offiziersstellung	Poste des Officiers	军官槽位	Lugar dos oficiais	Позиция Офицеров	Puesto de oficiales
TorpedoBombers.	TORPEDO BOMBERS	SAMOLOTY TORPEDOWE	TORPEDOFLUGZEUGE	AVIONS TORPILLEURS	鱼雷轰炸机	TORPEDEIROS	ТОРПЕДОНОСЦЫ	AVIONES TORPEDEROS
Fighters.	FIGHTER AIRCRAFT	MYŚLIWCE	JAGDFLUGZEUGE	CHASSEURS	战斗机	CAÇAS	ИСТРЕБИТЕЛИ	CAZAS
DiveBombers.	DIVE BOMBERS	BOMBOWCE NURKUJĄCE	TAUCHBOMBER	BOMBARDIERS EN PIQUÉ	俯冲轰炸机	BOMBARDEIROS MERGULHADORES	ПИКИРУЮЩИЕ БОМБАРДИРОВЩИКИ	BOMBARDEROS EN PICADO
OfficersWarning	Add more officers!	Dodaj oficerów!	Offiziere hinzufügen!	Ajoutez des officiers !	添加更多军官！	Adicione oficiais!	Добавьте офицеров!	¡Añadir oficiales!
FightersWarning	Add more fighters!	Dodaj myśliwce!	Jagdflugzeuge hinzufügen!	Ajoutez des chasseurs !	添加更多的战斗机！	Adicione caças!	Добавьте истребители!	¡Añadir cazas!
CrewMembersWarning	Add more crew units!	Dodaj załogantów!	Mannschaftsmitglieder hinzufügen!	Ajoutez des membres de l’équipage !	添加更多的人员！	Adiciones tripulação!	Добавьте членов экипажа!	¡Añadir tripulación!
BombersWarning	Add more dive bombers!	Dodaj bombowce nurkujące!	Tauchbomber hinzufügen!	Ajoutez des bombardiers en piqué !	添加更多俯冲轰炸机！	Adicione bombardeiros mergulhadores!	Добавьте пикирующие бомбардировщики!	¡Añadir bombarderos en picado!
