	en	pl	de	fr	zh	pt	ru	es
AssignUnits	Unassigned Crew Units	Jednostki Nieprzypisane	Einheiten, die der Mannschaft nicht zugeschrieben sind	Unités affectées à l’équipage	分配人员	Unidades não adscritas a uma tripulação	Не назначенные единицы	Unidades no adscritas
Audio	Audio Settings	Ustawienia Audio	Audioeinstellungen	Paramètres Audio	音频设置	Configurações Audio	Настройки Аудио	Configuraciones Audio
Back	Back	Wróć	Zurück	Retourner	后退	Voltar	Назад	Volver
BeautifulQuality	Beautiful	Piękna	Schöne	Belle	高品质	Linda	Прекрасная	Hermosa
BringUpPlanes	Position squadrons	Przygotuj eskadry	Staffeln vorbereiten	Préparer les escadres	准备飞机	Preparar esquadras	Приготовить эскадрильи	Preparar escuadras
CameraControl	Camera Control	Ustawienia Kamery	Kameraeinstellungen	Paramètres du caméra	相机控制	Configurações de sala	Настройки Камеры	Configuraciones de cámara
Continue	Continue	Kontynuuj	Fortsetzen	Continuer	继续	Continuar	Продолжить	Continuar
Controls	Controls	Sterowanie	Steuerung	Contrôle	控制选项	Controlo	Контроль	Control
Credits	Credits	Twórcy	Entwickler	Créateurs	积分	Criadores	Создатели	Creadores
DifficultyLevel	Difficulty Level	Poziom Trudności	Schwierigkeitsniveau	Niveau de difficulté	难度级别	Nível de dificuldade	Уровень Сложности	Nivel de dificultad
Easy	Easy	Łatwy	Leicht	Facile	简单	Fácil	Легкий	Fácil
English	English	English	Englisch	English	英语	English	English	Inglés
Exit	Exit	Wyjdź	Verlassen	Quitter	退出	Sair	Выйти	Salir
FantasticQuality	Fantastic	Fantastyczna	Phantastisch	Fantastique	极好品质	Fantástico	Фантастическое	Fantástico
FastestQuality	Fastest	Najszybsza	Am schnellsten	La plus vite	最快	O mais rápido	Самое быстрое	El más rápido
FastQuality	Fast	Szybka	Schnell	Vite	快速	Rápido	Быстрая	Rápido
GameMode	Game Mode	Tryb Gry	Spielmodus	Mode de jeu	游戏模式	Modo de jogo	Режим Игры	Modo del juego
GameModeF	Campaign	Kampania	Campagne	Campagne	战役	Campanha	Кампания	Campaña
GameModeS	Sandbox	Sandbox	Sandbox	Sandbox	沙盒	Sandbox	Песочница	Sandbox
GoodQuality	Good	Dobra	Gut	Bonne	好	Boa	Хорошая	Buena
Graphic	Graphics Settings	Ustawienia Graficzne	Graphische Einstellungen	Paramètres graphiques	图形设置	Configurações gráficas	Графические Настройки	Configuración de la gráfica
GraphicSettings	Graphics Settings	Ustawienia Graficzne	Graphische Einstellungen	Paramètres graphiques	图形设置	Configurações gráficas	Графические Настройки	Configuración de la gráfica
Hard	Hard	Trudny	Schwierig	Difficile	困难	Difícil	Трудный	Difícil
InverseX	Invert X Axis	Odwróć oś X	X Achse umdrehen	Détourner l’axe X	反转 X 轴	Eixo X reverso	Инвертировать ось X	Reverter el eje X
InverseY	Invert Y Axis	Odwróć oś Y	Y Achse umdrehen	Détourner l’axe Y	反转 Y 轴	Eixo Y reverso	Инвертировать ось Y	Reverter el eje Y
Language	Language	Język	Sprache	Langue	语言	Idioma	Язык	Idioma
MasterChannel	Master Volume	Główna głośność	Haupt-Lautstärke	Volume principale	主音量	Volume principal	Общая Громкость	Volumen principal
Medium	Medium	Średnia	Mittel	Moyenne	中等	Médio	Средняя	Medio
MusicChannel	Music Volume	Głośność muzyki	Musik-Lautstärke	Volume de musique	音乐音量	Volume de música	Громкость музыки	Volumen de la música
MuteSound	Mute Audio	Wycisz audio	Audio stumm schalten	Couper audio	静音	Apagar som	Отключить аудио	Silenciar el audio
NewGame	New Game	Nowa Gra	Neues Spiel	Nouveau jeu	新游戏	Novo jogo	Новая Игра	Nuevo juego
No	No	Nie	Nein	Non	否	Não	Нет	No
Normal	Normal	Normalny	Normal	Normal	普通	Normal	Нормальный	Normal
Polish	Polish	Polski	Polnisch	Polonais	波兰语	polaco	Польский	Polaco
QualitySetting	Quality	Jakość	Qualität	Qualité	质量	Qualidade	Качество	Calidad
Settings	Settings	Ustawienia	Einstellungen	Paramètres	设置	Configurações	Настройки	Configuraciones
SfxChannel	Effects Volume	Głośność efektów	Effekte-Lautstärke	Volume des effets	效果音量	Volume dos efeitos sonoros	Громкость эффектов	Volumen de los efectos
SimpleQuality	Simple	Prosta	Einfach	Droit	简单	Simples	Простая	Recta
TutorialDesc	Would you like to play the fleet preparation tutorial?	Czy chcesz zagrać w samouczek przygotowania floty?	Willst du ein Tutorial-Spiel für die Vorbereitung der Flotte spielen?	Voulez-vous jouer au tutoriel de préparation de la flotte ?	您想学习航空母舰的操作教程吗？	Deseja jogar o tutorial de preparação de frota?	Хотите пройти обучение по подготовке флота?	¿Desea jugar en el modo de aprendizaje de preparación de flota?
VoiceChannel	Voice Volume	Głośność dialogów	Dialog-Lautstärke	Volume des dialogues	音量	Volume dos diálogos	Громкость диалогов	Volumen de los diálogos
Vsync	VSync	Synchronizacja pionowa	Senkrechte Synchronisation	Synchronisation verticale	垂直同步	Sincronização vertical	Вертикальная синхронизация	Sincronización horizontal
Yes	Yes	Tak	Ja	Oui	是的	Sim	Да	Sí
Play	Play Tutorial	Zagraj w samouczek	Tutorial-Spiel spielen	Jouer au tutoriel	体验教程	Jogar o tutorial	Пройти обучение	Jugar en el modo de aprendizaje
Skip	Skip Tutorial	Pomiń samouczek	Tutorial-Spiel weglassen	Passer tutoriel	跳过教程	Saltar o tutorial	Пропустить обучение	Omitir el modo de aprendizaje
DeleteTitle	Delete saved game?	Usunąć zapisaną grę?	Das gespeicherte Spiel entfernen?	Voulez-vous supprimer le jeu sauvegardé ?	删除保存？	Apagar o jogo guardado?	Удалить сохраненную игру?	¿Eliminar el juego grabado anteriormente?
DeleteButton	Delete	Usuń	Entfernen	Supprimer	删除	Apagar	Удалить	Eliminar
TryOurOtherGames	Try our other games	Sprawdź inne nasze gry	Prüfe unsere anderen Spiele	Voir d’autres nos jeux	体验我们的其他游戏	Experimente outros jogos	Проверьте другие наши игры	Conozca otros juegos nuestros
German	German	Niemiecki	Deutsch	Allemand	德语	alemão	Немецкий	Alemán
Chinese	Chinese (Simplified)	Chiński 	Chinesisch	Chinois	简体中文	chinês	Китайский 	Chino 
Portugese	Portuguese	Portugalski	Portugiesisch	Portugais	葡萄牙语	português	Португальский	portugués
French	French	Francuski	Französisch	Français	法语	francês	Французский	francés
Russian	Russian	Rosyjski	Russisch	Russe	俄语	russo	Русский	Ruso
Turkish	Turkish	Turecki	Türkisch	Turc	土耳其语	turco	Турецкий	Turco
Italian	Italian	Włoski	Italienisch	Italien	意大利语	italiano	Итальянский	Italiano
Spanish	Spanish	Hiszpański	Spanisch	Espagnol	西班牙语	espanhol	Испанский	Español
ControlsTitle	CONTROLS	STEROWANIE	STEUERUNG	CONTRÔLE	控制项	CONTROLO	УПРАВЛЕНИЕ	CONTROL
ControlsPrimaryKey	PRIMARY KEY	GŁÓWNY	HAUPT	PRINCIPAL	主键	PRINCIPAL	ГЛАВНЫЙ	PRINCIPAL
ControlsSecondaryKey	SECONDARY KEY	ALTERNATYWNY	ALTERNATIV	ALTERNATIF	次键	ALTERNATIVO	АЛЬТЕРНАТИВНЫЙ	ALTERNATIVO
ControlsAccept	ACCEPT	AKCEPTUJ	AKZEPTIERE	ACCEPTER	接受	ACEITAR	ПОДТВЕРДИТЬ	ACEPTAR
ControlsOpenMap	Open Tactical Map	Otwórz mapę taktyczną	Taktische Karte öffnen	Ouvrir la carte tactique	打开战术地图	Abrir mapa tático	Открыть тактическую карту	Abrir mapa táctico
ControlsCrewManagement	Open Crew Management menu	Otwórz okno zarządzania załogą	Fenster Mannschaftsmanagement öffnen	Ouvrez la fenêtre de gestion de l’équipage	打开人员管理菜单	Abrir janela para gerir tripulação	Открыть окно управления экипажем	Abrir ventana de gestión de tripulación 
ControlsDeckView	Deck view	Widok Pokładu	Ansicht Deck	Vue du Bord	甲板视图	Vista de bordo	Вид Палубы	Vista de Cubierta
ControlsSectionsView	Sections view	Widok Sekcji	Ansicht Sektion	Vue de Section	剖面视图	Vista de secção	Вид Секций	Vista de Sección
ControlsIslandView	Island view	Widok Wyspy	Ansicht Insel	Vue des Îles	作战指挥部视图	Vista de ilha	Вид Острова	Vista de Isla
ControlsFreeCamera	Free Camera	Wolna Kamera	Freie Kamera	Caméra Libre	自由环视相机	Vista de sala	Свободная Камера	Cámara libre
ControlsOrdersMenu	Open Order menu	Otwórz okno Rozkazów	Befehlsfenster öffnen	Ouvrez la fenêtre des Ordres	打开指令菜单	Abrir janela de ordens	Открыть окно Приказов	Abrir ventana de Órdenes
ControlsPrepareRecon	Prepare Recon mission	Przygotuj Rekonesans	Aufklärung vorbereiten	Préparer la Reconnaissance	准备侦察任务	Preparar reconhecimento	Подготовить Рекогносцировку	Preparar misión de reconocimiento
ControlsPrepareAirstrike	Prepare Airstrike mission	Przygotuj Nalot	Luftangriff vorbereiten	Préparer le Raid Aérien	准备空袭任务	Preparar ataque aéreo	Подготовить Авиаудар	Preparar Ataque aéreo
ControlsPrepareIdentify	Prepare Identify Targets mission	Przygotuj Identyfikację Celu	Zielidentifikation vorbereiten	Préparer l’Identification de la Cible	准备识别目标任务	Preparar identificação de alvo	Подготовить Идентификацию Целей	Preparar Identificación del Objetivo
ControlsMaintenance	Maintenance button	Przycisk serwisowania	Taste Service	Bouton d’entretien	维护按钮	Botão de serviço	Кнопка технического обслуживания	Botón de mantenimiento
ControlsDeflooding	Deflooding button	Przycisk odpompowywania	Taste Abpumpen	Bouton de pompage	排水按钮	Botão de bombagem	Кнопка откачивания воды	Botón de bombeo
ControlsDeckState	Change deck state	Zmień stan Pokładu	Deckzustand wechseln	Changer l’état de bord	更改甲板状态	Configurar estado do bordo	Изменить состояние Палубы	Cambiar de estado de cubierta
ControlsTimeIncrease	Increase time speed	Przyspiesz upływ czasu	Zeitverlauf beschleunigen	Accélérer l’écoulement du temps	提高时间速度	Acelerar o tempo	Увеличить скорость течения времени	Agilizar el tiempo
ControlsTimeDecrease	Decrease time speed	Zwolnij upływ czasu	Zeitverlauf verlangsamen	Ralentir écoulement du temps	降低时间速度	Abrandar o tempo	Уменьшить скорость течения времени	Ralentizar el tiempo
