	en	pl	de	fr	zh	pt	ru	es
AA	Anti-Aircraft Dept.	Działa Przeciwlotnicze	Flugabwehrgeschütze	Batteries anti-aériennes	防空	Baterias antiaéreas	Зенитные Орудия	Cañones antiaéreos
AASection	AA Section	Stanowiska Przeciwlotnicze	Flugabwehrstellungen	Postes anti-aériens	AA 区域	Pontos de defesa antiaérea	Противовоздушные Позиции	Puestos de defensa antiaérea
AIR	Air Dept.	Dział Lotniczy	Luftabteilung	Division de l’Aviation	航空部门	Departamento aéreo	Авиационное Отделение	Departamento de Aviación
Avaliable	Available	Dostępne	Verfügbar	Accessibles	可用	Disponíveis	Доступные	Disponibles
CameraMoveToDeckView	Keep scrolling to change the view: Deck	Przewijaj dalej aby zmienić widok: pokład	Verschiebe weiter um die Ansicht zu wechseln: Deck	Faites défiler pour changer la vue : bord	继续滚动以更改视图：甲板	Ir para baixo para mudar de vista: bordo	Прокрутите страницу, чтобы изменить режим просмотра: палуба	Deslizar para cambiar de vista: cubierta 
CameraMoveToFreeView	Keep scrolling to change the view: Free Camera	Przewijaj dalej aby zmienić widok: wolna kamera	Verschiebe weiter um die Ansicht zu wechseln: freie Kamera	Faites défiler pour changer la vue : caméra libre	继续滚动以更改视图：自由旋转相机	Ir para baixo para mudar de vista: sala livre	Прокрутите страницу, чтобы изменить режим просмотра: свободная камера	Deslizar para cambiar de vista: cámara lenta
CameraMoveToIslandView	Keep scrolling to change the view: Island	Przewijaj dalej aby zmienić widok: wyspa	Verschiebe weiter um die Ansicht zu wechseln: Insel	Faites défiler pour changer la vue : île	继续滚动以更改视图：作战指挥部	Ir para baixo para mudar de vista: ilha	Прокрутите страницу, чтобы изменить режим просмотра: остров	Deslizar para cambiar de vista: isla
CameraMoveToSectionsView	Keep scrolling to change the view: Sections	Przewijaj dalej aby zmienić widok: sekcje	Verschiebe weiter um die Ansicht zu wechseln: Sektionen	Faites défiler pour changer la vue : sections	继续滚动以更改视图：区域	Ir para baixo para mudar de vista: seções	Прокрутите страницу, чтобы изменить режим просмотра: секции	Deslizar para cambiar de vista: secciones
CannotGetSquadron	There are not enough planes of this type in the hangar!	Nie ma wystarczającej ilości eskadr tego typu w hangarze!	Es gibt nicht genügend Staffeln dieses Typs im Hangar!	Nombre d’escadres de ce type insuffisant dans le hangar !	机库中没有足够的这种类型的飞机！	No hangar não existe a quantidade suficiente de esquadras deste tipo!	Недостаточное количество эскадрилий этого типа в ангаре!	¡No hay escuadras suficientes en este tipo de hangar!
CAPMission	CAP Mission	Misja BPP	Mission KLP	Mission PAC	空中巡逻队任务	Missão PAC	Миссия БВП	Misión PAC
CurrentState	CURRENT STATE	STAN OBECNY	AKTUELLE LAGE	ÉTAT ACTUEL	当前状态	ESTADO PRESENTE	ТЕКУЩЕЕ СОСТОЯНИЕ	ESTADO PRESENTE
DEADSLOW	DEAD SLOW	B. WOLNO	B. LANGSAM	B. LENTEMENT	最低速度	MUITO LENTO	ОЧЕНЬ МЕДЛЕННО	MUY LENTO
DeckTwo	Damage Control Dept.	Brygady Naprawcze	Reparaturbrigaden	Brigades de Réparation	维修	Brigadas de reparação	Ремонтные Бригады	Brigadas de reparación
DefensivePosition	Defensive Position	Szyk Obronny	Verteidigungsformation	Position défensive	防守位置	Formação defensiva	Оборонительная Позиция	Formación defensiva
DEPARTMENTS	DEPARTMENTS	DZIAŁY	ABTEILUNGEN	DIVISIONS	部门	DEPARTAMENTOS	ОТДЕЛЕНИЕ	SECCIONES
DETAILS	DETAILS	SZCZEGÓŁY	EINZELHEITEN	DÉTAILS	细节	DETALHES	ПОДРОБНОСТИ	DETALLES
DisabledRetriveDesc	It is currently not possible to recover this mission.	Odbiór tej misji nie jest teraz możliwy.	Die Übernahme dieser Mission ist jetzt nicht möglich.	Impossible de récupérer cette mission	此任务现在无法撤回	A receção desta missão agora não é possível.	Прием этой миссии сейчас невозможен.	La recepción de esta misión no es posible en este momento.
DisabledRetriveTitle	Recovery Unavailable	Odbiór niemożliwy.	Übernahme unmöglich.	Récupération impossible.	撤回功能已禁用	Receção impossível.	Прием невозможен.	Recepción imposible.
Effect	Effect	Efekt	Effekt	Résultat	影响	Efeito	Эффект	Efecto
Firefighting	Firefighting	Gaszenie pożarów	Brandlöschen	Lutte contre l’incendie	消防	Combate a incêndios	Тушение пожаров	Extinción de incendios
FULL	FULL	CAŁA	VOLLE	TOUTE	全速	INTEIRO	ПОЛНЫЙ	ENTERA
HALF	HALF	PÓŁ	HALB	DEMI	半速	METADE	ПОЛОВИНА	MEDIA
Help	Help	Pomoc	Hilfe	Aide	帮助	Ajuda	Помощь	Ayuda
IdentifyTime_2.4	Identify ships	Wykonaj rozkaz z Midway	Führe den Befehl aus Midway aus	Suivez les ordres de Midway	识别船舶	Realize uma ordem de Midway	Выполните приказ с Мидуэя	Realice la orden de Midway
IncorrectDayTime	You cannot perform deck operations during the nighttime.	Nie można wysyłać samolotów w nocy.	Man kann die Flugzeuge nicht nachts fliegen lassen.	Impossible d’envoyer les avion de nuit.	您无法在夜间执行任何甲板操作。	Não se pode enviar aviões de noite.	Нельзя отправлять самолеты ночью.	No se puede enviar aviones por la noche.
IncorrectDeckMode	Missions cannot be launched with the deck in Recovery state!	Misja nie może się rozpocząć, gdy pokład jest w trybie lądowania!	Die Mission kann nicht beginnen, wenn sich das Deck im Landungsmodus befindet!	Impossible de lancer la mission quand le bord est en mode d’atterrissage !	当甲板处于着陆状态时无法执行起飞任务！	A missão não pode começar enquanto o bordo estiver em modo de aterragem!	Миссия не может начаться, если палуба находится в состоянии посадки!	¡La misión no puede comenzar cuando la cubierta está en el modo de aterrizaje!
IncorrectMissionStage	Your strike group is too far from this mission’s recovery area!	Nasza flota jest poza obszarem odbioru tej misji!	Unsere Flotte befindet sich außerhalb des Gebiets der Übernahme der Mission!	Notre flotte est hors la zone de récupération de cette mission !	我们的战斗攻击群在这次任务的撤回区域之外！	A nossa frota está fora da zona de receção desta missão!	Наш флот находится слишком далеко от зоны приема этой миссии!	¡Nuestra flota está fuerza del alcance de la recepción de esta misión!
InvasionTime	Enemy invasion	Czas do inwazji	Zeit bis zur Invasion	L’heure d’invasion	敌人入侵	Tempo até a invasão	Время до вторжения	Tiempo hasta la invasión
IslandBonus	Island Bonus	Bonus Wyspy	Bonus der Insel	Bonus Île	作战指挥部奖励	Bónus da ilha	Бонус Острова	Bonus de la isla
Medical	Medical Dept.	Dział Medyczny	Medizinische Abteilung:	Division Médicale	医疗部门	Departamento Médico	Медицинское Отделение	Departamento Médico
MissionCompleteDescCoralSea	[OBSOLETE] Congratulations on the successful mission, Admiral. The Japanese invasion has been suppressed and your carrier escaped unscathed. Your achievements have made a great impact on the war, and you are sure to be commended for your efforts.	Gratulujemy udanej misji, Admirale. Japońska inwazja została stłumiona, a Twój lotniskowiec uciekł bez szwanku. Twoje osiągnięcia wywarły wielki wpływ na wojnę i na pewno zostaniesz pochwalony za swoje wysiłki.	Wir gratulieren zur gelungenen Mission, Admiral. Die japanische Invasion wurde niedergeschlagen, und dein Flugzeugträger ist unbeschädigt davongekommen. Deine Errungenschaften hatten einen großen Einfluss auf den Krieg und du wirst mit Sicherheit für deine Anstrengungen gelobt.	Félicitations pour votre mission, Amiral. L’invasion japonaise a été réprimée et votre porte-avion s’est échappé indemne. Vos succès ont eu un grand impact sur la guerre, et vous serez sûrement félicité pour vos efforts.	[OBSOLETE] 恭喜你成功完成任务， 海军上将。 日本人的入侵被我们压制了， 你的航母毫发无伤地逃脱了。 你的成就对战争产生了很大的影响， 你的努力肯定会受到赞扬。	Parabéns por uma missão bem-sucedida, Almirante. A invasão japonesa foi repelida e o seu porta-aviões fugiu sem danificações. Os seus resultados tiveram um grande impacto sobre a guerra e de certeza vai ser elogiado pelo esforço.	Поздравляем с успешной миссией, Адмирал! Японское вторжение было подавлено, а Ваш авианосец остался невредим. Ваши достижения оказали большое влияние на ход войны, и Ваши усилия обязательно будут оценены.	Enhorabuena por una misión concluida con éxito, ¡Almirante! La invasión japonesa ha sido derrotada y su portaaviones ha huido sin daños. Sus logros han tenido un gran impacto sobre la guerra y usted seguro recibirá una alabanza por sus esfuerzos.
Navigation	Navigation Dept.	Nawigacja	Navigation	Navigation	导航	Navegação	Навигация	Navegación
NotEnoughSpaceOnDeck	There is not enough space on the flight deck!	Nie ma dość miejsca na pokładzie!	Es gibt nicht genug Platz auf dem Deck!	Insuffisamment de place sur le bord !	甲板上没有足够的空间！	Não há espaço suficiente a bordo!	Недостаточно места на палубе!	¡No hay lugar suficiente en la cubierta!
ObjectiveComplete	OBJECTIVE COMPLETE	CEL OSIĄGNIĘTY	ZIEL ERREICHT	OBJECTIF ATTEINT	目标完成	OBJETIVO ATINGIDO!	ЦЕЛЬ ДОСТИГНУТА	OBJETIVO ALCANZADO
ObjectiveFail	OBJECTIVE FAILED	CEL NIEUDANY	ZIEL NICHT GELUNGEN	OBJECTIF ÉCHOUÉ	目标失败	OBJETIVO NÃO ATINGIDO!	ЦЕЛЬ НЕ ДОСТИГНУТА	OBJETIVO NO ALCANZADO
OBJECTIVES	OBJECTIVES	CELE	ZIELE	OBJECTIFS	目标	ALVOS	ЦЕЛИ	OBJETIVOS
Ongoing	Ongoing	W toku	Läuft	En cours	进行中	Em curso	В процессе	En curso
OrderCannotBeDone	This order cannot be done.	Rozkaz nie może zostać wykonany.	Der Befehl kann nicht erteilt werden	Impossible de donner un ordre	指令无法完成	Não se pode emitir ordem	Приказ не может быть выполнен.	La orden no puede ser emitida.
OrderQueueFull	The deck operations queue is full!	Kolejka rozkazów jest pełna	Die Warteschlange Befehle ist voll	Ligne de commandes est complète	指令队列已满	A fila de ordens está cheia	Очередь приказов переполнена	La cola de órdenes está llena
OurLosses	Your Losses	Twoje straty	Unsere Verluste	Nos pertes	我们的损失	As nossas perdas	Ваши потери	Sus pérdidas
OurPredictedDamage	Your predicted damage:	Twoje przewidywane obrażenia:	Unsere voraussichtlichen Verletzungen:	Nos blessures prévisionnelles :	我们预计的伤害：	As nossas lesões previstas:	Ваши предполагаемые повреждения:	Sus lesiones previstas:
OurPredictedLosses	Your predicted losses:	Twoje przewidywane straty:	Unsere voraussichtlichen Verluste:	Nos pertes prévisionnelles :	我们预计的损失：	As nossas perdas previstas:	Ваши предполагаемые потери:	Sus daños previstos:
OurPredictedLossesUnknown	Your predicted losses: Unknown	Twoje przewidywane straty: Nieznane	Unsere voraussichtlichen Verluste: Unbekannt	Nos pertes prévisionnelles : Inconnues	我们预计的损失：未知	As nossas perdas previstas: Desconhecidos.	Ваши предполагаемые потери: Неизвестно	Sus daños previstos: Desconocidos
Ready	Ready	Gotowe	Fertig	Prêtes	就绪	Pronto	Готово	Listo
ReconTime_2.4	Send recon	Wykonaj rozkaz z Midway	Führe den Befehl aus Midway aus	Suivez les ordres de Midway	派出侦察	Realize uma ordem de Midway	Выполните приказ с Мидуэя	Realice la orden de Midway
Recovery	Recovery	Lądowanie	Landung	Atterrissage	着陆	Aterragem	Возвращение	Aterrizaje
Repair	Maintenance	Naprawa	Reparatur	Réparation	修理	Reparação	Ремонт	Reparación
Rescue	First Aid	Ratunek	Rettung	Sauvetage	救援	Resgate	Первая помощь	Rescate
Retrieval	Recovery	Odbiór	Übernahme	Récupération	撤销	Receção	Прием	Recepción
