	en	pl	de	fr	zh	pt	ru	es
M0O1	Prevent Japan’s invasion	Powstrzymaj Japońską inwazję.	Stoppe die japanische Invasion	Arrêtez l’Invasion Japonaise.	防止日本入侵	Detenha a invasão japonesa	Остановите японское вторжение.	Pare la invasión japonesa.
M0O2	(Optional) Take a strategic position	[Opcjonalnie] Zajmij pozycję strategiczną.	[Optional] Beziehe strategische Stellung	[En option] Prenez la position stratégique	 [可选] 占据一个战略位置	[Opcional] Ocupe uma posição estratégica	[Не обязательно] Займите стратегическую позицию.	[Opción] Ocupe la posición estratégica.
M0O1D	Destroy the Japanese invasion fleet before it reaches Port Moresby.	Zniszcz japońską flotę inwazyjną zanim dotrze do Port Moresby.	Zerstöre die japanische Angriffsflotte bevor sie Port Moresby erreicht.	Détruisez la flotte japonaise avant qu’elle arrive au Port Moresby.	在到达莫尔兹比港之前摧毁日本入侵舰队。	Destrua a frota japonesa de invasão antes de chegar a Port Moresby.	Уничтожьте японский флот вторжения до того, как он достигнет Порт-Морсби.	Destruya la flota Invasora antes de que llegue a Port Moresby.
M0O2D	Optionally, you can position your strike group in grid square G7 for a tactical advantage.	Opcjonalnie możesz ustawić swoją grupę uderzeniową w kwadracie G7, aby uzyskać przewagę taktyczną.	Optional kannst du deine Sturmgruppe im Quadrat G7 positionieren, um taktischen Vorteil zu erreichen.	En option, vous pouvez quitter votre groupe aéronaval dans le secteur G7 pour gagner l’avantage tactique.	或者， 您可以将您的攻击群放置在 G7 方格中以获得战术优势。	Como uma opção, pode configurar o seu grupo de ataque no quadrado G7 para obter uma vantagem tácita.	По желанию Вы можете расположить свою ударную группу в квадрате G7, чтобы получить тактическое преимущество.	Opcionalmente, puede colocar su grupo de ataque en la zona G7 para obtener una ventaja táctica.
M2O1	(Optional) Recover the returning squadrons	[Opcjonalnie] Odbierz powracające eskadry.	[Optional] Übernehme die zurückkehrenden Staffeln	[En option] Récupérez les escadres revenons	 [可选] 让返回的飞行中队着陆	[Opcional] Receba as esquadras que voltam	[Не обязательно] Примите на палубу возвращающиеся эскадрильи. 	[Opcionalmente] Reciba las escuadras que vuelven.
M2O2	Escape by reaching the eastern edge of the map	Ucieknij, docierając do wschodniego krańca mapy.	Flüchte, indem du an den östlichen Rand der Karte kommst	Échappez-vous en atteignant l’extrémité est de la carte	到达地图的东部边缘方能得以逃脱	Fuja atingindo o extremo oriental do mapa	Спастись, добираясь до восточного края карты.	Huya alcanzando el borde oriental del mapa.
M2O1D	The positions of the returning aircraft to recover are shown on the Tactical Map.	Pozycje powracających samolotów oznaczone są na Mapie Taktycznej.	Die Positionen der zurückkehrenden Flugzeuge sind auf der taktischen Karte markiert.	Les positions des avions revenant sont indiquées sur la Carte Tactique.	需要着陆的返回飞机的位置显示在战术地图上。	As posições dos aviões que voltam estão assinalados no Mapa tático.	Позиции возвращающихся самолетов отмечены на Тактической Карте.	Las posiciones de los aviones que vuelven se señalan en el Mapa Táctico.
M2O2D	Reach the area by one of two possible routes—north or south of New Guinea.	Dotrzyj do obszary jedną z dwóch możliwych tras - na północ lub południe od Nowej Gwinei.	Erreiche die Gebiete mit einer der zwei möglichen Routen - nördlich oder südlich von Neuguinea.	Atteignez la zone en prenant une des itinéraires possibles - au Nord ou dans le Sud de la Nouvelle-Guinée	通过两条可能的路线之一到达该地区  ——  新几内亚北部或南部。	Atinja às zonas desejadas por um dos caminhos possíveis: a norte ou a sul da Nova Guiné.	Доберитесь до района по одному из двух возможных маршрутов — к северу или югу от Новой Гвинеи.	Llegue a la zona por una de las rutas: al norte o al sur de Nueva Guinea.
M1.1O1	Locate and sink the enemy carrier	Zlokalizuj i zatop wrogi lotniskowiec.	Lokalisiere und versenke den feindlichen Flugzeugträger.	Localisez et faites couler le porte-avion ennemi	定位并击沉敌方航母	Localize e afogue o porta-aviões inimigo.	Определите местоположение вражеского авианосца и потопите его.	Localice y hunda el portaaviones enemigo.
M1.1O1D	Hunt down the enemy carrier, located around grid square J3, and destroy it.	Zapoluj na wrogi lotniskowiec, znajdujący się w okolicy kwadratu J3 i zniszcz go.	Jage den feindlichen Flugzeugträger, der sich in der Nähe des Quadrats J3 befindet, und zerstöre ihn.	Pourchassez le porte-avions ennemi localisé à proximité du secteur J3 et détruisez-le.	追捕位于方格 J3 周围的敌方航母， 并将其摧毁。	Cace o porta-aviões inimigo, que se encontra na zona do quadrado J3 e destrua-o.	Выследите вражеский авианосец, который находится в области квадрата J3 и уничтожьте его.	Cace el portaaviones enemigo, que se encuentra en la zona del área J3 y destrúyalo.
M1.1O2	Launch and recover the VIP Rescue Mission	Wyślij misję Transport VIP-a.	Entsende die Mission Transport von VIP	Envoyez une mission Transport VIP.	前往拯救重要人物的任务	Envie uma missão de transporte para um VIP	Отправьте миссию Транспорт VIP-персоны.	Envíe una misión de Transporte de un VIP.
M1.1O2D	Send the special mission to Wake Island to rescue the trapped VIP, and recover the aircraft upon their return.	Wyślij misję specjalną na wyspę Wake, by odzyskać uwięzionego VIPa i odbierz samoloty, gdy powrócą.	Entsende eine Sondermission auf die Insel Wake, um den gefangengehaltenen VIP zu befreien und übernehme die Flugzeuge, wenn sie zurückkommen.	Envoyez une mission spéciale sur l’île Wake afin de sauver un VIP piégé et récupérez les avions dès qu’ils reviennent.	派出特殊任务前往威克岛营救被困的重要人物， 并在他们返回时降落飞机。	Envie uma missão especial à ilha de Wake para recuperar um VIP preso e receba os aviões quando voltarem.	Отправьте специальную миссию на остров Уэйк, чтобы вернуть попавшую в плен VIP-персону и примите самолеты, когда они вернутся.	Envíe una misión especial a la isla de Wake para recuperar al VIP preso y reciba los aviones cuando vuelvan.
M1.2O1	Escort the cargo fleet to Wake Island	Odprowadź statek do wyspy Wake.	Geleite das Schiff zur Insel Wake.	Faites emmener le navire sur l’île Wake	护送货运船队前往威克岛	Escolte o navio até a Ilha de Wake	Сопроводите корабль до острова Уэйк.	Acompañe al buque a la isla de Wake.
M1.2O1D	Ensure that the cargo fleet reaches its destination.	Upewnij się, że flota transportowa dotrze do celu.	Vergewissere dich, dass die Transportflotte ans Ziel kommt.	Assurez-vous si la flotte de transport atteigne sa destination.	确保货运船队到达目的地。	Certifique-se de que a frota de transporte vai atingir o objetivo.	Убедитесь, что транспортный флот достигнет цели.	Certifíquese de que la flota de transporte llegará al destino.
M1.2O2	Defend the cargo fleet from attack	Ochroń flotę transportową przed atakami.	Beschütze die Transportflotte vor Angriffen.	Protégez la flotte de transport contre les attaques.	保护货运船队免受攻击	Proteja a frota de transporte contra os ataques	Защитите транспортный флот от нападений.	Proteja la flota de transporte contra los ataques.
