	en	pl	de	fr	zh	pt	ru	es
AwardMedals	Award Medals	Przyznaj Medale	Verleihe Medaillen	Décerner les médailles	奖牌	Ofereça condecorações	Наградите Медалями	Conceda medallas
CommandPoints	COMMAND POINTS:	PUNKTY DOWODZENIA	KOMMANDOPUNKTE	POINTS DE COMMANDE	指挥点数：	PONTOS DE COMANDO	ПУНКТЫ КОМАНДОВАНИЯ	PUNTOS DE MANDO
CompleteTheMission	Complete the mission	Ukończ misję	Beende die Mission	Terminez la mission	完成任务	Conclua a missão	Завершите миссию	Termine la misión
ConfirmMissionRestart	Would you like to restart this mission?	Czy chcesz zacząć misję od nowa?	Willst du die Mission neu anfangen?	Voulez-vous reprendre la mission de nouveau ?	你想重新开始这个任务吗？	Deseja reiniciar a missão?	Хотите начать миссию заново?	¿Desea reiniciar la misión?
Crew	Award your crew	Odznacz Załogę	Verleihe der Mannschaft Medaillen	Décorez l’équipage	奖励你的人员	Condecore a tripulação	Оцените заслуги Экипажа	Conceda medallas a la Tripulación
CV3Name	Lexington	Lexington	Lexington	Lexington	萨拉托加号航空母舰	Lexington	Лексингтон	Lexington
CV5Name	Yorktown	Yorktown	Yorktown	Yorktown	约克镇号航空母舰	Yorktown	Йорктаун	Yorktown
CV9Name	Essex	Essex	Essex	Essex	埃塞克斯号航空母舰	Essex	Эссекс	Essex
Level	Level	Poziom	Niveau	Niveau	等级	Nível	Уровень	Nivel
LoseCause_001	Your carrier sank due to flooding.	Powódź na lotniskowcu spowodowała jego zatonięcie.	Die Überflutung auf dem Flugzeugträger trug zu seiner Versenkung bei.	L’inondation sur un porte-avion a causé son naufrage.	航母进了太多的水然后沉没了。	A inundação no porta-aviões provocou a seu naufrágio.	Потоп на авианосце привел к его потоплению.	La inundación en el portaaviones ha provocado su hundimiento.
LoseCause_002	Your carrier suffered too many technical malfunctions to continue operating.	Twój lotniskowiec doznał zbyt wielu usterek technicznych by kontynuować operację.	Dein Flugzeugträger wurde technisch zu stark beschädigt und versank.	Votre porte-avion a subi trop de défauts techniques et a coulé.	航母出现了太多的故障后沉没了。	O seu porta-aviões teve defeitos técnicos demais e afundou.	На Вашем авианосце слишком много технических неисправностей, чтобы продолжать операцию.	Su portaaviones ha sufrido demasiados fallos técnicos para poder continuar la operación.
LoseCause_003	Your carrier was destroyed by overwhelming fire damage.	Lotniskowiec doznał zbyt wielu uszkodzeń od ognia i zatonął.	Das Feuer hat den Flugzeugträger zu stark beschädigt, er versank.	Le porte-avion a subi trop de dommages causés par le feu et a coulé.	航母遭受了太多的火灾伤害并沉没了。	O porta-aviões recebeu demasiadas danificações provocadas pelo ataque e afundou.	Авианосец получил слишком много повреждений огнем и затонул.	El portaaviones ha sufrido demasiados daños en consecuencia de un ataque y se ha hundido.
LoseCause_004	So many sections were destroyed that your carrier could no longer function.	Lotniskowiec zatonął ze względu na zbyt dużą liczbę usterek w sekcjach.	Der Flugzeugträger versank, da er zu viele Störungen in den Sektionen hatte.	Le porte-avion a coulé en raison d’un nombre trop grand de pannes dans les sections.	航母有太多部分被击中后沉没了。	O porta-aviões afundou devido a um número demasiado alto de defeitos técnicos nas seções.	Авианосец затонул вследствие слишком большого количества неисправностей в секциях.	El portaaviones se ha hundido debido a demasiados fallos en las secciones.
LoseCause_005	Your crew suffered too many casualties to work the carrier.	Zbyt wielu rannych załogantów, działy lotniskowca nie mogły poprawnie funkcjonować.	Zu viele verletzte Mannschaftsmitglieder, die Abteilungen des Flugzeugträgers konnten nicht richtig funktionieren.	Trop de membres de l’équipage blessés, les divisions du porte-avion ne pouvait pas bien fonctionner.	受伤的机组人员太多， 航母无法正常运作。	Demasiados tripulantes lesionados. Os departamentos do porta-aviões não podem funcionar corretamente.	Слишком много раненых членов экипажа, отделения авианосца не могли нормально функционировать.	Demasiados tripulantes heridos. Las secciones del portaaviones no han podido funcionar correctamente.
LoseCause_1_1_RescueVip	The VIP Rescue Mission was not recovered in time	Nie udało ci się uratować VIPa.	Es ist dir nicht gelungen, den VIP zu retten.	Vous n’avez pas réussi à sauver le VIP.	重要人物救援任务失败	Não conseguiu salvar o VIP.	Не удалось спасти VIP-персону. 	No se ha podido rescatar al VIP.
LoseCause_1_2_DefendAlliedFleet	The Allied cargo fleet was sunk	Nie udało ci się obronić floty sojuszniczej.	Es ist dir nicht gelungen, die Flotte der Verbündeten zu beschützen.	Vous n’avez pas réussi à défendre la flotte alliée.	盟军货运船队被击沉	Não conseguiu defender a frota aliada.	Не удалось защитить союзный флот.	No se ha podido defender la flota aliada.
LoseCause_1_3_InvasionHasBegan	You failed to prevent the invasion of Port Moresby	Nie udało ci się zapobiec inwazji na Port Moresby	Es ist dir nicht gelungen, den Angriff auf Port Moresby zu verhindern.	Vous n’avez pas empêcher l’invasion de port Moresby	你未能阻止敌人对莫尔兹比港的入侵	Não conseguiu impedir a invasão de Port Moresby	Не удалось предотвратить вторжение на Порт-Морсби	No se ha podido evitar la invasión a Port Moresby
LoseCause_4_3_DefendAlliedFleet	The Allied fleet was destroyed	Sojusznicza flota została zniszczona	Die verbündete Flotte wurde zerstört.	La flotte alliée a été détruite	盟军舰队被摧毁	A frota aliada foi destruída	Союзный флот уничтожен.	La flota aliada ha sido destruida
