	en	pl	de	fr	zh	pt	ru	es
AACrewSwapDesc	Order off-duty crew to help maintain the anti-aircraft cannons, making them ready to fire instantly.	Rozkaż swojej załodze konserwację dział przeciwlotniczych by mogły natychmiast zacząć strzelać.	Befehle deiner Mannschaft, die Flugabwehrgeschütze zu warten, damit sie sofort mit dem Beschuss anfangen können.	Ordonner à votre équipage d’entretenir les batteries anti-aériennes pour pouvoir tirer immédiatement.	指示您的工作人员帮助维护 AA 电池， 使它们准备好可以立即开火。	Ordene que a sua tripulação realize uma conservação dos canhões antiaéreos para que possam abrir fogo imediatamente.	Отдайте своему экипажу приказ о техническом обслуживании зенитного орудия, чтобы они могли немедленно начать обстрел.	Ordene a su tripulación la conservación de los cañones antiaéreos para que puedan comenzar a disparar inmediatamente.
AACrewSwapEffect	Ends the cooldown period for all slots in the Anti-Aircraft Dept.	Dział Obrony Przeciwlotniczej jest natychmiast gotowy do obrony statku.	Die Luftabwehrabteilung ist sofort bereit, das Schiff zu verteidigen.	Division de Défense Anti-aérienne est immédiatement prête à défendre le navire.	防空部门做好了保卫战舰的准备	O Departamento de defesa aérea logo estará pronto para a defesa do navio.	Отделение Противовоздушной Обороны готово к немедленной защите корабля.	El Departamento de Defensa Antiaérea está listo para defender el buque.
AACrewSwapTitle	Anti-Aircraft Support	Zamiana Załogi dział przeciwlotniczych	Wechsel der Besatzung der Flugabwehrgeschütze	Changement de l’équipage	防空人员交换	Troca de tripulação Departamento Anti-Aéreo	Изменение Экипажа противовоздушных отделений	Cambio de la tripulación de los cañones antiaéreos.
AddDCDesc	Assemble a temporary Damage Control team from off-duty crew members. The team will appear in a random section below deck.	Rozkaż niektórym załogantom przyjęcie roli Brygady Naprawczej. Brygada pojawi się w losowym segmencie pod pokładem.	Teile manchen Mannschaftsmitgliedern die Rolle der Reparaturbrigade zu. Die Brigade wird im zufällig gewählten Segment unter Deck erscheinen.	Demandez certains membres de l’équipage d’accepter le rôle de la Brigade de Réparation. La Brigade apparaîtra dans le secteur aléatoire sous le pont.	指示您的一些人员担任维修队员的角色， 该人员将出现在甲板下方的随机区域。	Ordene a alguns tripulantes que integrem a Equipa de reparação. A equipa aparecerá no segmento em baixo do bordo.	Отдайте приказ некоторым членам экипажа взять на себя роль Ремонтной Бригады. Бригада появится в случайном сегменте под палубой.	Ordene a algunos tripulantes que asuman el papel de Equipo de reparación. El Equipo aparecerá en un segmento aleatorio debajo de la cubierta.
AddDCEffect	Adds an extra DC team	Dodaj zespół DC	RB-Team hinzufügen!	Ajouter une équipe de DR	获得额外的维修小队	Adicionar equipa DC	Добавьте команду РБ	Añadir Equipo DC
AddDCTitle	DC Reinforcements	Wzmocnienie BN	Verstärkung der RB	Renforcement de BR	加强维修力度	Reforço ER	Усиление РБ	Refuerzo del ER
ChooseCurrentOrderOBSOLETE	Choose an order	Wybierz Obecny Rozkaz	Wähle Jetziger Befehl	Prenez l’ordre actuel	选择当前指令	Escolha a ordem atual	Выберите Текущий Приказ	Seleccionar orden vigente
CodeBreakersDesc	Use information deciphered by the code-breaking team to reveal the location and composition of a random enemy fleet or base.	Użyj danych przechwyconych przez analityków by wykryć pozycję i skład przypadkowej floty wroga na mapie taktycznej.	Verwende Daten, die deine Analysten abgefangen haben, um die Position und die Zusammenstellung der zufälligen feindlichen Flotte auf der taktischen Karte aufzudecken.	Utilisez les données interceptées par les analystes pour découvrir la position et la composition d’une flotte ennemie aléatoire sur la carte tactique.	使用密码破解者捕获的数据在战术地图上随机读取敌方舰队的位置和规模。	Utilize os dados capturados pelo analistas para detetar a posição e a composição de uma frota inimiga aleatória no mapa tático.	Используйте данные, полученные аналитиками, для определения местоположения и состава случайного вражеского флота на тактической карте.	Utilice los datos interceptados por los analíticos para detectar la posición y la composición de una flota aleatoria del enemigos en el mapa táctico.
CodeBreakersEffect	Marks the location and composition of a random enemy on the Tactical Map	Zaznacz pozycję i skład losowej floty wroga na mapie taktycznej	Markiere die Position und die Zusammenstellung der zufälligen feindlichen Flotte auf der taktischen Karte.	Indiquez la position et la composition de la flotte ennemie aléatoire sur la carte tactique.	在战术地图上随机标记敌方舰队的位置和规模	Selecione a posição e a composição de uma frota aleatória no mapa tático	Отметьте положение и состав случайного флота противника на тактической карте	Indique la localización y la composición de una flota aleatoria del enemigo en el mapa táctico.
CodeBreakersTitle	Code Breakers	Łamanie Szyfru	Chiffre brechen	Décryptage	密码破解者	Decifração	Взлом Шифра	Descodificación
