	en	pl	de	fr	zh	pt	ru	es
LW_B_PH	Return to Pearl Harbor	Powrót do Pearl Harbor	Rückkehr nach Pearl Harbor	Retour à Pearl Harbor.	回到珍珠港	Volta a Pear Harbor	Возвращение на Перл-Харбор.	Vuelta a Pearl Harbor
IntermissionLeaveErrorTitle	Warning	Uwaga	Achtung	Attention	警告	Atenção	Внимание	Atención
IntermissionLeaveErrorDesc	Are you sure you want to proceed?	Czy na pewno chcesz kontynuować?	Willst du wirklich fortsetzen?	Êtes-vous sûr de vouloir continuer ?	您确定要继续吗？	Deseja continuar?	Вы точно хотите продолжить?	¿Está seguro que desea continuar?
IntermissionLeaveErrorPoint_01	You have empty slots for crew units.	Masz nieobsadzone stanowiska załogi.	Du hast unbesetzte Mannschaftspositionen.	Vous avez les postes vacants des membres de l’équipage.	您有给人员使用的空槽位。	Tem vagas na tripulação.	У Вас есть вакантные должности в экипаже.	Tiene puestos de tripulación no ocupadas.
IntermissionLeaveErrorPoint_02	You have empty slots for officers.	Masz nieobsadzone stanowiska oficerów.	Du hast unbesetzte Offizierspositionen.	Vous avez des postes vacants des officiers.	您有给军官使用的空槽位。	Tem vagas na tripulação de oficiais.	У Вас есть вакантные офицерские должности.	Tiene puestos de oficiales no ocupadas.
IntermissionLeaveErrorPoint_03	You have empty space for more squadrons in the hangars.	W hangarach jest puste miejsce na kolejne eskadry.	In den Hangars gibt es Platz für weitere Staffeln.	Il y a de la place dans les hangars pour les escadres suivants.	机库中有更多给飞行中队的空槽位。	Nos hangares há espaço vazio para mais esquadras.	В ангарах есть свободные места для новых эскадрилий.	En los hangares hay espacio libre para más escuadras.
IntermissionLeaveErrorPoint_04	You have empty space for more ships in your escort.	Masz puste miejsce na więcej statków w swojej eskorcie.	Du hast Platz für mehr Schiffe in deinem Geleitschutz.	Vous avez de la place pour plus de navires dans votre escorte.	您的护航舰队中有更多给船只的空槽位。	Tem vagas para mais navios na sua escolta.	У Вас есть свободное место для новых кораблей в эскорте.	Tiene un espacio libre para más buques en su escolta.
IntermissionLeaveErrorPoint_05	You have a lot of unused Upgrade Points.	Masz dużo niewykorzystanych Punktów Ulepszeń.	Du hast viele nicht verwendete Verbesserungspunkte.	Vous avez de nombreux Points d’Amélioration non utilisés.	您有很多未使用的升级点。	Tem muitos pontos de melhorias sem aproveitar.	У Вас много неиспользованных Пунктов Улучшений.	Tiene muchos Puntos de mejoras no aprovechados.
IntermissionLeaveErrorContinue	Continue	Kontynuuj	Fortsetzen	Continuer	继续	Continuar	Продолжить	Continuar
IntermissionLeaveErrorReturn	Return	Wróć	Rückkehr	Retourmer	返回	Regresso	Назад	Espalda
DemoCompleteDesc	I think my work here is done, Admiral. Now that you have completed the tutorial, you are ready to take command of the fleet and prepare it for war. To play the full version of the game, follow the link above.	Myślę, że na tym kończy się moja rola, Admirale. Teraz, kiedy ukończyłeś tutorial, jesteś gotów do poprowadzenia lotniskowca i grupy uderzeniowej w nadchodzących walkach. Aby zagrać w pełną wersję gry, naciśnij link powyżej.  	Ich denke, meine Arbeit hier ist getan, Admiral. Nachdem Sie das Tutorial abgeschlossen haben, sind Sie bereit, das Kommando über die Flotte zu übernehmen und sie für den Krieg vorzubereiten. Um die Vollversion des Spiels zu spielen, folgen Sie dem obigen Link.	Je pense que mon travail est terminé, amiral. Maintenant que vous avez terminé le didacticiel, vous êtes prêt à prendre le commandement de la flotte et à la préparer pour la guerre. Pour jouer à la version complète du jeu, suivez le lien ci-dessus.	我想我在这里的工作已经完成了，上将。 现在您已经完成了教程，您已经准备好指挥舰队并为战争做好准备。 要玩完整版游戏，请点击上面的链接。	Acho que meu trabalho aqui está feito, Almirante. Agora que você concluiu o tutorial, você está pronto para assumir o comando da frota e prepará-la para a guerra. Para jogar a versão completa do jogo, siga o link acima.	Думаю, на этом заканчивается моя роль, Адмирал. Теперь, когда Вы завершили обучение, Вы готовы возглавить авианосец и ударную группу в предстоящих сражениях. Чтобы сыграть в полную версию игры, перейдите по ссылке выше.  	Pienso que aquí termina mi papel, Almirante. Ahora, cuando ha terminado el modo de aprendizaje, está listo para tomar el control sobre el portaaviones y el grupo de ataque en los próximos combates. Para jugar en la versión completa del juego, haga clic en el enlace arriba.  
