	en	pl	de	fr	zh	pt	ru	es
EnemyStrengthWeak_01	As they are few in number, enemy forces should not pose a challenge in this region.	Siły wroga nie będą wyzwaniem.	Die feindlichen Kräfte stellen keine Herausforderung dar.	Les forces ennemies ne seront pas un défi.	敌军不构成威胁。	As forças no inimigo não apresentarão nenhuma dificuldade.	Вражеские силы не будут представлять угрозу.	Las fuerzas enemigas no serán ningún reto.
EnemyStrengthWeak_02	We have detected very few enemy fleets in this area.	W okolicy jest bardzo niewiele flot wroga.	In der Umgebung gibt es nur wenige feindliche Flotten.	Il y a très peu de flottes ennemies dans la région.	该地区几乎没有敌军舰队。	Nas proximidades há muito poucas frotas inimigas.	В окрестностях небольшое количество вражеских флотов.	En las proximidades hay pocas flotas del enemigo.
EnemyStrengthWeak_03	We have analyzed the enemy’s firepower in this region and found no reason to be worried.	Po analizie sił wroga, nie mamy powodu, by się martwić.	Nachdem wir die feindlichen Kräfte analysiert haben, sehen wir keinen Grund, uns Sorgen zu machen.	Après avoir analysé les forces ennemies, nous n’avons aucune raison de craindre.	在分析了敌人的火力后， 我们没有理由担心。	Depois de analisar as forças do inimigo, não temos motivos para nos preocuparmos.	После анализирования сил врага у нас нет повода для беспокойства.	Después de analizar las fuerzas del enemigo, no tenemos ningún motivo para preocuparnos.
EnemyStrengthWeak_04	Enemy forces in this area are sparse; they should pose no threat to your fleet.	Siły wroga na tym obszarze są nieliczne, nie powinni stanowić zagrożenia.	Auf dem Gebiet gibt es nur vereinzelte feindliche Kräfte, sie stellen keine Gefahr dar.	Il y a très peu de forces ennemies dans la région, elles ne devraient présenter aucun danger.	该地区的敌军稀少， 他们应该不构成威胁。	As forças do inimigo nesta zona são escassas, não vão ser um perigo.	Вражеские силы в этом районе немногочисленны и не должны представлять угрозу.	Las fuerzas en esta área son pocas, pero no deben de ofrecer ningún peligro.
EnemyStrengthWeak_05	Japan’s naval presence in these waters is inconsiderable. You are unlikely to encounter many of their forces.	Siły japońskie nie wydają się być liczne w tym regionie - nie powinieneś napotkać ich zbyt wielu.	Die japanischen Kräfte sind nicht besonders zahlreich in dieser Region vertreten - du wirst nicht auf allzu viele stoßen.	Les forces japonaises ne semblent pas nombreuses dans cette région - vous ne devriez pas en rencontrer trop.	日本军队在这个地区似乎没有太多的存在感  ——  你应该不会遇到太多麻烦。	As forças japonesas não parecem ser numerosas nesta região: não vamos encontrar muitas.	Японские войска не кажутся многочисленными в этом регионе – Вы не должны столкнуться со слишком большим их количеством.	Las fuerzas japonesas no parecen numerosas en estas región: no debe de encontrar muchas de ellas.
EnemyStrengthMediumLow_01	While there are some hostile fleets in this region, we don’t expect them to be too much of a problem.	W tym regionie są floty wroga, ale nie powinny spowodować zbyt wielu problemów.	In dieser Region gibt es feindliche Kräfte, sie sollen aber nicht allzu viele Probleme bereiten.	Il y a des flottes ennemies dans cette région, mais elles ne devraient pas causer trop de problèmes.	这个地区有一些敌方舰队， 但应该问题不大。	Nesta região há frotas inimigas, mas não vão provocar muitos problemas.	В этом регионе есть флоты врага, но они не должны создать слишком много проблем.	En esta región hay fuerzas enemigas, pero no deben de provocar muchos problemas.
EnemyStrengthMediumLow_02	Enemy ships have been spotted in the area, but their numbers do not present considerable danger.	W okolicy zauważono trochę statków wroga, ale nie powinny stanowić prawdziwego zagrożenia.	In der Umgebung wurden einige feindliche Schiffe gesichtet, aber sie sollen keine wahre Gefahr darstellen.	On a aperçu quelques navires de l’ennemi dans la région mais ils ne devraient présenter aucun danger.	在该地区发现了许多敌舰， 但他们应该不构成真正的威胁。	Nas proximidades avistámos alguns navios inimigos, mas não vão ser realmente perigosas.	В окрестностях замечено небольшое количество кораблей врага, но они не должны представлять собой настоящую угрозу.	En el área se han detectado algunos buques del enemigo, pero no deben de ser ningún gran peligro.
EnemyStrengthMediumLow_03	Japan has a small number of fleets around this location, but they shouldn’t be enough to hinder our operations.	Japonia ma niewielką liczbę flot wokół tej lokalizacji, ale nie powinny być wystarczające, by cię powstrzymać.	Japan hat eine kleine Anzahl von Flotten auf diesem Gebiet, aber sie reichen nicht aus, dich aufzuhalten.	La Japon dispose d’un certain nombre de flottes autours de cet endroit, mais elles ne devraient pas être suffisantes pours vous arrêter.	日本在这个位置附近有少量舰队， 但这应该不足以阻止你前进。	Japão tem uma pequena quantidade de frotas ao redor esta localização, mas vão ser suficientes para nos deter.	У Японии небольшое количество флотов вокруг этого места, но их не должно быть достаточно, чтобы остановить Вас.	Japón tiene un pequeño número de flotas alrededor de esta localización, pero no deben de ser suficientes para pararle a usted.
EnemyStrengthMediumLow_04	Some hostile forces are known to be in this area, but not so many that you should have cause for concern.	Wiadomo, że w okolicy przebywa kilku wrogów, ale nie jest ich tak wielu, aby stanowili powód do obaw.	Es ist bekannt, dass es in der Umgebung einige Feinde gibt, aber es gibt von ihnen nicht so viele, dass man sich Sorgen machen muss.	On sait qu’il y a quelques ennemis dans la région, mais lur nombre n'est pas suffisant pour présenter un danger.	已知一些敌人在该地区， 但他们的数量并不多， 因此不用过多在意。	Sabemos que nas proximidades há vários inimigos, mas não numerosos o suficiente para nos preocuparmos.	Известно, что в этом районе находится несколько врагов, но их не так много, чтобы они представляли собой повод для беспокойства.	Se sabe que en las proximidades hay varios enemigos, pero no son muchos y no van a ser ningún peligro.
EnemyStrengthMediumLow_05	This region is patrolled by enemy fleets, but their numbers are not high enough to pose a serious threat.	Region jest patrolowany przez kilka wrogich flot, ale ich liczba jest zbyt niska, by stanowić poważne zagrożenie.	Die Region wird durch feindliche Flotten patrouilliert, aber ihre Anzahl ist zu klein, um eine ernste Gefahr darzustellen.	La région est patrouillée par quelques flottes ennemies mais leur nombre n’est pas suffisantes pour présenter un danger.	该地区有一些敌方舰队在巡逻， 但数量太少， 不足以构成严重威胁。	A região está a ser patrulhada por várias frotas inimigas, mas a sua quantidade é demasiado pequena para nos oferecer um perigo.	Регион патрулируется несколькими вражескими флотами, но их численность слишком низкая, чтобы они представляли собой угрозу.	La región está siendo patrullada por varias flotas enemigas, pero su cantidad es demasiado baja para que constituyan un verdadero riesgo.
