	en	pl	de	fr	zh	pt	ru	es
Incident_01_Fluff	“Admiral, there’s been a serious malfunction below deck that requires immediate attention. One of our crewmen proposed a method to fix it quickly—an ingenious but risky solution. Should we stop to carry out the usual maintenance procedure or try the quicker method?”	"Admirale, pod pokładem doszło do poważnej usterki, która wymaga natychmiastowej uwagi. Jeden z naszych załogantów zaproponował sposób na jej szybkie usunięcie - pomysłowe, ale ryzykowne rozwiązanie. Czy powinniśmy zatrzymać się, aby przeprowadzić zwykłą procedurę konserwacyjną, czy spróbować szybszej metody?"	„Admiral, unter dem Deck gibt es eine ernste Störung, man muss sofort handeln. Eines unserer Mannschaftsmitglieder hat die Idee, wie man sie schnell beseitigen kann - es ist eine schlaue aber zugleich riskante Lösung. Sollen wir stoppen, um die übliche Wartung durchzuführen oder die schnellere Methode versuchen?“	« Amiral, il y a une grave défaillance sous le pont qui nécessite une attention immédiate. L’un des membres de l’équipage a proposé la manière dont on peut l’éliminer rapidement - c’est une solution ingénieuse mais risquées. Devons-nous nous arrêter pour procéder à une procédure de maintenance standard ou essayer une méthode plus rapide ? »	“上将， 甲板下发生了严重故障， 需要立即处理。 我们的一名船员提出了一种快速修复它的方法  ——  一个巧妙但有风险的解决方案。 我们应该停止执行常规维护还是尝试更快的新方法？”	“Almirante debaixo do bordo houve uma avaria importante, que requer da sua atenção imediatamente. Um dos nossos tripulantes propôs uma maneira da sua reparação rápida. É uma solução inteligente, mas arriscada. Devemos parar e realizar um procedimento habitual ou tentar o método mais rápido?”	«Адмирал, под палубой возникла серьезная неисправность, которая требует срочного внимания. Один из членов нашего экипажа предложил способ ее быстрого устранения – гениальное, но рискованное решение. Нам следует остановиться, чтобы произвести обычную ремонтную процедуру или попробовать более быстрый способ?»	«Almirante, debajo de la cubierta se ha producido un grave fallo, que requiere de nuestra atención inmediatamente. Uno de nuestros tripulantes ha propuesto una solución rápida para eliminarla. Es una idea lista, pero arriesgada. Tenemos que parar para realizar una reparación habitual o intentar ese método más rápido?»
Incident_01_Option_01	FOLLOW STANDARD PROCEDURE	POSTĘPUJ ZGODNIE Z PROCEDURĄ	BEFOLGE DIE PROZEDUR	SUIVEZ LA PROCÉDURE	遵循常规维护程序	AJA DE ACORDO COM O PROCEDIMENTO	ДЕЙСТВОВАТЬ В СООТВЕТСТВИИ С ПРОЦЕДУРОЙ	HACERLO DE ACUERDO CON EL PROCEDIMIENTO
Incident_01_Costs_01	You lose 8 hours of time.	Tracisz 8 godzin.	Du verlierst 8 Stunden.	Vous perdez 8 heures	你失去了8个小时的时间。	Perde 8 horas	Тратите 8 часов.	Pierde 8 horas
Incident_01_Option_02	AUTHORIZE CREWMAN’S SUGGESTION	ZGÓDŹ SIĘ NA SUGESTIĘ ZAŁOGANTA	STIMME DEM VORSCHLAG DES MANNSCHAFTSMITGLIEDS ZU	ACCEPTEZ LA SOLUTION DU MEMBRE DE L’ÉQUIPAGE	授权船员的建议	ACEITE A SUGESTÃO DO TRIPULANTE	СОГЛАСИТЬСЯ НА ПРЕДЛОЖЕНИЕ ЧЛЕНА ЭКИПАЖА	ACEPTE LA SUGERENCIA DEL TRIPULANTE
Incident_01_Costs_02A	(70% chance) One crew unit is critically injured.	(70% szans) Jeden członek załogi został krytycznie ranny.	(70% Chancen) Ein Mannschaftsmitglied wurde kritisch verletzt.	(70 % de chance de réussite) un membre de l’équipage a été gravement blessé.	（70% 几率）1 名人员受重伤。	(Probabilidade 70%) Um tripulante foi criticamente lesionado.	(70% вероятности) Один член экипажа тяжело ранен.	(Probabilidad 70 %) Uno de los tripulantes ha sido gravemente lesionado.
Incident_01_Costs_02B	(30% chance) No negative consequences.	(30% szans) Brak negatywnych konsekwencji.	(30% Chancen) Keine negativen Konsequenzen.	(30 % de chance de réussite) Aucune conséquence négative.	（30% 几率）没有出现负面后果。	(Probabilidade 30%) Sem consequências negativas.	(30% вероятности) Нет негативных последствий.	(Probabilidad 30 %) Sin consecuencias negativas.
Incident_01_Result_01	“We have stopped all the engines, sir. Our crew will try to fix the problem as quickly as possible.”	"Wyłączyliśmy wszystkie silniki, sir. Nasza załoga postara się jak najszybciej rozwiązać problem."	„Wir haben alle Motoren ausgeschaltet, Sir. Unsere Mannschaft versucht, das Problem so schnell wie möglich zu lösen.“	« Nous avons arrêté tous les moteurs, sir. Notre équipage essaiera de résoudre ce problème dès que possible. »	“我们已经停止了所有引擎， 长官。 我们的工作人员会尽快解决问题。 ”	"Apagámos todos os motores, sir. A nossa tripulação tentará resolver o problemas com a máxima urgência.”	«Мы остановили все двигатели, сэр. Наш экипаж постарается решить проблему как можно быстрее».	«Hemos parado todos los motores, Sir. Nuestra tripulación intenta resolver el problema cuanto antes.»
Incident_01_Result_02A	“The crewman’s plan worked, sir, but—as we feared—he and his unit got injured in the process. They have been moved to the sick bay; their treatment will take some time.”	"Plan załoganta zadziałał, sir, ale - jak się obawialiśmy - on i jego oddział zostali ranni w tym procesie. Zostali przeniesieni do ambulatorium; ich leczenie trochę potrwa".	„Der Plan des Mannschaftsmitglieds funktionierte, Sir, aber - wie wir befürchtet haben - er und seine Einheit wurden in diesem Prozess verletzt. Sie wurden auf die Krankenstation gebracht, ihre Behandlung wird etwas dauern“.	« La solution du membre de l’équipage marche, sir, mais comme nous le craignions, lui et sa division ont été blessés dans ce processus. Ils ont été transportés à l’infirmerie; leur traitement prendra du temps ».	“那个人的计划奏效了， 长官， 但是  ——  正如我们所担心的  ——  他和他的队友在这个过程中受伤了。 他们已经被转移到了病房， 他们的治疗需要一些时间。 ”	"O plano do tripulante funcionou, mas, como receámos, ele o a sua equipa foram lesionados no processo. Foram transportados à enfermaria. A sua convalescença vai demorar.”	«План члена экипажа сработал, сэр, но, как мы и опасались – он и его отделение сильно пострадали в процессе. Их перевели в лазарет; на их лечение уйдет некоторое время».	«Sir, el plan del tripulante ha funcionado, pero, tal como temíamos, él y su grupos han quedado lesionados. Se han llevado al ambulatorio y su curación va a tardar lo suyo».
Incident_01_Result_02B	“The crewman’s plan went off without a hitch, sir! The malfunction has been repaired and our crew remains unharmed.”	"Plan załoganta powiódł się bez problemów, sir! Usterka została naprawiona, a nasza załoga pozostaje bez szwanku."	„Der Plan des Mannschaftsmitglied funktionierte problemlos, Sir! Die Störung wurde repariert, und unsere Mannschaft ist heil geblieben.“	« Le plan du membre de l’équipage a réussi sans problèmes, sir ! La défaillance a été réparée et notre équipage est indemne. »	“那个人的计划顺利进行， 长官！故障已经修复， 我们的机组人员安然无恙。 ”	"O plano do tripulante funcionou sem problema, sir! A avaria foi reparada e a nossa tripulação permanece sem lesões.”	«План члена экипажа сработал без проблем, сэр! Неисправность была устранена, а наш экипаж остался невредим».	«¡El plan del tripulante ha sido un éxito y no ha habido problemas! El fallo se ha reparado y nuestra tripulación está sana y salva.»
Incident_02_Fluff	“Admiral, a fire broke out in the hangar! The crew already down there can put it out, but they might not be quick enough to avoid damage to the aircraft. To save all our planes, we’ll need to send more men there immediately.”	"Admirale, w hangarze wybuchł pożar! Załoga będąca już na dole może go ugasić, ale może nie być wystarczająco szybka, aby uniknąć uszkodzenia samolotów. Aby uratować wszystkie nasze samoloty, będziemy musieli natychmiast wysłać tam więcej ludzi".	„Admiral, im Hangar ist ein Feuer ausgebrochen! Die Mannschaft, die sich unten befindet, kann es löschen, aber es kann sein, dass sie nicht genug schnell ist, um die Beschädigung der Flugzeuge zu vermeiden. Um alle unsere Flugzeuge zu retten, müssen wir dort sofort mehr Leute schicken“.	« Amiral, l’incendie s’est déclaré dans le hangar ! L’équipage qui est déjà sous le pont peut aider à l’éteindre, mais il ne sera peut-être assez rapide pour éviter d’endommager les avions. Pour sauver tous nos avions, nous devons y envoyer immédiatement plus de gens ».	“上将， 机库着火了！甲板下面的人员可以将其扑灭， 但他们可能不够快， 无法避免损坏飞机。 为了拯救我们所有的飞机， 我们需要派更多的人马上去那里。 ”	"Almirante, há um incêndio no hangar! A tripulação que está lá em baixo pode apagá-lo, mas pode não ser suficientemente rápida para evitar danificações nos aviões. Para salvar todos os nossos aviões, deveremos enviar ali mais pessoal de forma imediata.”	«Адмирал, в ангаре вспыхнул пожар! Экипаж, который уже находится внизу, может его потушить, но этот процесс может быть недостаточно быстрым, чтобы избежать повреждений самолетов. Чтобы спасти все наши самолеты, нам необходимо тот час же отправить туда больше людей»,.	«Almirante, ¡hay incendio en el hangar! La tripulación que está abajo lo puede apagar, pero puede no ser lo suficientemente rápida para evitar daños en los aviones. Para salvar todos nuestros aviones, tendremos que enviar allí más gente de manera inmediata.»
Incident_02_Option_01	SEND ADDITIONAL UNITS	WYŚLIJ DODATKOWE JEDNOSTKI	SCHICKE ZUSÄTZLICHE EINHEITEN	ENVOYEZ DES INDIVIDUS SUPPLÉMENTAIRES	调遣额外的人员	ENVIAR MAIS PESSOAL	ОТПРАВИТЬ ДОПОЛНИТЕЛЬНЫЕ ЕДИНИЦЫ	ENVIAR MÁS UNIDADES
Incident_02_Costs_01A	(70% chance) One crew unit is critically injured.	(70% szans) Jeden członek załogi został krytycznie ranny.	(70% Chancen) Ein Mannschaftsmitglied wurde kritisch verletzt.	(70 % de chance de réussite) un membre de l’équipage a été gravement blessé.	（70% 几率）1 名人员受重伤。	(Probabilidade 70%) Um tripulante foi criticamente lesionado.	(70% вероятности) Один член экипажа тяжело ранен.	(Probabilidad 70 %) Uno de los tripulantes ha sido gravemente lesionado.
Incident_02_Costs_01B	(30% chance) No negative consequences.	(30% szans) Brak negatywnych konsekwencji.	(30% Chancen) Keine negativen Konsequenzen.	(30 % de chance de réussite) Aucune conséquence négative.	（30% 几率）没有出现负面后果。	(Probabilidade 30%) Sem consequências negativas.	(30% вероятности) Нет негативных последствий.	(Probabilidad 30 %) Sin consecuencias negativas.
Incident_02_Option_02	DO NOT SEND MORE UNITS	NIE WYSYŁAJ WIĘCEJ JEDNOSTEK	SCHICKE KEINE ZUSÄTZLICHEN EINHEITEN	N’ENVOYEZ PAS D’INDIVIDUS SUPPLÉMENTAIRES	不要再派去更多人员	NÃO ENVIAR MAIS PESSOAL	НЕ ОТПРАВЛЯТЬ БОЛЬШЕ ЕДИНИЦ	NO ENVIAR MÁS UNIDADES
Incident_02_Costs_02	You lose three squadrons.	Tracisz trzy eskadry.	Du verlierst drei Staffeln.	Vous perdez trois escadres.	你失去了三个飞行中队。	Perde três esquadras.	Вы теряете три эскадрильи.	Pierde tres escuadras
