	en	pl	de	fr	zh	pt	ru	es
PlannedOperations_01	The directive is simple: you must reach the enemy’s base and raze it to the ground. Once that is done, Japanese forces will surely try to transport their munitions vessel to another location. If the ship manages to escape, you must pursue it and sink it without delay.	Naszym zadaniem jest dotarcie do bazy wroga i zrównanie jej z ziemią. Gdy to zrobimy, Japończycy z pewnością spróbują przetransportować swój statek z zaopatrzeniem w inne miejsce. Jeśli statek zdoła uciec, musisz go ścigać i zatopić tak szybko, jak to możliwe.	Unsere Aufgabe ist, den feindlichen Stützpunkt zu erreichen und ihn zu zerstören. Wenn wir das machen, werden die Japaner mit Sicherheit versuchen, ihr Atomschiff an einen anderen Ort zu bringen. Wenn es dem Schiff gelingt, das Gebiet zu verlassen, musst du es verfolgen und versenken - so schnell wie möglich.	Notre tâche consiste à atteindre la base de l'ennemi et de la raser. Une fois cela fait, les Japonais vont sûrement essayer de transporter leur navire nucléaire vers un autre endroit. Si le navire parvient à s'échapper, vous devez le poursuivre et le faire couler aussi vite que possible.	我们的任务是到达敌人的基地并将其夷为平地。 一旦这样做了， 日本人肯定会试图将他们的核动力舰运送到另一个地方。 如果你让这艘船逃脱了， 你必须追上它并尽快将其击沉。	A nossa tarefa é chegar à base do inimigo e destruí-la. Quando o fizermos, os japoneses tentarão transportar o seu navio nuclear a outro lugar. Se um navio conseguir fugir, tem de o perseguir e destruir o mais depressa possível.	Наша задача – добраться до вражеской базы и сравнять ее с землей. Когда мы осуществим это, японцы, безусловно, попытаются переправить свой корабль снабжения в другое место. Если кораблю удается уйти, Вы должны преследовать его и потопить как можно скорее.	Nuestro objetivo es llegar a la base del enemigo y destruirla. Cuando lo hagamos, los japoneses seguramente van a intentar transportar su buque de abastecimiento a un lugar diferente. Si el buque consigue escapar, usted tendrá que perseguirlo y hundirlo lo más rápido posible.
PlannedOperations_02	Our scouts have completed reconnaissance of an enemy base. Their message is clear: we can attack. Your task is to reach each of the marked bases and destroy them—and then escort our scouting fleet to safety.	Nasi zwiadowcy zakończyli rozpoznanie bazy wroga. Otrzymaliśmy wyraźny sygnał - możemy atakować. Waszym zadaniem jest dotarcie do każdej z zaznaczonych baz i zniszczenie ich. Następnie musicie eskortować naszą flotę zwiadowców do wyznaczonego punktu przechwycenia.	Unsere Aufklärer haben die Erkundung des feindlichen Stützpunkts beendet. Wir haben ein deutliches Signal bekommen - wir können angreifen. Eure Aufgabe ist, jeden der markierten Stützpunkte zu erreichen und zu zerstören. Danach müsst ihr unsere Aufklärerflotte an den bestimmten Übernahmepunkt geleiten.	Nos éclaireurs ont terminé la reconnaissance de la base ennemie. Nous avons reçu un signal clair - nous pouvons attaquer. Votre tâche consiste à atteindre chacune des bases marquées et de les détruire. Ensuite, vous devez escorter notre flotte d'éclaireurs jusqu'au point d’interception indiqué.	我们的侦察员已经完成了对敌方基地的侦察。 我们收到了一个明确的信号  ——  我们可以进攻了。 你的任务是到达每个有标记的基地并摧毁它们。 然后你必须护送我们的侦察舰队到指定的攻占点。	Os nossos rangers terminaram o reconhecimento da base do inimigo. Recebemos um sinal claro: podemos atacar. A sua tarefa é chegar a cada uma das bases assinaladas e destruí-las. Depois, tem de escoltar a nossa frota de rangers até o ponto de trânsito assinalado.	Наши разведчики завершили разведку вражеской базы. Мы получили четкий сигнал: можем наносить удар. Ваша задача – добраться до каждой из отмеченных баз и уничтожить их. Затем Вы должны сопроводить наш разведывательный флот к назначенной точке перехвата.	Nuestros exploraciones han terminado el reconocimiento de la base del enemigo. Hemos recibido una señal clara: podemos atacar. Su tarea es llegar a cada una de las bases señaladas y destruirlas. Después tiene que escoltar nuestra flota de exploradores hasta el punto de recepción indicado.
PlannedOperations_03	A number of our fleets will be launching attacks in this area, and they need air support. You must ensure the safety of our attacking fleets: each must survive, while all the opposing forces must fall.	Wasze wsparcie lotnicze jest potrzebne wielu naszym flotom, które będą przeprowadzać ataki w tym sektorze. Nie możecie dopuścić do zniszczenia żadnej z naszych atakujących flot - każda z nich musi przetrwać, a wszyscy wrogowie muszą zostać zniszczeni.	Es ist notwendig, dass wir vielen unseren Flotten, die in diesem Sektor Angriffe durchführen werden, Luftunterstützung bieten. Ihr könnt nicht zulassen, dass irgendeine unserer Angriffsflotten zerstört wird - jede von ihnen muss sich bewähren und alle Feinde sollen zerstört werden.	Votre soutien aérien est nécessaire pour nombreuses de nos flottes qui lanceront des attaques dans ce secteur. Ne laissez détruire aucune de nos flottes d'attaque - chacune doit résister, tandis qu’il faut anéantir tous les ennemis.	我们的一些舰队将在该区域发动攻击， 需要你们的空中支援。 你的任务是不能让我们的任何一艘进攻的舰队被摧毁， 而所有的敌人都必须被摧毁。	O seu apoio aéreo será necessário para várias das nossas frotas, que realizarão ataques nesse setor. Não pode permitir que se destrua nenhuma das frotas de ataque. Todas devem sobreviver e todos os inimigos devem ser eliminados.	Ваша поддержка с воздуха необходима многим нашим флотам, которые будут наступать в этом секторе. Вы не должны допустить уничтожения ни одного из наших наступающих флотов – каждый из них должен уцелеть, а все враги должны быть уничтожены.	Su apoyo aéreo es necesario para muchas de nuestras flotas que no van a realizar ataques en este sector. No podemos permitir que se destruya cualquiera de nuestras flotas. Cada una de ellas debe sobrevivir y todos los enemigos deben ser destruidos.
PlannedOperations_04	We have detected unusual activity in this sector. Send your scouts to investigate, then patrol the area until ordered to return. If you encounter enemy forces, you need not hesitate to engage them.	Wykryliśmy nową aktywność w tym sektorze. Wyślijcie swoich zwiadowców, aby to zbadali, a następnie patrolujcie teren do czasu wycofania rozkazu. Jeśli napotkacie siły wroga, otwórzcie ogień.	Wir haben eine neue Aktivität in diesem Sektor entdeckt. Schickt dort eure Aufklärer, damit sie sie prüfen, danach patrouilliert das Terrain solange dieser Befehl gilt. Wenn ihr feindliche Kräfte trifft, öffnet das Feuer.	Nous avons repéré une nouvelle activité dans ce secteur. Envoyez vos éclaireurs pour l’examiner, ensuite patrouillez la zone jusqu'à ce qu’au retrait de l’ordre. Si vous rencontrez des forces ennemies, ouvrez le feu.	我们在这个海域发现了新的活动。 派你的侦察兵去那里进行调查， 然后派飞机在那个地区进行空中巡逻， 直到指令被撤销。 如果遇到敌军， 可以开火。	Detetámos uma nova atividade neste setor. Envie os seus rangers para verificarem o terreno e depois patrulha o terreno até o vencimento da ordem. Se encontrar as forças inimigas, abra fogo.	Мы обнаружили новую активность в этом секторе. Отправьте своих разведчиков, чтобы они исследовали местность, а затем патрулируйте территорию, пока приказ не будет отозван. Если Вам встретятся вражеские силы, откройте огонь.	Hemos detectado nueva actividad en el sector. Enviar exploradores para que lo verifiquen y después patrullan el terreno hasta el momento de retirar la orden. Si encuentran fuerzas enemigas, abran fuego.
PlannedOperations_05	Your mission is to patrol a designated area in enemy territory in anticipation of an Allied fleet’s arrival. When you encounter enemies, you must defend our allies, and attack the enemy, while remaining undetected.	Twoim zadaniem jest patrolowanie wyznaczonego obszaru na terytorium wroga w oczekiwaniu na pojawienie się floty sojuszniczej. Gdy dojdzie do spotkania, masz osłaniać swoich sojuszników przed ukryciem się, jednocześnie atakując wroga.	Deine Aufgabe ist, das bestimmte Gebiet auf dem feindlichen Territorium zu patrouillieren und auf die Erscheinung der Flotte der Verbündeten zu warten. Wenn es zu einem Zusammentreffen kommt, sollst du deine Verbündeten schützen und gleichzeitig den Feind angreifen.	Votre tâche consiste à patrouiller la zone désignée en territoire ennemi en attendant la flotte alliée. En cas d’un rencontre, vous devez protéger vos alliés pour qu'ils puissent se cacher tout en attaquant l'ennemi.	你的工作是在敌方领土的指定区域巡逻， 等待盟军舰队的到来。 当遭遇敌军时， 你要在攻击敌人的同时掩护你的盟友。	A sua tarefa é patrulhar o terreno indicado no território do inimigo à espera da frota aliada. Quanto houver o encontro, deve proteger os seus aliados antes de se esconderem e atacar o inimigo ao mesmo tempo.	Вашей задачей является патрулирование заданного района на вражеской территории в ожидании появления союзного флота. Когда произойдет столкновение, Вы должны прикрывать своих союзников, одновременно нанося удары врагу, Вас не должны обнаружить.	Su objetivo es patrullar la zona indicada en el territorio del enemigo a la espera de la flota aliada. Cuando tenga lugar el encuentro, usted debe proteger sus aliados antes de que se escondan y atacar al enemigo.
PlannedOperations_06	We received two reports in quick succession: one of our bases is being threatened with attack, and enemy forces are approaching an Allied research vessel and its escort. Defend both the base and the fleet before the enemy destroys them.	Jedna z naszych baz jest atakowana! Jednocześnie otrzymaliśmy meldunek, że flota naukowa zgłasza zbliżanie się jednostek wroga. Musicie jednocześnie bronić naszej bazy i jednostki naukowej, zanim zostaną ostrzelane przez japońskie statki.	Einer unserer Stützpunkte wird angegriffen! Gleichzeitig haben wir die Meldung bekommen, dass die Forschungsflotte über die Ankunft der feindlichen Einheiten informiert. Ihr müsst gleichzeitig unseren Stützpunkt und die Forschungseinheit verteidigen, bevor sie durch die japanischen Schiffe beschossen werden.	Une de nos bases est attaquée ! Au même moment, nous avons reçu un rapport précisant que la flotte scientifique signale l'approche d'unités ennemies. Vous devez défendre notre base et l'unité scientifique avant qu'elles ne soient attaquées par les navires japonais	我们的一个基地受到攻击！与此同时， 我们收到一份报告， 称科考舰队报告称他们附近有敌军。 你必须同时保卫我们的基地和科考舰队， 以免被日本舰船开火击沉。	Uma das nossas bases está a ser atacada! Simultaneamente, recebemos uma informação de que a frota científica vê as unidades inimigas aproximarem-se. Tem de defender a nossa base e a unidade científica antes de serem destruídos os navios japoneses.	На одну из наших баз напали! В то же время мы получили сообщение, что исследовательский флот докладывает о приближении вражеских единиц. Вы должны одновременно оборонять нашу базу и исследовательскую единицу, пока их не обстреляли японские корабли.	¡Uno de nuestros bases está siendo atacado! Al mismo tiempo, hemos recibido la información: la flota científica ha detectado que el enemigo se está aproximando. Usted debe defender nuestra base y nuestra unidad científica antes de que se ataquen por los buques japoneses.
PlannedOperations_07	Intelligence confirms that there are many enemy fleets of strategic importance in this region. Your mission is to locate and destroy them; if they try to flee, catch up with them and finish the job.	Wywiad potwierdza, że w tym regionie znajduje się wiele ważnych flot wroga. Musisz je zlokalizować i zniszczyć, a jeśli uciekną - dogonić je i zakończyć misję.	Der Geheimdienst bestätigt, dass es in dieser Region viele wichtige Flotten des Feindes gibt. Du musst sie lokalisieren und zerstören, und wenn sie entkommen - einholen und die Mission beenden.	Le renseignement confirme la présence de nombreuses flottes ennemies importantes dans la région. Vous devez les localiser et détruire, en cas où si elles s'échappent - les rattraper et accomplir la mission.	情报说该地区有许多重要的敌方舰队。 你必须找到并摧毁他们， 如果他们逃脱了， 赶上他们并完成任务。	A inteligência confirma que nesta região encontram-se muitas frotas inimigas. Tem de as localizar e destruir e, se fugirem, encontrá-las e concluir a missão.	Разведка подтверждает, что в этом регионе находится много важных флотов врага. Вы должны определить их местоположение и уничтожить их, а если они бросятся в бегство – догнать их и завершить миссию.	La inteligencia confirma que en esta región se encuentran varias flotas importantes del enemigo. Usted tiene que localizarlas y destruirlas y si se escapan, alcanzarlas y terminar la misión.
PlannedOperations_08	After a recent skirmish in enemy territory, a few survivors remain in lifeboats; we do not know their exact location. The enemy’s forces were destroyed, so they are safe for now. We have dispatched a rescue fleet that could use your support.	Po niedawnej potyczce na terytorium wroga w szalupach ratunkowych pozostało kilku ocalałych. Nie znamy ich dokładnego położenia, ale wiemy, że na razie są bezpieczni, bo siły wroga zostały zniszczone. Wysłaliśmy już ratunek, ale wasze wsparcie przyda się na miejscu.	Nach einem kürzlichen Gefecht auf dem feindlichen Territorium sind in den Rettungsbooten noch einige Überlebende geblieben. Wir kennen ihre genaue Lage nicht, aber wir wissen, dass sie vorläufig sicher sind, denn die feindlichen Kräfte wurden zerstört. Wir haben schon die Rettung angeordnet, aber unsere Unterstützung wird vor Ort gebraucht.	Après la récente escarmouche sur le territoire ennemi, il reste quelques survivants dans des canots de sauvetage. Nous ne connaissons pas leur position exacte, mais nous savons qu'ils sont en sécurité pour le moment car les forces de l'ennemi ont été détruites. Nous avons déjà envoyé des secours, mais votre soutien sera utile sur place.	最近在敌方领土发生小规模冲突后， 一些幸存者仍留在救生艇上。 我们不知道他们的确切位置， 但我们知道他们现在是安全的， 因为敌人的部队被摧毁了。 我们已经派出救援人员， 但也需要你提供支援。	Depois de um combate menor no território do inimigo, nos botes salva-vidas ainda permanecem alguns sobreviventes. Não conhecemos a sua localização exata, mas sabemos que estão a salvo porque as forças inimigas foram destruídas. Já enviámos uma missão de resgate, mas o nosso apoio será necessário no lugar.	После недавней стычки на вражеской территории в спасательных шлюпках осталось несколько выживших. Нам неизвестно их точное местонахождение, но мы знаем, что на данный момент они в безопасности, потому что вражеские силы были уничтожены. Мы уже отправили подмогу, но Ваша поддержка пригодится на месте.	Después de un reciente combate en el territorio del enemigo, en los botes salvavidas permanecen varios sobrevivientes. No conocemos su localización exacta, pero sabemos que de momento están seguros porque las fuerzas enemigas han sido destruidas. Hemos enviado un equipo de rescate, pero nuestro apoyo no será de menos.
PlannedOperations_09	Our base is under fire. We need you to head over to defend it, but you must remain undetected. When the attackers have been repulsed, recover our fighters in the designated area.	Jedna z naszych baz jest atakowana. Musisz jej bronić - pozostając niewykrytym - a następnie odebrać nasze myśliwce w wyznaczonym obszarze.	Einer unserer Stützpunkte wird angegriffen. Du musst ihn verteidigen - dabei unentdeckt bleiben - und danach unsere Jagdflugzeuge in einem bestimmten Gebiet übernehmen.	Une de nos bases est attaquée ! Vous devez la défendre - en restant non détecté - puis récupérer nos chasseurs dans la zone désignée.	我们的一个基地受到攻击。 你必须保卫它  ——  不被发现  ——  然后在指定区域救回我们的战士。	Uma das nossas bases está a ser atacada. Tem de defender a base permanecendo não detetado e depois tem de receber os nosso caças na zona estabelecida.	На одну из наших баз напали. Вы должны оборонять ее, оставаясь незамеченным, а затем принять наши истребители в обозначенном районе.	Una de nuestras bases está siendo atacada. Tiene que defenderla permaneciendo no detectado y después recibir nuestras fuerzas dentro de la zona indicada.
PlannedOperations_10	Destroy the hostile forces to open the way for approaching Allied vessels. In doing so, you must avoid enemy detection. When our allies arrive, provide them with escort and support them in battle.	Pozostając w ukryciu, zniszcz flotę wroga, aby otworzyć drogę statkom alianckim, które zmierzają w twoją stronę. Eskortuj je i wspieraj w walce.	Bleib unentdeckt und zerstöre die feindliche Flotte, um den Weg für verbündete Schiffe, die in deine Richtung fahren, frei zu machen. Geleite sie und unterstütze im Kampf.	Détruisez la flotte ennemie tout en restant caché pour ouvrir la voie aux navires alliés qui se dirigent vers vous. Escortez-les et soutenez-les dans la bataille.	在隐蔽状态下消灭敌方舰队， 为盟军舰艇开路， 他们正朝着你的方向前进。 护送他们并在战斗中支援他们。	Permanecendo escondido, destrua a frota do inimigo para abrir passo aos navios aliados que vão na tua direção. Escolte-os e ajude no combate.	Оставаясь в укрытии, уничтожьте вражеский флот, чтобы открыть путь кораблям союзников, которые направляются в Вашу сторону. Сопровождайте их и поддерживайте в бою.	Manteniéndose escondido, destruya la flota enemiga para abrir el camino a buques aliados que van en su dirección. Escóltelas y apóyelas en el combate.
