	en	pl	de	fr	zh	pt	ru	es
Map_0_USA_01	Your fleet’s presence is needed in this area. Depart immediately and await further orders.	Twoja obecność jest potrzebna w tym rejonie. Wyrusz natychmiast i oczekuj na dalsze rozkazy.	Deine Anwesenheit ist in dieser Region notwendig. Starte sofort und warte auf weitere Befehle.	Votre présence est nécessaire dans cette région. Partez immédiatement et attendez de nouveaux ordres.	这个领域需要你， 请立即出发， 等待进一步的指令。	A sua presença é necessária nesta região. Parta imediatamente e espere mais ordens.	Ваше присутствие в этом районе необходимо. Немедленно отправляйтесь и дожидайтесь дальнейших приказов.	Su presencia es necesaria en esta región. Parta inmediatamente y espere más órdenes.
Map_0_USA_02	We have received troubling reports about recent activity in these waters, so we need you to head over there. Stay on the alert.	Raporty z tego rejonu są niecodzienne. Sprawdź to, ale zachowaj czujność.	Die Berichte aus dieser Region sind ungewöhnlich. Prüfe das, bleib aber wachsam.	Nos rapport de cette région sont inhabituels. Vérifiez ce phénomène, mais restez vigilant.	我们在这方面得到了不准确的情报， 请查看一下， 但要保持警惕。	Os relatórios daquela região não são habituais. Verifique essas informações, mas tenha cuidado.	Сообщения из этого района поступают не каждый день. Проверьте, но будьте начеку.	Los informes de esta región no son habituales. Confírmelo, pero mantenga cuidado.
Map_0_RedWaters_01	You must go to this area and await further orders. This is enemy territory, so exercise extreme caution.	Musisz udać się w ten rejon i czekać na dalsze rozkazy. Zachowaj szczególną ostrożność, ponieważ jest to terytorium wroga.	Du musst dich in diese Region begeben und auf weitere Befehle warten. Bleib besonders vorsichtig, denn es ist das Territorium des Feindes.	Vous devez vous rendre dans cette région et attendre de nouveaux ordres. Soyez très prudents car c'est le territoire de l’ennemi.	您必须前往该区域并等待进一步的指令。 请格外小心， 因为那是敌方领土。	Tem de ir até aquela região e esperar mais ordens. Mantenha um cuidado especial porque é um território inimigo.	Вы должны отправиться в этот район и ждать дальнейших приказов. Будьте особенно осторожны, так как это территория врага.	Tiene que ir a esa región y esperar más órdenes. Mantenga un cuidado especial porque es el territorio del enemigo.
Map_0_RedWaters_02	We received a message requesting help in this area. Go there and complete the assigned mission. Stay vigilant, as you may encounter enemy forces.	Otrzymaliśmy wezwanie do wykonania zlecenia w tym rejonie. Udaj się tam i wykonaj misję. Zachowaj czujność, ponieważ mogą się tam roić wrogie jednostki.	Es wurde uns aufgetragen, den Auftrag in dieser Region zu erfüllen. Begib dich dort und führe die Mission aus. Bleib wachsam, denn es kann dort feindliche Einheiten geben.	Nous avons été appelés à exécuter un ordre dans cette région. Allez-y et accomplissez votre mission. Restez vigilant car des unités ennemies peuvent y apparaître.	我们接到了在该地区执行指令的电话。 请去那里完成任务。 保持警惕， 因为敌军的数量可能比较多。	Recebemos uma chamada para uma missão nesta região. Vá até lá e realize a missão. Mantenha cuidado porque lá pode haver unidades inimigas.	Мы получили вызов на выполнение задания в этом районе. Отправьтесь туда и выполните миссию. Будьте бдительны, потому что там могут располагаться вражеские единицы.	Hemos recibido una llamada de realización de un encargo en esa región. Ve allí y realice la misión. Mantenga cuidado porque el lugar puede estar lleno de unidades enemigas.
Map_1_USA_01	This mission will take place in the enemy’s former territory: the waters surrounding Japan. Despite our current supremacy here, you should proceed with caution.	Misja odbywa się na terytorium wroga, które przejęliśmy. Jest to obszar wody otaczający wyspy Japonii, więc pomimo naszej korzyści, należy zachować ostrożność.	Die Mission findet auf dem Territorium des Feindes, das wir übernommen haben, statt. Es sind die Gewässer um die Inseln Japans herum, so muss man trotz unseres Vorteils vorsichtig sein.	La mission prend place sur le territoire ennemi que nous avons conquis. Il s'agit de la zone d'eau entourant les îles japonaises, donc malgré notre situation avantageuse, soyez prudents.	任务地点在我们占领的敌方领土上。 这是日本诸岛周围的水域， 所以尽管我们有优势， 但还是要小心。	A missão realiza-se no território inimigo que ocupámos. É uma área de água que envolve as ilhas japonesas, então, apesar da nossa posição vantajosa, temos de manter cuidado.	Миссия проходит на вражеской территории, которую мы захватили. Это воды, окружающие острова Японии, поэтому, несмотря на наше преимущество, необходимо соблюдать осторожность.	La misión se realiza en el territorio de enemigo, que hemos ocupado. Es una zona de agua que abraza las islas de Japón, entonces a pesar de ventaja que tenemos hay que tener cuidado.
Map_1_USA_02	We have taken control of the marine areas surrounding the islands of Japan—but this advantage does not mean victory. You can still expect enemy resistance in the region.	Przejęliśmy kontrolę nad wodami wokół Japonii. Jednak nasza przewaga nie oznacza zwycięstwa, więc prawdopodobnie można oczekiwać oporu od wroga.	Wir haben die Kontrolle über die Gewässer um Japan herum übernommen. Unsere Überlegenheit bedeutet nicht den Sieg, man kann also mit Widerstand des Feindes rechnen.	Nous avons pris le contrôle de la zone d'eau autour du Japon. Cependant, notre situation avantageuse ne signifie pas la victoire, donc vous pouvez vous attendre probablement à une résistance de l'ennemi.	我们控制了日本周围的水域。 但是， 我们的优势并不意味着胜利， 您可能会遇到敌人的抵抗。	Tomámos controlo sobre as águas ao redor do Japão. No entanto, a nossa vantagem não significa uma vitória, então podemos esperar a resistência do inimigo.	Мы установили контроль над водами вокруг Японии. Однако наше преимущество не означает победу, поэтому, вероятно, можно ожидать сопротивления врага.	Hemos tomado control sobre las aguas alrededor de Japón. Sin embargo nuestra ventaja no significa victoria, entonces probablemente nos espera la resistencia del enemigo.
Map_1_RedWaters_01	The waters around the islands of Japan are under the control of Japanese forces. This is enemy territory, so hostile forces may be patrolling the area.	Misja odbywa się na obszarze w pobliżu wyspy japońskiej kontrolowanej przez siły japońskie. Jest to wrogie terytorium, więc należy zachować ostrożność, ponieważ wróg może patrolować ten obszar.	Die Mission findet auf dem Gebiet in der Nähe der Japanischen Insel statt, die durch die japanischen Streitkräfte kontrolliert wird. Es ist ein feindliches Territorium, man soll also vorsichtig sein, denn der Feind kann dieses Gebiet patrouillieren.	La mission prend place dans la région proche de l'île japonaise contrôlée par les forces japonaises. Il s'agit d'un territoire hostile donc soyez prudent, car l'ennemi peut patrouiller dans cette zone.	该任务发生在日本军队控制的日本岛附近的一个地区。 那里是敌对地区， 所以要小心， 因为敌人可能会在这个地区巡逻。	A missão realiza-se numa zona cerca de uma ilha japonesa controlada pelas forças japonesas. É um território inimigo, então temos de manter cuidado porque o inimigo pode patrulhar esta região.	Миссия проходит в районе, расположенном вблизи японского острова, находящегося под контролем японских сил. Это вражеская территория, поэтому необходимо соблюдать осторожность, так как враг может патрулировать этот район.	La misión se realiza en las proximidades de una isla japonesa controlada por las fuerzas japonesas. Es un territorio enemigo, entonces hay que tener cuidado porque el enemigo puede enviar patrullas.
Map_1_RedWaters_02	The mission will begin in the marine areas surrounding Japan, which are still under the country’s control. This is a hostile environment for our ships, so be careful.	Operacja rozpoczyna się na obszarze kontrolowanym przez wrogich żołnierzy w pobliżu Japonii. To nieprzyjazny region, więc zachowaj ostrożność.	Die Operation beginnt auf einem durch die feindlichen Soldaten kontrollierten Gebiet in der Nähe von Japan. Das ist eine unfreundliche Region, bleib also vorsichtig.	L'opération commence dans la zone contrôlée par les soldats ennemis près du Japon. Il s'agit d'une région hostile, alors soyez prudent.	这次的行动在日本岛附近， 那是一个由日本士兵控制的地区。 那里是一位对我军不友好的地区， 因此请谨慎行事。	A operação inicia-se numa zona controlada pelos soldados inimigos perto do Japão. Não é uma região amigável, então mantenha cuidado.	Операция начинается в районе, контролируемом солдатами врага вблизи Японии. Это недружественный регион, поэтому будьте осторожны.	La operación se realiza en una zona controlada por los soldados enemigos en las proximidades de Japón. Es una región hostil, entonces tiene que mantener cuidado.
Map_2_USA_01	We gained control of the waters around the Kuril Islands and northern Japan. This does not absolutely ensure your safety—but we don’t expect considerable trouble either.	Udało nam się przejąć kontrolę nad obszarem Wysp Kurylskich i północną Japonią. Nie oznacza to, że jesteśmy całkowicie bezpieczni, ale też nie powinniśmy mieć kłopotów.	Es ist uns gelungen die Kontrolle über die Kurilen und den nördlichen Teil Japans zu übernehmen. Das bedeutet nicht, dass wir ganz sicher sind, aber wir sollen auch keine Probleme haben.	Nous avons réussi à prendre le contrôle de la région des îles Kouriles et du nord du Japon. Cela ne signifie pas que nous sommes en sécurité, mais nous ne devrions pas non plus avoir de problèmes pour l’instant.	虽然我们能够控制千岛群岛地区和日本北部， 但这并不意味着我们完全安全， 不过我们也应该不会遇到麻烦。	Conseguimos tomar posse das Ilhas Curilhas e do Japão setentrional. O dito não significa que estejamos totalmente a salvo, mas também não vamos ter muitos problemas.	Нам удалось установить контроль над территорией Курильских островов и северной Японией. Это не значит, что мы в полной безопасности, но у нас не должно возникнуть неприятностей.	Hemos conseguido tomar control sobre las Islas Kuriles y el norte de Japón. Lo dicho no quiere decir que estamos totalmente seguros, pero tampoco vamos a tener problemas.
Map_2_USA_02	The marine areas encompassing the Kuril Islands and northern Japan are now under our control. You can sail there in relative safety—but nevertheless, keep an eye on your radar.	Wyspy Kurylskie i północna Japonia należą do nas! Przynajmniej akweny wodne. Możemy się po nich poruszać stosunkowo bezpiecznie, ale obserwuj radary.	Die Kurilen und der nördliche Teil Japans gehören uns! Zumindest die Gewässer. Wir können uns dort relativ sicher bewegen, du sollst aber die Radaranlage beobachten.	Les îles Kouriles et le nord du Japon nous appartiennent ! Au moins des zones d'eau. Nous pouvons nous y déplacer de manière relativement sûre, mais suivez les radars.	我们控制了千岛群岛和日本北部！至少是其周围的水域。 我们可以相对安全地进过那里， 但要注意敌军雷达。	As Ilhas Curilhas e o Japão setentrional são nossos! Pelo menos as massas de água. Podemos circular por eles de uma maneira bastante segura, mas esteja atento aos radares.	Курильские острова и северная Япония принадлежат нам! По крайней мере, водные территории. Мы можем передвигаться по ним относительно безопасно, однако поглядывайте на радары.	¡Las islas Kuriles y el Japón del norte son nuestros! Por lo menos sus aguas territoriales. Podemos movernos allí con cierta seguridad, pero hay que observar los radares.
