	en	pl	de	fr	zh	pt	ru	es
NorthPacificTheater	North Pacific Theater	Teatr wojenny Północnego Pacyfiku	Kriegsschauplatz Nordpazifik	Théâtre du Pacifique Nord	北太平洋战场	Teatro do Pacífico Norte	Театр военных действий Северной части Тихого океана	Teatro de guerra del Pacífico Norte
CentralPacificTheater	Central Pacific Theater	Teatr wojenny Środkowego Pacyfiku	Kriegsschauplatz Mittelpazifik	Théâtre du Pacifique Central	中太平洋战场	Teatro do Pacífico Central	Театр военных действий Центральной части Тихого океана	Teatro de guerra del Pacífico Central
SouthWestPacificTheater	South West Pacific Theater	Teatr wojenny Południowo-Zachodniego Pacyfiku	Kriegsschauplatz Südwestpazifik	Théâtre du Pacifique Sud-Ouest	西南太平洋战场	Teatro do Pacífico Sul-Oeste	Театр военных действий Юго-Западной части Тихого океана	Teatro de guerra del Pacífico Sudoeste
PatrolTitle	OPERATION TYPE: WARFARE	TYP OPERACJI: DZIAŁANIA WOJENNE	OPERATIONSTYP: KRIEGSHANDLUNGEN	TYPE D’OPÉRATION : OPÉRATIONS DE GUERRE	作战类型：战争	TIPO DE OPERAÇÃO ATIVIDADES DE GUERRA	ТИП ОПЕРАЦИИ: ВОЕННЫЕ ДЕЙСТВИЯ	TIPO DE OPERACIÓN: OPERACIONES MILITARES
PatrolDesc	Warfare Description	Opis działań wojennych	Patrouillenbeschreibung	Description de Patrouille	巡逻说明	Descrição da patrulha	Описание военных действий	Descripción de las operaciones militares
Days	days	dni	Tage	jours	天数	dias	дни	días
Objective	OBJECTIVES:	CELE:	ZIELE:	OBJECTIFS :	目标：	ALVOS:	ЦЕЛИ:	OBJETIVOS:
PatrolObjective	Warfare Objective	Cel działań wojennych	Patrouillenziel	Objectif de Patrouille	巡逻目标	Alvo da patrulha	Цель военных действий	Objetivo de las operaciones militares
PatrolRewards	Warfare Rewards	Nagrody za działania wojenne	Preise für die Patrouille	Prix pour la Patrouille	巡逻奖励	Prémios por patrulha	Награды за военные действия	Premios por operaciones militares
Experience	RENOWN POINTS:	PUNKTY RENOMY:	RENOMMEEPUNKTE:	POINTS DE RENOMMÉE :	经验	PONTOS DE REPUTAÇÃO	ПУНКТЫ СЛАВЫ:	PUNTOS DE RENOMBRE:
ReconnaissanceTitle	OPERATION TYPE: RECONNAISSANCE	TYP OPERACJI: ROZPOZNANIE	OPERATIONSTYP: ERKENNUNG	TYPE D’OPÉRATION : RECONNAISSANCE	操作类型：侦察	TIPO DE OPERAÇÃO RECONHECIMENTO	ТИП ОПЕРАЦИИ: РАЗВЕДКА	TIPO DE OPERACIÓN: RECONOCIMIENTO
ReconnaissanceDesc	Reconnaissance Description	Opis Rekonesansu	Erkundungsbeschreibung	Description de Reconnaissance	侦察描述	Descrição do reconhecimento	Описание Рекогносцировки	Descripción del Reconocimiento
ReconnaissanceObjective	Reconnaissance Objective	Cel Rekonesansu	Erkundungsziele	Objectifs de Reconnaissance	侦察目标	Alvos do reconhecimento	Цель Рекогносцировки	Objetivo del Reconocimiento
ReconnaissanceRewards	Reconnaissance Rewards	Nagrody za Rekonesans	Preise für die Erkundung	Prix pour Reconnaissance	侦察奖励	Prémios por reconhecimento	Награды за Рекогносцировку	Premios por el Reconocimiento
SupportingOperationsTitle	OPERATION TYPE: SUPPORT	TYP OPERACJI: WSPARCIE	OPERATIONSTYP: UNTERSTÜTZUNG	TYPE D’OPÉRATION : SOUTIEN	操作类型：支援	TIPO DE OPERAÇÃO APOIO	ТИП ОПЕРАЦИИ: ПОДДЕРЖКА	TIPO DE OPERACIÓN: AYUDA
SupportingOperationsDesc	Supporting Operation Description	Opis Operacji Pomocniczej	Beschreibung der Hilfsoperation	Description de l’Opération Auxiliaire	支援操作说明	Descrição da operação auxiliar	Описание Вспомогательной Операции	Descripción de la Operación Auxiliar
SupportingOperationsObjective	Supporting Operation Objective	Cel Operacji Pomocniczej	Ziele der Hilfsoperation	Objectifs de l’Opération Auxiliaire	支援操作目标	Alvos da operação auxiliar	Цель Вспомогательной Операции	Objetivo de la Operación Auxiliar
SupportingOperationsRewards	Supporting Operation Rewards	Nagrody za Operację Pomocniczą	Preise für die Hilfsoperation	Prix pour Opération Auxiliaires	支援操作奖励	Prémios por operação auxiliar	Награды за Вспомогательную Операцию	Premios por la Operación Auxiliar
Patrol	OPERATION TYPE: WARFARE	Patrol	Patrouille	Patrouille	操作类型：战争	Patrulha	Патруль	Patrulla
NewText	New Text	Nowy Tekst	Neuer Text	Nouveau texte	新文本	Novo texto	Новый Текст	Texto Nuevo
AbortMission	Abort Mission	Przerwij misję	Mission unterbrechen	Abandonner la mission	中止任务	Interromper transmissão	Прервать миссию	Interrumpir misión
SaveGame	Save Game	Zapisz Grę	Spiel speichern	Sauvegarder le Jeu	保存游戏	Guardar jogo	Сохранить Игру 	Guardar juego
Retrieve	Recover	Odbierz	Übernehme	Récupérez	返回	Receber	Принять	Recibir
PlannedOperationsObjective	HYBRID OPERATION	OPERACJA MIESZANA	GEMEINSAMER EINSATZ	OPÉRATION HYBRIDE	混合操作	OPERAÇÃO MIXTA	ГИБРИДНАЯ ОПЕРАЦИЯ	OPERACÓN MIXTA
PlannedOperationsRewards	REWARDS	NAGRODY	PREISE	RÉCOMPENSE	奖励	PRÉMIOS	НАГРАДЫ	RECOMPENSAS
PlannedOperationsTitle	HYBRID OPERATION	OPERACJA MIESZANA	GEMEINSAMER EINSATZ	OPÉRATION HYBRIDE	计划中的操作	OPERAÇÃO MIXTA	ГИБРИДНАЯ ОПЕРАЦИЯ	OPERACÓN MIXTA
ConfirmLeaveInstance	Confirm	Potwierdź	Bestätige	Confirmer	确认	Confirmar	Подтвердить	Confirmar
CancelLeaveInstance	Cancel	Anuluj	Annulliere	Annuler	取消	Anular	Отменить	Cancelar
Duration	DURATION:	CZAS TRWANIA:	DAUER:	DURÉE :	持续时间：	DURAÇÃO:	ПРОДОЛЖИТЕЛЬНОСТЬ:	TIEMPO DE DURACIÓN:
Rewards	REWARDS:	NAGRODY:	PREISE	RÉCOMPENSES	奖励：	PRÉMIOS:	НАГРАДЫ:	RECOMPENSAS:
PlannedOperations	HYBRID OPERATION	OPERACJA HYBRYDOWA	Hybride Operation	Opération hybride	混合操作	OPERAÇÃO MIXTA	ГИБРИДОВАЯ ОПЕРАЦИЯ	OPERACIÓN HÍBRIDA
