	en	pl	de	fr	zh	pt	ru	es
DestroyBase_01	Our scouts have reported a new enemy base in this area. We cannot risk having our adversaries operating so close to our own backyard. Your strike group is tasked with destroying the enemy base before its own forces destroy us.	Nasi zwiadowcy donieśli o nowej bazie wroga w tym sektorze, Admirale. Nie możemy sobie pozwolić na ryzyko, że wróg będzie tuż pod naszym nosem. Proszę wysłać lotniskowiec i zniszczyć bazę wroga, zanim on zniszczy nas.	Unsere Aufklärer haben über einen neuen feindlichen Stützpunkt in diesem Sektor berichtet, Admiral. Wir können nicht riskieren, dass der Feind so nah an uns kommt. Bitte schicke einen Flugzeugträger und zerstöre den feindlichen Stützpunkt, bevor er uns zerstört.	Nos éclaireurs confirment qu’il y a une nouvelle base ennemie dans cette zone. Nous ne pouvons pas risquer que nos adversaires opèrent si près. Veuillez envoyer un porte-avions et détruire la base ennemie avant qu’il ne nous détruise pas.	长官， 我们的侦察员报告说在这个区域有一个新的敌人基地。 我们不能冒险让敌人位于我们的眼皮底下， 请派出一艘航空母舰， 在敌人摧毁我们之前摧毁他们的基地。	Almirante, os nossos rangers informaram sobre uma nova base inimiga neste setor. Não podemos permitir o risco de o inimigo estar tão perto de nós. Por favor, envie um porta-aviões e destrua a base do inimigo antes de ele destruir-nos a nós.	Наши разведчики доложили о новой базе врага в этом секторе, Адмирал. Мы не можем позволить себе рисковать тем, что враг окажется прямо у нас под носом. Пожалуйста, отправьте авианосец и уничтожьте базу врага, пока они не уничтожили нас.	Nuestros exploradores nos han informado sobre una nueva base en este sector, Almirante. No nos podemos permitir arriesgar que el enemigo se encuentro cerca de nosotros. Por favor, envíe el portaaviones y destruya la base del enemigo antes de que él destruya a nosotros.
DestroyBase_02	Our scouts report that a previously inactive enemy base near your location has resumed operation. This poses a serious impediment to our planned operations. To safeguard Allied missions in the region, you must head over there and raze the base to the ground.	Nasi zwiadowcy odkryli, że nieaktywna wcześniej baza wroga w pobliżu waszej lokalizacji wznowiła działalność. Stanowi to poważną przeszkodę dla naszych planowanych operacji. Aby Stany Zjednoczone mogły kontynuować swoje misje w tym regionie, musicie udać się tam i zrównać bazę z ziemią.	Unsere Aufklärer haben entdeckt, dass der zuvor nicht aktive Stützpunkt des Feindes in der Nähe eurer Position wieder funktioniert. Das stellt ein großes Hindernis für unsere geplanten Operationen dar. Damit die Vereinigten Staaten ihre Missionen in dieser Region fortsetzen können, müsst ihr euch dort begeben und den Stützpunkt plattmachen.	Nos éclaireurs ont découvert qu'une base ennemie antérieurement inactive, localisée près de votre position a repris son activité. Cela est un obstacle important à nos opérations planifiées. Pour que les États-Unis puissent continuer ses missions dans la région, vous devez vous y rendre et raser la base.	我们的侦察员发现， 您所在位置附近的一个以前不活跃的敌方基地已经恢复运作， 这严重阻碍了我们计划的实施。 为了让美国继续在该地区执行任务， 您必须前往那里并将基地夷为平地。	Os nossos rangers descobriram que uma base sem utilizar nas proximidades na sua localização recomeçou operações. O dito é um obstáculo importante para as nossas operações planejadas. Para que os Estados Unidos possam continuar as suas missões na região, tem de ir até lá e destruir a base.	Наши разведчики обнаружили, что ранее неактивная вражеская база рядом с Вашим местоположением возобновила деятельность. Это является серьезным препятствием для наших запланированный операций.  Чтобы Соединенные Штаты могли продолжать свои миссии в этом регионе, Вы должны отправиться туда и сравнять базу с землей.	Nuestros exploradores han descubierto que la parte cerca de localización, que antes estaba inactiva, ha vuelto a funcionar. Es una gran obstáculo para nuestras operaciones planificadas. Para que Estados Unidos pueda seguir sus misiones en esta región, tiene que ir allí y destruir la base.
DestroyBase_03	An important mission is about to begin, but a nearby base was not taken into consideration during its planning. This base has massive firepower and could be a direct threat to the operation. To ensure that our troops can meet their objectives, you must head over there first and destroy the base before their arrival.	Wkrótce rozpocznie się ważna misja, ale podczas jej planowania nie wzięto pod uwagę pobliskiej bazy. Dysponuje ona potężną siłą ognia i stanowi bezpośrednie zagrożenie dla operacji. Aby nasze wojska mogły zrealizować swoje cele, musisz udać się tam jako pierwszy i zniszczyć bazę przed ich przybyciem.	Bald beginnt eine wichtige Mission, aber während ihrer Planung wurde der nahegelegene Stützpunkt nicht beachtet. Er verfügt über viel Feuerkraft und stellt eine direkte Gefahr für die Operation dar. Damit unsere Streitkräfte ihre Ziele realisieren können, musst du dich dort als Erster begeben und den Stützpunkt vor ihrer Ankunft zerstören.	Une mission importante va bientôt commencer, mais lors de sa planification une base voisine n'a pas été prise en compte. Cette base dispose d'une puissance de feu massive et constitue une menace directe pour l'opération. Pour que nos troupes puissent atteindre leurs objectifs, vous devez vous y rendre en premier et détruire la base avant leur arrivée.	一项重要任务即将开始， 但在指定计划时并没有考虑岛附近的敌方基地， 它拥有强大的火力， 将会对行动构成直接威胁。 为了确保我们的部队能够实现他们的目标， 您必须先派人前往那里， 并在他们到达之前摧毁基地。	Daqui a pouco vai começar uma missão importante, mas na hora de planificar não se teve em conta a base mencionada. A base dispõe de uma grande força de fogo e é um risco direto para a operação. Para que as nossas tropas possam realizar os seus objetivos, você eve ir até lá como primeiro e destruir a base antes da sua chegada.	Скоро начнется важная миссия, но при ее планировании близлежащая база не была учтена. Он обладает внушительной огневой мощью и представляет собой прямую угрозу для операции. Для того чтобы наши войска могли реализовать свои цели, Вы должны отправиться туда первым и уничтожить базу до их прибытия.	Dentro de poco comenzará una misión importante, pero durante su planificación no se na tomado en cuenta una base cercana. Esta base dispone de una gran fuerza de fuego y es un peligro directo para nuestra operación. Para que nuestras tropas puedan realizar sus objetivos, tiene que ir allí como primero y destruir la base antes de su llegada.
DestroyBase_04	Our scouts have informed us that a formerly abandoned enemy facility in your area has been reopened. As a result, our carefully planned operations have been ruined. In order for the US to continue its campaign in the region, you must sail out and destroy the base.	Nasi zwiadowcy poinformowali nas, że zamknięta wcześniej placówka wroga w waszej okolicy została ponownie otwarta. W związku z tym nasze starannie zaplanowane operacje legły w gruzach. Aby Stany Zjednoczone mogły kontynuować swoją kampanię w tym regionie, musicie wypłynąć i zniszczyć bazę.	Unsere Aufklärer haben uns informiert, dass der zuvor geschlossene Stützpunkt unseres Feindes in Eurer Umgebung erneut funktioniert. Aus diesem Grund sind unsere sorgfältig vorbereiteten Operationen nicht mehr aktuell. Damit die Vereinigten Staaten ihre Kampagne in dieser Region fortsetzen können, müsst ihr euch dort begeben und den Stützpunkt zerstören.	Nos éclaireurs nous ont informés qu'un établissement ennemie dans votre région, autrefois abandonné, a été rouvert. Par conséquent, nos opérations soigneusement planifiées ont été ruinées. Pour que les États-Unis puissent continuer leur campagne dans la région, vous devez y naviguer et détruire la base.	我们的侦察员通知我们， 您所在地区先前关闭的敌方设施已重新运营。 我们精心策划的行动被打乱了， 为了让行动继续， 你必须派人去摧毁敌方基地。	Os nossos rangers informaram que a unidade do inimigo fechada anteriormente foi reaberta. Por isso, as nossas operações planejadas com cuidado já não têm sentido. Para que os Estados Unidos possam continuar a sua campanha na região, tem até lá e destruir a base.	Наши разведчики сообщили нам о том, что ранее закрытый вражеский объект в Вашем районе снова открылся. В связи этим наши старательно спланированные операции рухнули. Чтобы Соединенные Штаты могли продолжать свою кампанию в этом регионе, Вы должны отправиться в плаванье и уничтожить базу. 	Nuestros exploradores nos han informado que unas instalaciones del enemigo, que antes estaban cerrados, se han vuelto a abrir. Por lo tanto, nuestras operaciones tan cuidadosamente planificadas han sido ninguneadas. Para que Estados Unidos pueda seguir su campaña en esta región, usted tiene que ir allí y destruir la base.
DestroyBase_05	We uncovered the location of a sizable munitions stockpile under one of the enemy’ facilities. Destroying this base will give us a significant advantage in the conflict; it is your responsibility to accomplish this.	Odkryliśmy, że pod jednym z obiektów wroga znajduje się spory skład amunicji. Zdobędziemy znaczną przewagę w konflikcie, jeśli uda nam się zniszczyć tę bazę; jest to pański obowiązek, Admirale.	Wir haben entdeckt, dass sich unter einem der feindlichen Objekte ein großes Munitionslager befindet. Wir gewinnen einen entscheidenden Vorteil in diesem Konflikt, wenn es uns gelingt, diesen Stützpunkt zu zerstören; es ist Ihre Pflicht, Admiral.	Nous avons découvert sous l'une des installations de l'ennemi l'emplacement d'un important stock de munitions. La destruction de cette base nous donnera un avantage significatif dans ce conflit ; c’est votre devoir, Amiral.	我们在一个敌人的设施下发现了大量弹药库的位置。 如果我们能摧毁这个基地， 我们将在战斗中获得显着优势， 这是你的责任， 海军上将。	Descobrimos que num dos edifícios do inimigo existe um armazém de munição. Ganharemos uma grande vantagem no conflito se conseguirmos destruir a base. É a sua obrigação, Almirante.	Мы обнаружили, что под одним из объектов врага находится большой склад боеприпасов. Мы получим значительное преимущество в конфликте, если нам удастся уничтожить эту базу; это Ваш долг, Адмирал.	Hemos descubierto que en una de las instalaciones del enemigo se encuentra un almacén de munición. Vamos a ganar una gran ventaja en el conflicto si conseguimos destruir esa base. Es su deber, Almirante.
DestroyBase_06	A critical operation will commence shortly, but its planners failed to take into account a nearby military base. It is well equipped and poses a significant threat to the success of our mission. You must demolish the base before our forces arrive to ensure that our troops can finish the job.	Wkrótce rozpocznie się krytyczna operacja, ale planiści misji nie wzięli pod uwagę pobliskiej bazy wojskowej. Jest ona dobrze wyposażona i stanowi poważne zagrożenie dla powodzenia operacji. Musisz zburzyć bazę przed przybyciem naszych sił, aby nasi żołnierze mogli dokończyć zadanie.	Bald beginnt die kritische Operation, aber die Planer der Mission haben den nahegelegenen Stützpunkt nicht beachtet. Er ist gut ausgestattet und stellt eine ernste Gefahr für das Gelingen der Operation dar. Du musst den Stützpunkt vor Ankunft unserer Kräfte zerstören, damit unsere Soldaten die Aufgabe beenden können.	Une opération critique va bientôt commencer, mais ses planificateurs n'ont pas tenu compte d'une base militaire voisine. Elle est bien équipée et constitue une menace importante pour le succès de la mission. Vous devez détruire la base avant l'arrivée de nos forces pour que nos troupes puissent accomplir la mission.	一项关键行动即将开始， 但任务的规划者未能考虑到附近的敌方军事基地。 它装备精良， 对行动的成功构成了重大威胁。 你必须在我们的部队到达之前摧毁敌方基地， 以确保我们的部队能够完成这项工作。	Daqui a pouco começará uma operação criticamente importante, mas os planeadores não tiveram em conta a base militar que existe nas proximidades. Está bem equipada e é um perigo importante para o êxito da missão. Tem de destruir a base antes de chegarem as nossas forças para que os soldados possam terminar a missão.	Вскоре начнется важнейшая операция, но те, кто планировал миссии, не учли расположенную неподалеку военную базу. Она хорошо оснащена и представляет собой серьезную угрозу для успеха операции. Вы должны разрушить базу до прибытия наших сил, чтобы наши солдаты смогли выполнить задание.	Dentro de poco, comenzará una operación crítica, pero los planistas no han tenido en cuenta la base militar que está en las proximidades.  Está muy bien equipada y es un peligro serio para la operación. Tiene que destruir la base antes de que lleguen más fuerzas aliadas para que nuestros soldados puedan terminar la misión.
DestroyBase_07	Our scouts have identified a new enemy base in this area. We cannot act on our plans with our adversaries right ahead of us. Your strike group must move in to destroy the enemy base before it destroys us.	Admirale, nasi zwiadowcy wykryli nową bazę wroga w tym rejonie. Nie możemy działać, mając przeciwnika tuż przed sobą. Proszę wysłać lotniskowiec, aby zniszczył bazę wroga, zanim on zniszczy nas.	Admiral, unsere Aufklärer haben einen neuen feindlichen Stützpunkt in dieser Region entdeckt. Wir können nicht handeln, wenn wir den Feind direkt vor uns haben. Bitte schicken Sie einen Flugzeugträger und damit er den feindlichen Stützpunkt zerstört, bevor er uns zerstört.	Amiral, nos éclaireurs ont découvert une nouvelle base de l'ennemi dans cette région. Nous ne pouvons pas agir, avec nos ennemis juste devant nous. Veuillez envoyer un porte-avions et détruire la base ennemie avant que l’ennemi ne nous détruise pas.	海军上将， 我们的侦察兵在该地区发现了一个新的敌军基地。 我们无法正面对付我们的对手， 请派遣航空母舰在敌方基地摧毁我们之前将其摧毁。	Almirante, os nossos rangers detetaram uma nova base do inimigo nesta região. Não podemos realizar as nossas tarefas tendo o inimigo tão perto. Por favor, envie um porta-aviões e destrua a base do inimigo antes de ele destruir-nos a nós.	Адмирал, наши разведчики обнаружили новую базу врага в этом регионе. Мы не можем действовать, когда враг находится прямо перед нами. Пожалуйста, отправьте авианосец, чтобы уничтожить базу врага, пока он не уничтожил нас.	Almirante, nuestros exploradores han detectado una nueva base del enemigo en esta región. No podemos actuar con el enemigo delante de nosotros. Por favor, envíe el portaaviones y destruya la base del enemigo antes de que él destruya a nosotros.
DestroyBase_08	It appears that Japan has built an outpost near your strike group’s location. According to our scouts, this facility is of considerable size; its presence could seriously hinder our planned operations. It must be destroyed.	Wygląda na to, że Japonia zbudowała placówkę w pobliżu miejsca, w którym znajduje się wasza grupa uderzeniowa. Według naszych zwiadowców placówka jest sporych rozmiarów; jej obecność może poważnie utrudnić nasze planowane operacje. Należy ją zniszczyć.	Es sieht so aus, dass Japan einen Stützpunkt in der Nähe des Ortes, an dem sich eure Sturmgruppe befindet, errichtete. Unsere Aufklärer sind der Meinung, dass der Stützpunkt relativ groß ist; sein Funktionieren kann unsere geplanten Operationen erheblich erschweren. Wir müssen ihn zerstören.	Il semble que le Japon ait construit un établissement près de la position du groupe aéronaval. Selon nos éclaireurs, cette installation est d'une taille considérable ; sa présence pourrait sérieusement entraver nos opérations planifiées. Il faut la détruire.	日本似乎在你的打击群所在地附近建立了一个前哨。 据我们的侦察员称， 该设施相当大。 它的存在可能会严重阻碍我们计划中的行动。 它必须被摧毁。	Parece que Japão construiu uma unidade nas proximidades no local onde se encontra o seu grupo de ataque. Segundo os nossos rangers, a unidade é bastante grande. A sua presença pode dificultar muito as nossas operações. Deve ser destruída.	Похоже, Япония построила объект недалеко от места, где находится Ваша ударная группа. По данным наших разведчиков, объект большого размера; его присутствие может серьезно помешать нашим спланированным операциям. Необходимо уничтожить его.	Parece que Japón ha construido instalaciones en las proximidades del lugar donde está su grupo de ataque. Según nuestros exploradores, la base tiene un tamaño considerable. Su presencia puede dificultar gravemente nuestras operaciones planificadas. Hay que destruirla.
DestroyBase_09	We discovered a large cache of explosives beneath one of the enemy’s installations. Destroying this base would be a significant boost to our sway in this theater of war; its destruction is your responsibility.	Pod jedną z instalacji wroga odkryliśmy duży skład materiałów wybuchowych. Zniszczenie tej bazy da nam znaczącą przewagę w wojnie. Jej zniszczenie jest pańskim obowiązkiem, Admirale.	Unter einem der Objekte des Feindes haben wir ein großes Explosivstofflager entdeckt. Die Zerstörung dieses Stützpunkts bringt uns den entscheidenden Vorteil in dem Krieg. Seine Zerstörung ist Ihre Pflicht, Admiral.	Nous avons découvert un grand dépôt d'explosifs sous l'une des installations de l'ennemi. La destruction de cette base nous donnerait un avantage considérable dans cette guerre. Amiral, sa destruction est votre devoir.	我们在一个敌人的设施下面发现了大量的炸药。 摧毁这个基地将使我们在战争中获得显着优势， 对它进行破坏是你的责任， 海军上将。	Debaixo de uma instalação detetámos um armazém grande de explosivos. A destruição desta base vai oferecer-nos uma grande vantagem na guerra. A sua destruição é a sua obrigação, Almirante.	Под одним из объектов врага мы обнаружили большой склад взрывчатых материалов. Уничтожение этой базы принесет нам значительное преимущество в войне. Его уничтожение – Ваша обязанность, Адмирал.	Debajo de una de las instalaciones del enemigo hemos descubierto un almacén de materiales explosivos. La destrucción de esta base nos ofrecerá una gran ventaja en la guerra. Destruir la base es su obligación, Almirante.
DestroyBase_10	Japan appears to have established a stronghold within the attacking range of your strike group. Our scouts’ reports suggest that the outpost is quite extensive and could cause significant disruption to our plans. It must be obliterated.	Wygląda na to, że Japonia założyła twierdzę w zasięgu ataku waszej grupy uderzeniowej. Raporty naszych zwiadowców sugerują, że placówka jest dość rozległa i może znacznie zakłócić nasze plany. Należy ją zlikwidować.	Es sieht so aus, dass Japan eine Festung in Sichtlinie auf alle Angriffe eurer Sturmgruppe hat. Die Berichte unserer Aufklärer suggerieren, dass der Posten relativ groß ist und unsere Pläne erheblich stören kann. Er soll liquidiert werden.	Le Japon semble avoir établi une forteresse dans la portée de l'attaque de votre groupe aéronaval. Les rapports de nos éclaireurs suggèrent que cet établissement est assez étendu et pourrait empêcher considérablement nos plans. Il faut l’anéantir.	日本似乎已经在你的攻击群的攻击范围内建立了一个据点。 我们的侦察员报告表明， 该前哨站的覆盖范围很广， 可能会对我们的计划造成重大干扰， 它必须被摧毁。	Parece que Japão estabeleceu uma fortaleza dentro do alcance do seu grupo de ataque. Os relatórios dos nossos rangers sugerem que a unidade tem uma área bastante ampla o pode interferir de maneira significativa nos nossos planos. Deve ser destruída.	Похоже, Япония построила крепость в радиусе атаки Вашей ударной группы. По сообщениям наших разведчиков, объект довольно обширный и может существенно нарушить наши планы. Необходимо ликвидировать его.	Parece que Japón ha establecido una fortaleza dentro del alcance de su grupo de ataque. Los informes de nuestros exploradores sugieren que la unidad es bastante extensa y puede interferir en nuestros planes. Hay que destruirla.
