	en	pl	de	fr	zh	pt	ru	es
AcceptQuest	Accept the quest	Przyjmij zadanie	Nimm die Aufgabe an	Accepter la tâche	接受任务	Confirmar missão	Принять задачу	Recibir misión
RefuseQuest	Refuse the quest	Odrzuć zadanie	Lehne die Aufgabe ab	Rejetez la tâche	拒绝任务	Rejeitar missão	Отклонить задачу	Rechazar misión
EnterMissionInstance	Begin	Rozpocznij	Beginne	Commencez	开始	Iniciar	Начать	Empezar
CancelMissionInstance	Cancel	Anuluj	Annulliere	Annuler	取消	Anular	Отменить	Cancelar
LeaveInstanceDuration	Duration: 2 hours	Czas trwania: 2 godziny	Dauer: 2 Stunden	Durée : 2 heures	时长：2小时	Duração: 2 horas	Продолжительность: 2 часа	Tiempo duración 2 horas
LeaveInstanceEffect	After 2 hours, the mission will end and you will return to the world map.	Po 2 godzinach misja się zakończy i wrócisz do mapy świata.	Nach 2 Stunden wird die Mission beendet und du kommst zur Weltkarte zurück	Après 2 heures la mission se termine et vous revenez sur la carte de monde.	2小时后， 任务结束， 您将返回世界地图。	Após 2 horas a missão terminará e você voltará ao mapa do mundo.	Через 2 часа миссия завершится и Вы вернетесь к каре мира.	Al cabo de 2 hora la misión terminará y usted volverá al mapa del mundo.
LeaveInstanceTitle	End Mission	Zakończ misję	Beende die Mission	Abandonnez la mission	结束任务	Finalizar missão.	Завершить миссию	Finalice la misión
LeaveInstanceDesc	Issue this order to end the mission. Once preparations are complete, your strike group will leave the area.	Wydaj ten rozkaz, aby zakończyć misję. Gdy przygotowania zostaną zakończone, twoja grupa uderzeniowa opuści ten obszar.	Erteile den Befehl um die Mission zu beenden Wenn die Vorbereitungen abgeschlossen werden, wird deine Sturmgruppe diesen Bereich verlassen.	Donnez l’ordre pour terminer la mission. Une fois les préparatifs terminés, votre groupe aéronaval quittera cette zone.	发出此命令以结束任务。 一旦准备工作完成， 您的战斗群将离开该区域。	Emita essa ordem para finalizar a missão. Quando os preparativos forem finalizados, o seu grupo de ataque abandonará esta zona.	Отдайте этот приказ, чтобы завершить миссию. Когда приготовления будут завершены, Ваша ударная группа покинет этот район.	Emita la orden para terminar la misión. Cuando se realicen los preparativos, su grupo de ataque abandonará esta zona.
EnterOperationZone	Enter the operation zone	Wejdź do strefy operacyjnej	Betrete die Operationszone	Entrez la zone opérationnelle	进入操作区	Entre na zona de operações.	Войдите в операционную зону	Entre en la zona de operaciones
RepairSpot	Repair Site	Serwis naprawczy	Reparaturservice	Service de réparation	维修现场	Serviço de manutenção	Зона проведения ремонтных работ	Servicio de reparaciones
RepairSpotInfoDesc	There is a facility at this port at which your aircraft and escort ships can receive necessary repairs between missions.	W tym porcie znajduje się placówka, w której Twoje samoloty i statki eskorty mogą dokonać niezbędnych napraw między misjami.	In dem Hafen befindet sich ein Posten, in dem Deine Flugzeuge und die Geleitschutz-Schiffe notwendigen Reparaturen zwischen den Missionen unterzogen werden können.	Ce port dispose d’une installation où vos avions et navires d’escorte peuvent effectuer les réparations nécessaires entre les missions.	这个港口有一个维修设施， 您的飞机和护卫舰可以在任务之间进行必要的维修。	Neste porto encontra-se uma instalação, onde os seus aviões e navios podem ser reparados entre as missões.	В этом порту находится комплекс, в котором Ваши самолеты и эскортные корабли могут получить необходимый ремонт между миссиями.	En este puerto se encuentra una instalación, donde sus aviones y buques pueden someterse a las reparaciones necesarias entre las misiones.
LeaveRepairSpot	Leave Repair Site	Opuść serwis naprawczy	Verlasse Reparaturservice	Quittez le service de réparation	离开维修场地	Sair do serviço de manutenção	Покиньте зону проведения ремонтных работ	Abandone el servicio de reparaciones
RepairSpotEscort	Restore 1 Durability point of a chosen escort ship.	Przywrócenie 1 punktu Wytrzymałości wybranego statku eskorty.	Erneute Zuteilung einem gewählten Geleitschutz-Schiff 1 Punkts der Widerstandskraft.	Rétablissement de 1 point de Résistance d’un éléments choisi de l’escorte.	恢复所选护卫舰的 1 个耐久点。	Restabelece 1 ponto de Resistência do navio escolhido da escolta.	Восстановление 1 пункта Выносливости выбранного корабля эскорта	Restablece 1 punto de resistencia de un buque de escolta elegido.
RepairSpotSquadrons	Replenish 2 squadrons of a chosen type.	Uzupełnij 2 eskadry wybranego typu.	Ergänze 2 Staffeln des gewählten Typs	Complétez 2 escadres d’un type sélectionné.	补充 2 个所选类型的飞行中队	Complemente 2 esquadras de um tipo selecionado.	Пополните две эскадрильи выбранного типа.	Complementar 2 escuadras del tipo seleccionado.
ChooseAShip	Choose a ship	Wybierz statek	Wähle das Schiff	Choisissez un navire	选择一艘船	Selecione navio	Выберите корабль	Elegir buque
ChooseSquadronType	Choose squadron type	Wybierz typ eskadry	Wähle Staffeltyp	Choisissez le type d’escadre	选择飞行中队类型	Selecione o tipo de esquadra	Выберите тип эскадрильи	Elegir tipo de escuadra
EnemyInstanceTitle	DETECTED BY THE ENEMY	WYKRYTY PRZEZ WROGA	AUFGEDECKT DURCH DEN FEIND	REPÉRÉ PAR L’ENNEMI	被敌人发现	DETETADO PELO INIMIGO	ОБНАРУЖЕН ВРАГОМ	DETECTADO POR EL ENEMIGO
