	en	pl	de	fr	zh	pt	ru	es
AaGunsDestroyedDescription	Section shut down. All slots in the Anti-Aircraft Department are locked.	Sekcja nieaktywna. Wszystkie stanowiska w Dziale Obrony Przeciwlotniczej są zablokowane.	Sektion inaktiv. Alle Posten in der Luftabwehrabteilung sind blockiert.	Section non active. Tous les postes de l’équipage dans la Division de Défense Anti-aérienne sont bloqués.	区域关闭， 防空部门的所有槽位都被禁用。	Secção inativa. Todas as vagas no Departamento de defesa aérea estão bloqueadas.	Секция не активна. Все позиции в Отделении Противовоздушной Обороны заблокированы.	Sección inactiva Todos los espacios en el Departamento de Defensa Antiaérea están bloqueados.
AaGunsName	Anti-Aircraft Guns	Działa przeciwlotnicze	Flugabwehrgeschütze	Batteries anti-aériennes	高射炮	Baterias antiaéreas	Зенитные Орудия	Cañones antiaéreos
AaGunsNotDestroyedDescription	Section operational. Assigning crew to the Anti-Aircraft Department is possible.	Sekcja aktywna. Umożliwia przypisywanie załogi do Działu Obrony Przeciwlotniczej.	Sektion aktiv. Ermöglicht die Zuteilung der Mannschaft zur Flugabwehrabteilung.	Sections active. Permet d’affecter l’équipage à la Division de Défense Anti-aérienne.	可操作区域， 允许将人员分配到防空部门。	Secção ativa. Permite adscrever tripulação ao Departamento de defesa aérea.	Секция активна. Позволяет назначить экипаж в Отделение Противовоздушной Обороны.	Sección activa Permite asignar tripulación al Departamento de Defensa Antiaérea.
AircraftWorkshopDestroyedDescription	Section shut down. All slots in the Engineering Department are locked.	Sekcja nieaktywna. Wszystkie stanowiska w Dziale Inżynierii są zablokowane.	Sektion inaktiv. Alle Posten in der Ingenieurabteilung sind blockiert.	Section non active. Tous les postes dans la Division d’Ingénierie sont bloqués	区域关闭， 工程部门的所有槽为都被禁用。	Secção inativa. Todas as vagas no Departamento de engenharia estão bloqueadas.	Секция не активна. Все позиции в Инженерном Отделении заблокированы.	Sección inactiva Todos los espacios en el Departamento de Ingeniería están bloqueados.
AircraftWorkshopName	Aircraft Workshop	Warsztat lotniczy	Luftwerkstatt	Atelier aérien.	飞机车间	Oficina mecânica aérea	Авиационная мастерская	Taller de navegación aérea
AircraftWorkshopNotDestroyedDescription	Section operational. Assigning crew to the Engineering Department is possible.	Sekcja aktywna. Umożliwia przypisywanie załogi do Działu Inżynierii.	Sektion aktiv. Ermöglicht die Zuteilung der Mannschaft zur Ingenieurabteilung.	Sections active. Permet d’affecter l’équipage au Division d’Ingénierie.	可操作区域， 允许将工作人员分配到工程部门。	Secção ativa. Permite adscrever tripulação ao Departamento de engenharia.	Секция активна. Позволяет назначить экипаж в Инженерное Отделение.	Sección activa Permite asignar tripulación al Departamento de Ingeniería.
AmmoSupplyDestroyedDescription	Section shut down. Offensive maneuvers are blocked in the Strategy menu.	Sekcja nieaktywna. Manewry ofensywne są zablokowane w menu Budowy Strategii.	Sektion inaktiv. Offensive Manöver sind in dem Menü Strategie-Aufbau blockiert.	Section non active. Les manœuvres offensives sont bloquées dans le menu de Création de Stratégie.	区域关闭， 激进的策略在策略构建器中被禁用。	Secção inativa. Manobras ofensivas bloqueadas no menu de Construção de estratégia.	Секция не активна. Наступательные маневры заблокированы в меню Построения Стратегии.	Sección inactiva Las maniobras ofensivas están bloqueadas en el menú de Construcción de Estrategia.
AmmoSupplyName	Magazine	Skład Amunicji	Munitionslager	Dépôt de Munition	弹药供应	Armazém de munição	Склад Боеприпасов	Almacén de munición
AmmoSupplyNotDestroyedDescription	Section operational.	Sekcja aktywna.	Sektion aktiv.	Sections active.	可操作区域。	Secção ativa.	Секция активна.	Sección activa.
BackupGeneratorsDestroyedDescription	Section shut down. If Main Generators are also down, most of your carrier’s radar-related functions are unavailable.	Sekcja nieaktywna. Jeśli wyłączone są również Główne Generatory, większość funkcji radarowych lotniskowca jest niedostępna.	Sektion inaktiv. Wenn auch die Hauptstromaggregate ausgeschaltet sind, sind die meisten Radarfunktionen des Flugzeugträgers nicht verfügbar.	Section non active. Si les Générateurs Principaux sont désactivés, la majorité des fonctions du radar de porte-avion est inaccessible.	区域关闭， 如果主发电机也关闭了， 那么航母的大部分功能将被禁用。	Secção inativa. Se estão ativados também os Geradores Principais, a maioria das funções de radar do porta-aviões não está disponível.	Секция не активна. Если Главные Генераторы также выключены, большинство функций авианосца, связанных с радаром, недоступны.	Sección inactiva. Si están apagados también los Grupos Electrógenos Principales, la mayoría de las funciones de radar del portaaviones no está disponible.
