	en	pl	de	fr	zh	pt	ru	es
TutorialGettingStarted_01	Tutorial: Getting Started	Pierwsze kroki - Samouczek	Tutorial-Spiel: Erste Schritte	Tutoriel : Premiers pas	教程：入门	Tutorial: Primeiros passos	Первые шаги – Обучение	Primeros pasos - Tutorial
TutorialGettingStarted_02	Welcome, Admiral! Let me begin with a general overview of the ship and the control interface.	Witaj, Admirale! Pozwolę sobie zacząć od ogólnego przeglądu statku i interfejsu sterowania.	Willkommen, Admiral! Ich erlaube mir, mit dem Schiff und der Bedienoberfläche, die du zum Steuern benutzen wirst, anzufangen.	Bienvenue, Amiral ! Permettez-moi de commencer par une présentation générale du navire et de l'interface de contrôle.	欢迎您， 海军上将！让我先向你概述一下这艘船和控制界面。	Bem-vindo, Almirante! Permito-me começar por uma apresentação geral do navio e da interface de controlo.	Здравствуйте, Адмирал! Позволю себе начать с общего обзора корабля и интерфейса управления. 	Bienvenido, ¡Almirante! Me permito comenzar por una revisión general del buque y de su interfaz de control.
TutorialGettingStarted_03	This is your aircraft carrier in all its glory.	To jest twój lotniskowiec w całej okazałości.	Das ist dein Flugzeugträger in seiner ganzen Pracht.	Voici votre porte-avions dans toute sa gloire.	这是您的航空母舰的所有荣耀。	Este é o seu porta-aviões, em plena glória.	Это Ваш авианосец во всей красе.	Este es el portaaviones en su plena gloria.
TutorialGettingStarted_04	It is your duty to keep the ship running and ensure the safety of its crew.	Twoim obowiązkiem jest utrzymanie statku w ruchu i zapewnienie bezpieczeństwa jego załodze.	Deine Pflicht ist es zu sorgen, dass sich das Schiff bewegt und dass seine Mannschaf sicher ist.	Il est de votre devoir de faire fonctionner le navire et d'assurer la sécurité de son équipage.	您有责任保持船只正常运行并确保船员的安全。	A sua responsabilidade é manter o navio em movimento e garantir a segurança da sua tripulação.	Вашей обязанностью является поддержание корабля в рабочем состоянии и обеспечение безопасности его экипажа.	Su tarea es mantener el buque en movimiento y garantizar la seguridad para su tripulación.
TutorialGettingStarted_05	Different parts of the carrier are responsible for different functions.	Różne części lotniskowca odpowiadają za różne funkcje.	Verschiedene Teile des Flugzeugträgers sind für verschiedene Funktionen verantwortlich.	Différentes parties du porte-avions sont responsables de différentes fonctions.	航母的不同部分负责不同的功能。	Várias partes do porta-aviões têm diferentes funções.	Разные части авианосца отвечают за различные функции.	Cada una de las partes del portaaviones es responsable por una función diferente.
TutorialGettingStarted_06	I will take you through the main ones you will be responsible for.	Przedstawię Ci najważniejsze z nich, za które będziesz odpowiedzialny.	Ich stelle dir die wichtigsten vor, du wirst für sie Verantwortung tragen.	Je vais vous présenter les principales fonctions dont vous serez responsable.	我将带您了解您将负责的主要工作。	Vou apresentar as mais importantes, pelas que será responsável.	Я представлю Вам самые важные их них, за которые Вы будете нести ответственность. 	Ahora le presentaré las más importantes, por las que se ocupará.
TutorialGettingStarted_07	This is the flight deck. Here you will prepare planes for their pilots’ missions.	To jest Pokład lotniskowca. Tutaj będziesz przygotowywał samoloty przez zaplanowanymi misjami.	Das ist das Deck des Flugzeugträgers. Hier wirst du die Flugzeuge vorbereiten, bevor sie auf die geplanten Missionen begeben.	Voici le pont d'envol. Ici, vous préparerez les avions pour les missions planifiées.	这是飞行甲板。 你可以在此处为飞行员任务准备好飞机。	Este é o bordo do porta-aviões. Aqui vai preparar as aviões antes das missões planejadas.	Это Палуба авианосца. Здесь Вы будете готовить самолеты к запланированным миссиям.	Aquí tiene la cubierta del portaaviones. Aquí estará preparando los aviones antes de las misiones planeadas.
TutorialGettingStarted_08	This is the island—the ship’s command center.	To jest wyspa - centrum dowodzenia statku.	Das ist die Insel - das Kommandozentrum des Schiffs.	Voici l'île, le centre de commandement du navire.	这就是作战指挥部  —— 舰艇的指挥中心。	Esta é a ilha, o centro de comando para o navio.	Это остов – центр командования корабля.	Aquí está la isla, el centro del mando en el buque.
TutorialGettingStarted_09	This is where you and your officers lead the carrier’s operations.	To tutaj ty i twoi oficerowie kierujecie działaniami przewoźnika.	Du und deine Offiziere steuert von hier aus die Schiffsfunktionen.	C'est ici que vous et vos officiers dirigerez les opérations du porte-avions.	这是您和您的军官指挥航母的地方。	Aqui você e os seus oficiais vão dirigir as ações do navio.	Именно здесь Вы и Ваши офицеры руководите операциями судна.	Aquí usted y sus oficiales estarán gestionando sus maniobras.
TutorialGettingStarted_10	Below deck, Damage Control teams will put out fires	Pod Pokładem ekipy Brygady Naprawczej będą gasić pożary	Unter dem Deck werden die Teams der Reparaturbrigade Feuer löschen	Sous le pont, les Brigades de Réparation éteindront les incendies	在甲板下， 维修小队可以将火灾扑灭，	Debaixo do bordo, as Equipas de reparação vão extinguir os fogos	Под палубой команды Ремонтных Бригад будут тушить пожары	Por debajo de la Cubierta, los Equipos de Reparación estarán apagando los incendios
TutorialGettingStarted_11	and pump out water whenever your carrier suffers damage.	oraz wypompowywać wodę za każdym razem, gdy lotniskowiec zostanie uszkodzony.	und das Wasser auspumpen - immer wenn der Flugzeugträger beschädigt wird.	et pomperont l'eau lorsque votre porte-avions subit des dommages.	并在您的航母遭受水灾时抽出水。	e bombear a água sempre quanto o porta-aviões ficar danificado.	и откачивать воду каждый раз после получения повреждений авианосцем.	y bombear el agua a cada vez que el portaaviones quede dañado.
