	en	pl	de	fr	zh	pt	ru	es
T0M1	Create your Admiral	Stwórz swojego Admirała	Kreiere deinen Admiral	Créez votre Amiral	创建你的海军上将	Crie o seu próprio almirante	Создайте своего Адмирала	Cree su propio Almirante
T0M10	Selecting crew and officers for missions	Wybieranie załogi i oficerów do misji	Wahl der Mannschaft und der Offiziere für die Mission	Sélection de l’équipage et des officiers pour la mission	为任务选择人员	Seleção de tripulantes e oficiais para a missão	Выбор экипажа и офицеров для миссии	Seleccionar tripulación y oficiales para la misión
T0M10d	To select crew units and officers for your next mission, double-click or drag and drop their portraits to move them from the inventory below to the available slots above. (You can remove units by right-clicking them.)	Aby wybrać jednostki załogi i oficerów do następnej misji, kliknij dwukrotnie lub przeciągnij i upuść ich portrety, aby przenieść je z inwentarza poniżej do dostępnych slotów powyżej. (Jednostki można usunąć, klikając je prawym przyciskiem myszy).	Um die Mannschaft und die Offiziere für die nächste Mission zu wählen, klicke zweimal ihre Porträts an oder ziehe und lege sie ab, um sie aus der unten präsentierten Gruppe in die oben verfügbaren Slots zu verschieben. (Die Wahl kann man annullieren, indem man mit der rechten Maustaste die Porträts anklickt).	Pour sélectionner des unités de l’équipage et d’officiers pour la prochaine mission, double-cliquez ou faites glisser et déposez leurs portraits pour les déplacer depuis la liste ci-dessous vers les emplacements disponibles ci-dessus. (Vous pouvez déplacer les unités en cliquant sur le clavier droit de la souris).	如需为任务选择人员， 请将他们的头像从人员库中拖到或单击可用的槽位。 您可以通过右键单击人员来移除他们。	Para selecionar unidades de tripulação e oficiais para a seguinte missão, faça clique ou arraste os seus rostos do inventário até os slots disponíveis acima. (As unidades podem ser eliminadas fazendo clique com o botão direito do rato).	Чтобы выбрать единицы экипажа и офицеров для следующей миссии, дважды щелкните или перетащите их портреты, чтобы переместить их из инвентаря внизу в доступные слоты вверху. (Единицы можно удалить, нажимая правой кнопкой мыши)	Para elegir unidades de tripulación y oficiales para la próxima misión, haga un doble clic o arrastre sus retratos para moverlos del inventario a los espacios disponibles abajo. (Las unidades se pueden mover haciendo un clic con el botón derecho del ratón).
T0M11	The Aircraft menu	Panel samolotów	Menü Flugzeuge	Panneau d’avions	飞机库	Painel de aviões	Панель самолетов	Panel de aviones 
T0M11d	The aircraft here at Pearl Harbor are among the best our military has at its disposal. Using the Aircraft menu, you can prepare the planes that will be sent into battle during your upcoming mission.	Samoloty znajdujące się w Pearl Harbor należą do najlepszych, jakimi dysponuje nasza armia. Korzystając z menu Samoloty, możesz przygotować samoloty, które zostaną wysłane do walki podczas nadchodzącej misji.	Die Flugzeuge, die sich in Pearl Harbor befinden, gehören zu den besten, die es in unserer Armee gibt. Mit dem Menü Flugzeuge kannst du die Flugzeuge zusammenstellen, die während der kommenden Mission zum Kampf geschickt werden.	Les avions de Pearl Harbor sont parmi les meilleurs dont dispose notre armée. En utilisant le menu Avion, vous pouvez préparer les avions qui seront envoyés au combat lors de la mission à venir.	这就是你真正的力量所在。 这些飞机将在您的指挥下投入战斗， 因此请确保它们已做好充分准备。	Os aviões que se encontram em Pearl Harbor estão entre os melhores possuídos pelo nosso exército. No menu Aviões, pode preparar os aviões que vão ser enviados ao combate durante a seguinte missão.	Самолеты, которые находятся в Перл-Харбор, – это лучшие самолеты нашей армии. Используя меню Самолеты, Вы можете подготовить самолеты, которые будут отправлены в бой в предстоящей миссии.	Los aviones que se encuentran en Pearl Harbor son de los mejores de los que dispone nuestro ejército. Con el uso del menú Aviones, puede preparar los aviones que van a ser enviados al combate en la próxima misión.
T0M12	Upgrading squadron types	Ulepszanie typów eskadr	Verbesserung der Staffeltypen	Amélioration des types d’escadres	升级飞行中队类型	melhoria de tipos de esquadras	Улучшение типов эскадрилий	Mejora de tipos de escuadras
T0M12d	Under the Unlock tab, you can upgrade your aircraft models to improve their performance in combat. Whenever you upgrade a particular category, all aircraft of that type will be upgraded.	W zakładce Odblokuj możesz ulepszać modele samolotów, aby poprawić ich osiągi w walce. Za każdym razem, gdy ulepszysz daną kategorię, wszystkie samoloty tego typu zostaną ulepszone.	In dem Lesezeichen Entsperren kannst du die Flugzeugmodelle verbessern, um ihre Leistungsfähigkeit im Kampf zu erhöhen. Immer wenn du eine bestimmte Kategorie verbesserst, werden auch alle Flugzeuge dieses Typs verbessert.	Dans l’onglet Débloquer vous pouvez améliorer les modèles des avions afin d’améliorer leurs performances lors de la lutte. Chaque fois quand vous améliorer une catégorie donnée, tous les avions de ce type seront améliorés.	您还可以升级您的每架飞机， 提高它们在战斗中的表现。 每当您升级中队类型时， 该类型的所有飞机都会升级。	Na secção Desbloquear pode melhorar os modelos de aviões para melhorar os seus resultados no combate. A cada vez quando melhorar uma categoria, serão melhorados todos os aviões desse tipo.	Во вкладке Разблокировать можно модернизировать модели самолетов, чтобы улучшить их боевые достижения. Каждый раз при улучшении этой категории все самолеты этого типа будут улучшены.	En la sección Desbloquear puede mejorar modelos de aviones para mejorar su eficiencia en el combate. A cada vez que mejore una categoría, serán todos los aviones de un cierto tipo.
T0M13	Obtaining additional planes	Kupowanie dodatkowych samolotów	Ankauf zusätzlicher Flugzeuge	Acquisition des avions supplémentaires	购买额外的飞机	Compra de aviões adicionais.	Покупка дополнительных самолетов	Compra de aviones adicionales
T0M13d	Command Points can be exchanged for squadrons, and vice versa. Under the Buy tab, use the on-screen plus (+) and minus (-) buttons to add and remove squadrons, respectively.	Punkty dowodzenia można wymieniać na eskadry i odwrotnie. W zakładce Kupno używaj ekranowych przycisków plus (+) i minus (-), aby dodawać i usuwać eskadry.	Die Kommandopunkte kann man gegen Staffeln austauschen und umgekehrt. In dem Lesezeichen Ankauf benutze die Bildschirmtasten Plus (+) und Minus (-) um die Staffeln hinzufügen und zu entfernen.	Vous pouvez échanger les points de commande contre des escadres et à l’inverse. Dans l’onglet Achat utiliser les touches de l’écran plus (+) et minus (-) pour ajouter et supprimer les escadres.	飞行中队可以用指挥点数进行购买， 使用屏幕上的按钮选择要购买的飞机数量或输入数量。	Os pontos de comando podem ser trocados por esquadras e ao revês. Na secção Compra pode utilizar os botões de ecrã (+) e (-), para adicionar ou apagar esquadras.	Пункты командования можно обменивать на эскадрильи и наоборот. Во вкладке Покупка используйте экранные кнопки плюс (+) и минус (-) для добавления и удаления эскадрилий.	Los puntos de mando se pueden cambiar por escuadras y al revés. En la sección Compra se puede utilizar los botones de (+) y (-) para añadir y eliminar escuadras.
T0M14	Selecting aircraft for missions	Wybieranie samolotów do misji	Wählen der Flugzeuge für die Mission	Sélection des avions pour la mission	为任务选择飞机	Seleção de aviões para a missão	Выбор самолетов для миссии	Elección de los aviones para la misión
