	time
TutorialEscort_02	00-00:00
TutorialEscort_03	00-02:85
TutorialEscort_04	00-08:50
TutorialEscort_05	00-13:25
TutorialEscort_06	00-16:80
TutorialEscort_07	00-21:20
TutorialEscort_08	00-24:80
TutorialEscort_09	00-28:80
TutorialEscort_10	00-31:75
TutorialEscort_11	00-37:40
TutorialEscort_12	00-42:25
TutorialEscort_13	00-46:50
TutorialEscort_14	00-49:80
TutorialEscort_15	00-53:50
TutorialEscort_16	00-57:75
TutorialEscort_17	01-00:05
TutorialEscort_18	01-03:70
TutorialEscort_19	01-06:85
TutorialEscort_20	01-09:45
